name,description,category,unit,price
Standard Gutter Cleaning (Single Story),Clear all debris from single story gutters and downspouts.,Cleaning Services,linear ft,2
Standard Gutter Cleaning (Two Story),Clear all debris from two story gutters and downspouts.,Cleaning Services,linear ft,3
Standard Gutter Cleaning (Three Story),Clear all debris from three story gutters and downspouts.,Cleaning Services,linear ft,4
Downspout Flushing,Flush underground and above ground downspouts to clear clogs.,Cleaning Services,each,25
Debris Haul Away and Disposal,Remove and dispose of all cleared gutter waste from property.,Cleaning Services,job,50
Eco-Friendly Roof Moss Treatment,Apply treatment to prevent moss from entering gutter system.,Cleaning Services,sq ft,1
Solar Panel Gutter Clearing,Carefully clean debris around solar panel perimeter and gutters.,Cleaning Services,linear ft,3
Skylight Debris Removal,Clear accumulated leaves and debris around skylight valleys.,Cleaning Services,each,35
Interior Gutter Wipe Down,Wipe down interior walls of gutters to remove residue.,Cleaning Services,linear ft,1
Emergency Storm Debris Removal,Urgent clearing of gutters following severe storm events.,Cleaning Services,hour,150
Standard Service Call and Inspection,Travel to site and perform comprehensive exterior system evaluation.,Diagnostics & Service Calls,visit,125
Emergency Leak Troubleshooting,Diagnose source of water overflow during active weather event.,Diagnostics & Service Calls,hour,175
Pre-Listing Gutter Inspection,Inspect system condition and provide report for home sale.,Diagnostics & Service Calls,visit,150
Post-Storm Damage Assessment,Detailed inspection of gutters for insurance claim documentation.,Diagnostics & Service Calls,visit,175
Infrared Water Intrusion Check,Detect hidden leaks behind fascia boards using thermal imaging.,Diagnostics & Service Calls,visit,200
Standard Labor Rate,General labor for gutter repair and maintenance tasks.,Labor Rates,hour,95
Overtime Labor Rate,"After-hours, weekend, or holiday labor surcharge.",Labor Rates,hour,145
Two-Person Crew Labor Rate,Hourly rate for specialized jobs requiring dual technicians.,Labor Rates,hour,180
Master Technician Rate,"Advanced diagnosis, complex repairs, and custom sheet metal work.",Labor Rates,hour,135
Apprentice Labor Rate,Basic assistance and support labor during installation.,Labor Rates,hour,65
Aluminum Gutter Sealing (Per Joint),Apply commercial-grade sealant to leaking miter or end cap.,Repairs,each,35
Gutter Re-Securing (Spike and Ferrule),Re-drive loose spikes and ferrules into solid fascia wood.,Repairs,linear ft,3
Gutter Re-Securing (Hidden Hanger),Replace old spikes with heavy-duty screwed hidden hangers.,Repairs,linear ft,5
Gutter Pitch Adjustment,Rehang section of gutter to correct standing water and slope.,Repairs,linear ft,8
Corner Miter Re-Sealing,Clean and reseal leaking corner joint from the inside.,Repairs,each,55
