name,description,category,unit,price,labor_hours,material_cost
Standard Exhaust Hood Cleaning,"Perimeter clean of canopy hood, filters, and grease trough",Hood Cleaning Services,linear ft,35,0.25,2
Exhaust Fan Cleaning,Degrease and pressure wash upblast exhaust fan and housing,Hood Cleaning Services,each,175,1.25,10
Horizontal Duct Cleaning,Scrape and pressure wash horizontal exhaust ductwork interior,Hood Cleaning Services,linear ft,45,0.3,3
Vertical Duct Cleaning,Degrease vertical exhaust ductwork interior from roof or ceiling,Hood Cleaning Services,linear ft,50,0.35,3
Baffle Filter Replacement,Supply and install aluminum baffle filter 20x20,Filters & Accessories,each,45,0.2,10
Stainless Steel Baffle Filter,Supply and install heavy-duty stainless steel baffle filter,Filters & Accessories,each,75,0.15,36
Mesh Filter Replacement,Supply and install standard grease mesh filter,Filters & Accessories,each,30,0.15,7
Grease Cup Replacement,Install new standard steel exhaust fan grease cup,Filters & Accessories,each,35,0.2,6
Hinge Kit Installation,Supply and install service hinge kit on exhaust fan,Fan Maintenance,each,225,1.2,50
Fan Belt Replacement,Supply and install replacement drive belt for exhaust fan,Fan Maintenance,each,95,0.5,20
Exhaust Fan Motor Replacement,Remove and replace direct or belt-drive exhaust fan motor,Fan Repairs,each,550,2.5,150
Fan Pillow Block Bearing Replacement,Replace worn blower shaft pillow block bearings,Fan Repairs,each,320,2,46.67
Blower Wheel Replacement,Replace balanced squirrel cage blower wheel in exhaust fan,Fan Repairs,each,450,2.5,93.33
Grease Box Box Outfall System,Install exterior grease containment box with absorbent pads,Grease Containment,each,350,1.5,110
Grease Containment Pad Refill,Replace grease absorbent pads in rooftop containment system,Grease Containment,each,75,0.2,29.33
Access Panel Installation,Cut duct and install UL-listed grease access door,Duct Modifications,each,250,1.5,43.33
Duct Leak Patch,Weld or seal minor air leak in exhaust ductwork,Duct Modifications,job,180,1,36.67
Rooftop Grease Scavenging,Power wash and clean standing grease pool on roof surface,Roof Protection,hour,150,1,16.67
Rooftop Grease Membrane Protector,Install rubber grease-resistant matting around exhaust fan curb,Roof Protection,each,275,1,100
Fire Suppression Link Replacement,Replace fusible links in hood fire suppression system,Fire Safety,each,85,0.5,15
Emergency Service Call Fee,Dispatch technician for urgent after-hours emergency request,Diagnostics & Labor,visit,250,2,0
Standard Service Call Fee,Dispatch technician for standard on-site site assessment,Diagnostics & Labor,visit,125,1,0
After-Hours Labor Rate,Hourly rate for night or weekend service execution,Diagnostics & Labor,hour,140,1,10
Standard Labor Rate,Hourly rate for standard daytime technician work,Diagnostics & Labor,hour,105,1,0
Environmental Disposal Fee,Disposal of commercial kitchen grease waste per regulations,Disposal & Permits,job,65,0,43.33
Municipal Permit Acquisition,Process and pull required local hood cleaning permits,Disposal & Permits,job,95,0.5,21.67
Make-Up Air Unit Cleaning,Degrease and clean make-up air unit blower and intake,Make-Up Air Services,each,220,1.5,20
Make-Up Air Filter Replacement,Supply and replace make-up air unit intake filters,Make-Up Air Services,each,40,0.2,10
Make-Up Air Motor Replacement,Remove and replace make-up air unit blower motor,Make-Up Air Services,each,600,2.5,193.33
Electrostatic Cell Cleaning,Soak and pressure wash electronic air cleaner cells,Pollution Control Units,each,125,0.8,16.67
PCU Carbon Filter Replacement,Replace odor control carbon panels in pollution control unit,Pollution Control Units,each,180,0.5,76.67
PCU Prefilter Replacement,Replace aluminum mesh prefilters in pollution control unit,Pollution Control Units,each,45,0.2,10
Exhaust Hood Polishing,Buff and polish stainless steel exterior hood canopy surfaces,Hood Detailing,linear ft,25,0.18,2
Side Curtain Panel Cleaning,Degrease and wash stainless steel side splash panels,Hood Detailing,each,50,0.35,3
Grease Trough Drain Clearing,Clear clogged drain hole and pipe in hood grease trough,Minor Repairs,each,75,0.5,6.67
Fan Electrical Disconnect Replacement,Replace weathered rooftop electrical disconnect switch,Minor Repairs,each,175,1,33.33
Rooftop Fan Wiring Harness Repair,Splice and repair damaged motor whip wiring,Minor Repairs,job,130,0.8,20
Fan Weather Band Replacement,Replace rubber weather stripping around fan housing base,Fan Maintenance,each,85,0.4,23.33
Exhaust Fan Balancing,Check and adjust fan pulley alignment and tension,Fan Maintenance,each,150,1,16.67
Fire Wrap Insulation Patch,Repair damaged ceramic fire wrap blanket on grease duct,Fire Safety,sq ft,45,0.2,10
Compliance Sticker Placement,Apply NFPA 96 certification service sticker to hood canopy,Compliance,each,15,0.1,1.67
Digital Photo Report Generation,Provide before and after photo documentation of cleaning,Compliance,job,50,0.4,0
NFPA 96 Grease Deposition Test,Measure and document grease thickness per code requirements,Compliance,job,110,0.8,6.67
Concession Trailer Hood Cleaning,Complete wash of small mobile food truck exhaust system,Specialty Cleaning,job,350,2.5,23.33
Pizza Oven Hood Cleaning,Deep clean specialized direct-capture pizza oven hood system,Specialty Cleaning,linear ft,40,0.25,3.75
Broiler Hood Heavy Degreasing,Intensive heavy-chemical soak and scrape for charbroiler hood,Specialty Cleaning,linear ft,55,0.35,4.17
Dishwasher Exhaust Vent Cleaning,Clean steam exhaust duct and vent hood for dish area,Specialty Cleaning,job,275,2,16.67
Rooftop Walkway Pad Installation,Install rubber safety walk pads to protect roof membrane,Roof Protection,each,90,0.5,18.33
Fan Curb Extension Installation,Install metal curb extension to raise fan above roofline,Roof Protection,each,450,2.5,93.33
Grease Diverter Installation,Install rooftop grease diverter spout on exhaust fan,Grease Containment,each,120,0.8,13.33
High-Capacity Grease Box Upgrade,Upgrade standard cup to heavy-duty grease containment box,Grease Containment,each,295,1.5,70
Exhaust Fan Guard Replacement,Replace missing or rusted safety wire mesh on fan discharge,Fan Maintenance,each,110,0.6,23.33
Motor Pulley Replacement,Replace worn adjustable or fixed motor drive pulley,Fan Repairs,each,135,0.8,23.33
Blower Pulley Replacement,Replace large driven blower shaft pulley,Fan Repairs,each,165,1,26.67
Duct Access Panel Gasket Replacement,Replace high-temp silicone seal on duct access door,Duct Modifications,each,45,0.3,4.67
Exhaust Duct Spin-In Collar Installation,Install new branch collar connection on main duct line,Duct Modifications,each,210,1.2,40
Fire Damper Inspection and Drop Test,Inspect and manually trip mechanical fire damper,Fire Safety,each,125,0.8,16.67
Fusible Link Bracket Replacement,Replace bent or damaged fusible link bracket inside hood,Fire Safety,each,95,0.6,13.33
Exhaust Hood Light Fixture Repair,Replace internal vapor-proof light bulb or socket,Minor Repairs,each,95,0.6,13.33
Exhaust Hood Glass Globe Replacement,Replace broken heat-resistant vapor-proof glass globe,Minor Repairs,each,65,0.4,10
