name,description,category,unit,price,labor_hours,material_cost
Standard Diagnostic Fee,Initial troubleshooting and system evaluation visit,Diagnostics & Service,visit,149,1,16
After-Hours Emergency Diagnostic,Urgent service call outside normal business hours,Diagnostics & Service,visit,275,1.5,59.33
Annual Fireplace Tune-Up,"Comprehensive cleaning, safety check, and performance test",Diagnostics & Service,each,199,1.2,32.67
Gas Leak Detection Service,Electronic sniff test of all gas line connections,Diagnostics & Service,each,125,1,0
Carbon Monoxide Testing,Ambient air and flue gas CO concentration test,Diagnostics & Service,each,95,0.76,0
Standard Technician Labor,Hourly rate for repair and installation labor,Labor Rates,hour,150,1,0
Two-Man Installation Labor,Hourly rate for a two-person installation crew,Labor Rates,hour,275,2,16.67
Master Technician Specialist,Advanced troubleshooting and complex wiring labor,Labor Rates,hour,195,1,46.67
Pilot Assembly Replacement,Replace standing pilot assembly and thermocouple,Repairs & Maintenance,each,245,1,80
Thermocouple Replacement,Replace faulty safety thermocouple on millivolt valve,Repairs & Maintenance,each,165,1,26.67
Thermopile Replacement,Replace power-generating thermopile sensor,Repairs & Maintenance,each,185,1,40
Gas Control Valve Replacement,Replace main millivolt or IPI gas control valve,Repairs & Maintenance,each,485,1.5,203.33
IPI Electronic Ignition Module,Replace intermittent pilot ignition control module,Repairs & Maintenance,each,425,1.2,183.33
Igniter Electrode Replacement,Replace spark igniter and ceramic electrode assembly,Repairs & Maintenance,each,195,1,46.67
Blower Fan Kit Replacement,Replace convection room air blower fan assembly,Repairs & Maintenance,each,395,1.2,163.33
Blower Rheostat Speed Control,Replace variable speed fan control switch,Repairs & Maintenance,each,155,1,20
Thermal Snap Switch Replacement,Replace high-limit or blower activation snap disc,Repairs & Maintenance,each,135,1,6.67
Ceramic Glass Panel Replacement,Replace cracked or broken tempered ceramic viewing glass,Repairs & Maintenance,each,450,1,216.67
Glass Gasket Replacement,Install new fiberglass rope seal around glass frame,Repairs & Maintenance,linear ft,25,0.15,4.33
Door Latch Spring Replacement,Replace tension springs on fireplace glass barrier,Repairs & Maintenance,each,95,0.6,13.33
Burner Tube Cleaning and Alignment,"Remove, clean, and reinstall main gas burner ports",Repairs & Maintenance,each,175,1.2,13.33
Orifice Replacement,Replace main burner gas orifice for proper flame,Repairs & Maintenance,each,115,0.8,12.67
Log Set Rearrangement,Position ceramic logs per manufacturer specifications,Repairs & Maintenance,each,125,1,0
Ember Material Replacement,Install fresh glowing embers or rockwool material,Repairs & Maintenance,each,95,0.6,13.33
Venting Gasket Kit Installation,Replace high-temperature silicone seals on direct vent,Repairs & Maintenance,each,185,1,40
Draft Hood Replacement,Replace B-vent draft diverter hood,Repairs & Maintenance,each,285,1.5,65
Pressure Switch Replacement,Replace direct vent airflow proving switch,Repairs & Maintenance,each,235,1.2,54
