name,description,category,unit,price
Initial Stucco Consultation,On-site assessment of exterior stucco condition and damage,Diagnostics & Inspection,visit,150
EIFS Moisture Analysis,Electronic invasive and non-invasive moisture meter testing,Diagnostics & Inspection,job,350
Thermal Imaging Scan,Infrared camera inspection for hidden moisture intrusion behind stucco,Diagnostics & Inspection,job,450
Destructive Testing Core Sample,Removal of small stucco section to check substrate and lath,Diagnostics & Inspection,each,250
Structural Engineer Consultation,Coordination and oversight for severe framing damage,Diagnostics & Inspection,job,750
Stucco Repair Labor Rate,Hourly rate for skilled journeyman plasterer,Labor Rates,hour,95
EIFS Specialist Labor Rate,Hourly rate for certified EIFS installation and repair technician,Labor Rates,hour,110
Stucco Apprentice Labor Rate,Hourly rate for assistant laborer and site prep,Labor Rates,hour,55
After-Hours Emergency Labor,Urgent temporary stabilization outside normal business hours,Labor Rates,hour,175
Project Management Fee,Daily site supervision and scheduling coordination,Labor Rates,day,200
Hairline Crack Injection,Epoxy or elastomeric sealant injection for fine cracks,Crack & Surface Repair,linear ft,12
Structural Crack V-Groove Repair,Routing out and patching active structural cracks,Crack & Surface Repair,linear ft,28
Stucco Patch up to 1 Sq Ft,Small localized scratch and brown coat repair,Crack & Surface Repair,each,175
Stucco Patch up to 4 Sq Ft,Medium localized lath and three-coat stucco repair,Crack & Surface Repair,each,380
Control Joint Repair,Replacement of damaged zinc or PVC control joints,Crack & Surface Repair,linear ft,22
EIFS Scratch Coat Repair,Base coat polymer repair over damaged EPS foam,Crack & Surface Repair,sq ft,18
Woodpecker Damage Repair,Filling and meshing holes caused by birds in EIFS,Crack & Surface Repair,each,220
Expansion Joint Sealing,Removal and replacement of failed elastomeric joint sealant,Crack & Surface Repair,linear ft,15
EIFS Impact Damage Patch,Mesh and base coat repair for dented or punctured foam,Crack & Surface Repair,sq ft,25
Stucco Skim Coat Application,Full surface polymer modified cementitious skim coat,Crack & Surface Repair,sq ft,6
Traditional Stucco Removal,Demolition and disposal of old three-coat stucco and lath,Removal & Demo,sq ft,7
EIFS System Removal,"Stripping of finish, mesh, foam board, and base coat",Removal & Demo,sq ft,6
Water-Damaged Substrate Removal,Demolition of rotted exterior sheathing and framing members,Removal & Demo,sq ft,12
Window Flashing Removal,Tear-out of old perimeter flashing and head flashings,Removal & Demo,linear ft,9
Debris Disposal Fee,Dumpster rental and hauling for construction waste,Removal & Demo,job,450
OSB Sheathing Replacement,Installation of new exterior grade oriented strand board,Substrate & Framing,sq ft,5
Plywood Sheathing Replacement,Installation of new exterior grade plywood sheathing,Substrate & Framing,sq ft,7
Stud Replacement,Repair or sistering of water-damaged wall studs,Substrate & Framing,linear ft,35
House Wrap Installation,Application of weather-resistive barrier membrane,Substrate & Framing,sq ft,1
