name,description,category,unit,price,labor_hours,material_cost
Standard Service Call,Diagnostic fee for exterior lighting troubleshooting,Diagnostics,visit,125,1,0
After Hours Emergency Call,Urgent dispatch fee for critical lighting failure,Diagnostics,visit,250,2,0
Electrical System Diagnostic,Detailed voltage and load testing per hour,Diagnostics,hour,150,1,16.67
Line Voltage Troubleshooting,Isolating shorts or breaks in 120V lines,Diagnostics,hour,165,1,26.67
Low Voltage Troubleshooting,Testing transformer output and cable runs,Diagnostics,hour,140,1,10
Journeyman Electrician Labor,Hourly rate for licensed installation work,Labor,hour,125,1,0
Master Electrician Labor,Hourly rate for complex design and code compliance,Labor,hour,165,1,26.67
Apprentice Labor,Hourly rate for assistant installation support,Labor,hour,75,0.6,0
Trenching Labor and Machine,Per linear foot of underground cable trench,Labor,linear ft,8,0.02,5.25
Boring Under Sidewalk,Directional boring for wire protection under hardscape,Labor,linear ft,25,0.1,8.67
LED Path Light Installation,Mounting and wiring standard low voltage path light,Path Lighting,each,95,0.4,30
Cast Brass Path Light Upgrade,Heavy duty corrosion resistant path light fixture,Path Lighting,each,175,0.4,83.33
Path Light Bulb Replacement,LED wedge base or G4 bulb swap,Path Lighting,each,25,0.15,4.33
Path Light Stake Replacement,Heavy duty mounting stake and wire connector,Path Lighting,each,35,0.2,6.67
Path Light Fixture Repair,Re-securing fixture stem and waterproof splice,Path Lighting,each,55,0.35,6.67
LED Spotlight Installation,Mounting and aiming directional landscape spotlight,Spotlights,each,125,0.5,41.67
Wide Beam Floodlight Installation,High output fixture for washing large surfaces,Spotlights,each,150,0.6,50
Tree Mounted Spotlight Installation,Hanging fixture with slack loop for tree growth,Spotlights,each,175,0.8,50
Spotlight Shield Accessory,Glare guard hood for directional fixture,Spotlights,each,30,0.1,11.67
Spotlight Bulb Replacement,MR16 LED lamp replacement,Spotlights,each,35,0.2,6.67
In-Grade Well Light Installation,Flush mounted uplight in soil or concrete cutout,Well Lights,each,210,0.8,73.33
Driveway Rated Well Light,Heavy duty vehicle weight rated ingrade fixture,Well Lights,each,320,0.9,143.33
Well Light Debris Cleaning,Removing dirt and water from ingrade housing,Well Lights,each,65,0.5,1.67
Well Light Lens Replacement,Tempered glass lens and gasket swap,Well Lights,each,85,0.4,23.33
Well Light Waterproof Driver Swap,Internal driver replacement for LED well light,Well Lights,each,140,0.5,51.67
Deck Post Cap Light Installation,Surface mount light for wooden or vinyl posts,Deck Lighting,each,95,0.4,30
Stair Riser Light Installation,Low profile LED light for steps and stairways,Deck Lighting,each,85,0.4,23.33
Under Rail LED Strip Light,Waterproof tape light installation under handrail,Deck Lighting,linear ft,35,0.1,15
Recessed Deck Light Installation,Hole saw cut and flush mount stair light,Deck Lighting,each,90,0.4,26.67
Deck Lighting Controller Install,Wireless dimmer module for deck circuit,Deck Lighting,each,160,0.5,63.33
Eave Mounted Floodlight Installation,Standard motion activated double floodlight fixture,Security Lighting,each,185,0.7,63.33
