name,description,category,unit,price
Standard Radon Test,Continuous radon monitor placement for forty-eight hours.,Testing and Diagnostics,visit,175
Short-Term Radon Test Kit,Charcoal canister placement for screening measurement.,Testing and Diagnostics,each,50
Radon System Diagnostic Evaluation,Troubleshooting existing mitigation system performance and pressure.,Testing and Diagnostics,hour,150
Post-Mitigation Test,Verification test following system installation.,Testing and Diagnostics,visit,125
Commercial Radon Testing,Multi-room continuous testing for commercial buildings.,Testing and Diagnostics,each,350
Radon Consultation Visit,On-site assessment and mitigation design proposal.,Testing and Diagnostics,visit,100
Soil Gas Pressure Field Extension Test,Diagnostic testing to determine sub-slab communication.,Testing and Diagnostics,job,250
Radon Water Testing,Water sample collection for radon in well water.,Testing and Diagnostics,each,150
Standard Labor Rate,Hourly labor rate for standard technician work.,Labor and Permits,hour,125
After-Hours Emergency Labor,Hourly rate for emergency service calls.,Labor and Permits,hour,225
Local Building Permit,Acquisition of municipal radon installation permit.,Labor and Permits,each,100
System Disposal Fee,Removal and disposal of old mitigation components.,Labor and Permits,job,75
Core Drilling Labor,Core drilling through concrete foundation floor.,Labor and Permits,each,120
Crawlspace Excavation Labor,Digging suction pit in crawlspace soil.,Labor and Permits,hour,95
Electrical Run Labor,Running dedicated electrical line for system fan.,Labor and Permits,hour,150
Difficult Access Surcharge,Additional labor for restricted workspace conditions.,Labor and Permits,job,200
Standard Radon Fan Replacement,Replacement of standard inline radon mitigation fan.,Fan Replacement and Repair,each,450
High-Suction Radon Fan Replacement,Replacement of high-pressure radon mitigation fan.,Fan Replacement and Repair,each,525
Commercial Radon Fan Replacement,Replacement of heavy-duty commercial radon fan.,Fan Replacement and Repair,each,850
Fan Power Cord Replacement,Replacement of damaged fan power cord assembly.,Fan Replacement and Repair,each,85
Fan Capacitor Replacement,Replacement of fan starting capacitor.,Fan Replacement and Repair,each,110
Fan Bracket Replacement,Replacement of rubber mounting brackets.,Fan Replacement and Repair,each,65
U-Tube Manometer Replacement,Replacement of broken or dry pressure gauge.,Fan Replacement and Repair,each,75
Digital Manometer Installation,Upgrade to digital pressure monitor with alarm.,Fan Replacement and Repair,each,220
PVC Vent Pipe Repair,Repair of cracked or separated PVC exhaust piping.,Piping and Venting,linear ft,25
Schedule 40 PVC Pipe 3 Inch,Installation of 3-inch PVC vent pipe.,Piping and Venting,linear ft,18
Schedule 40 PVC Pipe 4 Inch,Installation of 4-inch PVC vent pipe.,Piping and Venting,linear ft,24
PVC Coupling Installation,Replacement or addition of PVC pipe coupling.,Piping and Venting,each,30
PVC 90 Degree Elbow,Installation of 90-degree PVC elbow fitting.,Piping and Venting,each,35
PVC 45 Degree Elbow,Installation of 45-degree PVC elbow fitting.,Piping and Venting,each,35
Rubber Fernco Coupling,Flexible rubber coupling for fan connection.,Piping and Venting,each,40
Condensate Bypass Kit,Drain line installation to prevent water in fan.,Piping and Venting,each,95
Roof Penetration Flashing,Weatherproof flashing and storm collar for roof exit.,Roof and Wall Penetrations,each,175
Sidewall Vent Termination,Horizontal exhaust termination through exterior wall.,Roof and Wall Penetrations,each,150
Wall Penetration Sealing,Core drill and waterproof seal through foundation wall.,Roof and Wall Penetrations,each,130
Roof Boot Replacement,Replacement of leaking roof penetration boot.,Roof and Wall Penetrations,each,160
Eaves Extension Pipe,Pipe extension to clear roof overhang.,Roof and Wall Penetrations,linear ft,22
Soffit Penetration Kit,Venting pipe through soffit with screened termination.,Roof and Wall Penetrations,each,140
Flashing Storm Collar,Metal storm collar sealed above roof boot.,Roof and Wall Penetrations,each,45
Exterior Wall Thimble,Protective sleeve for wall pipe penetration.,Roof and Wall Penetrations,each,65
Sub-Slab Depressurization System,Standard complete active radon mitigation system installation.,System Installations,job,1650
Multi-Point Sub-Slab System,Radon system with two suction pits for large footprints.,System Installations,job,2200
Crawlspace Membrane System,Complete vapor barrier and sub-membrane depressurization.,System Installations,job,2400
Sump Pump Radon Cover,Airtight sealed cover for existing sump pit.,System Installations,each,275
Drain Tile Suction Connection,Tying mitigation system into internal drain tile.,System Installations,job,350
Block Wall Suction System,Depressurization system tied into hollow block walls.,System Installations,job,1900
Passive to Active System Upgrade,Converting existing passive radon pipe to active system.,System Installations,job,750
Commercial System Installation,Custom engineered multi-fan commercial mitigation system.,System Installations,job,4500
Polyethylene Vapor Barrier 6 Mil,Installation of basic crawlspace vapor retarder.,Crawlspace Solutions,sq ft,1.25
Reinforced Vapor Barrier 20 Mil,Heavy-duty puncture-resistant crawlspace liner.,Crawlspace Solutions,sq ft,2.5
