name,description,category,unit,price,labor_hours,material_cost
Standard Stump Grinding,Grinding single stump up to 8 inches deep,Stump Grinding,each,150,1.2,0
Large Stump Grinding,Grinding single stump up to 16 inches deep,Stump Grinding,each,300,2.4,0
Extra Large Stump Grinding,Grinding single stump exceeding 36 inches diameter,Stump Grinding,each,550,4.4,0
Surface Root Grinding,Grinding exposed surface roots extending from stump,Stump Grinding,linear ft,12,0.1,0
Multi-Stem Stump Grinding,Grinding multi-trunk shrub or clustered stumps,Stump Grinding,each,225,1.8,0
Shallow Depth Grinding,Grinding stump to 4 inches below grade,Stump Grinding,each,95,0.76,0
Deep Root Ball Grinding,Grinding root ball structure to 24 inches depth,Stump Grinding,Stump Grinding,450,3.6,0
Bamboo Root Mass Grinding,Grinding dense invasive bamboo root systems,Stump Grinding,sq ft,18,0.1,4
Palm Tree Stump Grinding,Grinding fibrous palm tree stump and root mat,Stump Grinding,each,200,1.6,0
Hardwood Stump Surcharge,Additional fee for dense hardwood species,Stump Grinding,each,75,0.6,0
Wood Chip Removal,Hauling away all generated wood mulch and chips,Cleanup and Hauling,job,175,1.4,0
Hole Backfill and Leveling,Filling grinding hole with topsoil and leveling,Cleanup and Hauling,each,120,0.5,38
Topsoil Delivery and Spread,Delivering and spreading topsoil over grind site,Cleanup and Hauling,cubic yard,95,0.3,38
Debris Rake and Site Clean,Raking debris and leaving site clean,Cleanup and Hauling,job,85,0.68,0
Excess Chip Haul Off,Removal of excess wood chips exceeding standard volume,Cleanup and Hauling,ton,150,0.8,33.33
Stone and Rock Surcharge,Additional labor for grinding through embedded rocks,Site Preparation,each,100,0.8,0
Concrete Barrier Removal,Breaking and removing concrete around stump base,Site Preparation,job,250,2,0
Fencing Section Removal,Temporary removal of fence to access backyard stump,Site Preparation,linear ft,15,0.12,0
Gate Modification Surcharge,Hand labor for narrow gate access restrictions,Site Preparation,job,125,1,0
Underground Utility Locate,Coordinating public utility marking prior to grinding,Site Preparation,job,50,0.4,0
Grass Seed and Fertilizer,Seeding and fertilizing repaired ground area,Restoration,sq ft,1,0,0.67
Sod Patch Installation,Laying fresh sod patch over filled stump hole,Restoration,sq ft,4,0.02,2.5
Straw Mulch Blanket,Applying straw erosion blanket over seeded patch,Restoration,sq ft,2,0.01,1.3
Erosion Control Silt Fence,Installing temporary silt fence around disturbed soil,Restoration,linear ft,8,0.04,2
Wildflower Seeding,Broadcasting wildflower seed mix over disturbed earth,Restoration,sq ft,2,0,1.33
Hourly Labor Rate,Standard hourly rate for manual site labor,Labor and Equipment,hour,75,1,0
Specialized Crew Rate,Two-man crew with heavy equipment per hour,Labor and Equipment,hour,175,1.4,0
Emergency Stump Removal,After-hours urgent stump removal service call,Labor and Equipment,visit,350,2.8,0
Difficult Access Surcharge,Fee for carrying portable grinder long distances,Labor and Equipment,job,150,1.2,0
Steep Slope Surcharge,Additional safety risk fee for sloped terrain work,Labor and Equipment,job,200,1.6,0
Crane Assisted Removal,Crane rental and operator for inaccessible stumps,Labor and Equipment,day,1500,8,333.33
Mini Skid Steer Rental,Daily rate for track loader with bucket attachment,Labor and Equipment,day,300,1,116.67
Commercial Stump Grinding,Large scale land clearing stump removal per hour,Commercial Services,hour,250,2,0
Right of Way Clearing,Clearing stumps along utility or road right of ways,Commercial Services,linear ft,25,0.2,0
Subdivision Lot Clearing,Complete stump eradication on new construction lot,Commercial Services,job,2500,18,200
Orchard Removal Service,Grinding multiple orchard fruit tree stumps,Commercial Services,each,110,0.88,0
Golf Course Hazard Grinding,Precision grinding near turf and bunker edges,Commercial Services,hour,220,1.76,0
Municipal Park Maintenance,Public park stump grinding municipal contract rate,Commercial Services,day,1200,8,133.33
Storm Damage Cleanup,Grinding down storm-snapped tree bases,Commercial Services,each,180,1.44,0
Root Barrier Installation,Installing plastic root barrier trench around trees,Specialty Services,linear ft,22,0.1,6.67
Tree Injection Removal,Specialized handling of chemically treated stumps,Specialty Services,each,130,1.04,0
Stump Burn-Out Prep,Drilling and preparing stump for chemical decomposition,Specialty Services,each,90,0.72,0
Soil Compaction Remediation,Aerating heavily compacted soil from equipment tracks,Specialty Services,sq ft,1,0,0.67
Perimeter Brush Clearing,Clearing small brush surrounding target stumps,Specialty Services,hour,95,0.76,0
Permit Acquisition Fee,Processing local environmental or tree removal permits,Administrative,job,75,0.6,0
Traffic Control Setup,Deploying cones and signs for roadside operations,Administrative,day,150,1.2,0
Environmental Fee,Disposal and regulatory compliance fee,Administrative,job,25,0.2,0
After Hours Dispatch Fee,Dispatch fee for weekend or night inquiries,Administrative,visit,100,0.8,0
