name,description,category,unit,price,labor_hours,material_cost
Standard Service Call,On-site diagnostic and assessment of siding damage,Diagnostics,visit,125,1,0
After-Hours Emergency Service Call,Urgent dispatch outside of normal business hours,Diagnostics,visit,250,2,0
Siding Leak Investigation,Water intrusion testing and moisture meter analysis,Diagnostics,hour,150,1.2,0
Thermal Imaging Scan,Infrared scan to detect hidden wall cavity moisture,Diagnostics,job,300,2,33.33
Insurance Claim Documentation,Detailed damage report with photos for insurance adjusters,Diagnostics,job,200,1.6,0
Standard Labor Rate,Hourly rate for general siding repairs and labor,Labor Rates,hour,95,1,0
Master Installer Labor Rate,Hourly rate for complex architectural detailing and trim,Labor Rates,hour,135,1,0
Overtime Labor Surcharge,Additional hourly rate multiplier for weekend or evening work,Labor Rates,hour,65,1,0
Two-Man Crew Daily Rate,Full day labor charge for a standard two-person crew,Labor Rates,day,1500,12,0
Scaffolding Setup and Rental,Erection and weekly rental of exterior staging equipment,Labor Rates,job,450,1.5,183.33
Vinyl Siding Removal,Stripping and hauling away existing vinyl siding materials,Removal & Disposal,sq ft,1,0.008,0
Fiber Cement Removal,Stripping and hauling away existing fiber cement siding,Removal & Disposal,sq ft,2,0.016,0
Wood Siding Removal,Stripping and hauling away existing wood plank or panel siding,Removal & Disposal,sq ft,2,0.016,0
Stucco Removal,Chipping out and disposing of exterior stucco cladding,Removal & Disposal,sq ft,4,0.032,0
Foam Backer Board Removal,Stripping underlying insulation board during demolition,Removal & Disposal,sq ft,1,0.008,0
Debris Dumpster Rental,"Delivery, rental, and pickup of a 30-yard disposal container",Removal & Disposal,job,650,0,433.33
Hazardous Material Disposal Fee,Special disposal handling for lead-based paint or asbestos siding,Removal & Disposal,job,500,0,333.33
Site Cleanup and Magnetic Sweep,Post-project cleanup including magnet sweep for fasteners,Removal & Disposal,job,150,1.2,0
House Wrap Installation,Application of breathable weather-resistant moisture barrier,Preparation & Substrate,sq ft,1,0.004,0.63
Rigid Foam Insulation Board,Installation of 1-inch exterior insulation foam board,Preparation & Substrate,sq ft,2,0.006,1.2
OSB Wall Sheathing Replacement,Replacement of damaged oriented strand board wall sheathing,Preparation & Substrate,sq ft,4,0.012,2.23
Plywood Wall Sheathing Replacement,Replacement of damaged exterior plywood wall decking,Preparation & Substrate,sq ft,5,0.014,2.8
Stud Repair and Sistering,Reinforcing or replacing rotted vertical wall framing studs,Preparation & Substrate,linear ft,35,0.18,8.67
Flashing Tape Application,Self-adhering flashing membrane around window and door openings,Preparation & Substrate,linear ft,3,0.016,0.67
Vinyl Siding Panel Replacement,Replacement of damaged standard vinyl siding panels,Vinyl Siding,sq ft,7,0.03,4.23
New Vinyl Siding Installation,Complete installation of new standard vinyl siding,Vinyl Siding,sq ft,8,0.035,4.8
Insulated Vinyl Siding Installation,Installation of premium foam-backed vinyl siding,Vinyl Siding,sq ft,11,0.045,6.8
Vinyl J-Channel Installation,Installation of perimeter and opening trim channels,Vinyl Siding,linear ft,4,0.015,1.4
Vinyl Corner Post Installation,Installation of outside or inside vinyl corner posts,Vinyl Siding,linear ft,9,0.03,3.4
Vinyl Starter Strip Installation,Leveling and fastening bottom starter course track,Vinyl Siding,linear ft,3,0.01,1.13
Fiber Cement Lap Siding Installation,Installation of Hardieplank or equivalent fiber cement siding,Fiber Cement,sq ft,12,0.05,7.07
Fiber Cement Panel Replacement,Removal and replacement of broken fiber cement lap boards,Fiber Cement,sq ft,15,0.065,8.9
Fiber Cement Vertical Siding,Installation of vertical panel style fiber cement cladding,Fiber Cement,sq ft,14,0.06,8.27
Fiber Cement Trim Board Installation,Installation of 4/4 or 5/4 fiber cement corner and window trim,Fiber Cement,linear ft,10,0.04,3.4
Fiber Cement Soffit Panel,Installation of vented or unvented fiber cement soffit panels,Fiber Cement,sq ft,13,0.055,7.6
Fiber Cement Touch-Up Painting,Field painting of cut edges and touched-up fastener heads,Fiber Cement,hour,85,0.6,6.67
Wood Bevel Siding Installation,Installation of cedar or redwood traditional bevel siding,Wood & Cedar Siding,sq ft,14,0.06,8.27
Wood Board and Batten Siding,Installation of vertical wood boards with decorative battens,Wood & Cedar Siding,sq ft,16,0.07,9.4
Cedar Shingle Siding Installation,Installation of individual or paneled cedar shake siding,Wood & Cedar Siding,sq ft,18,0.08,10.53
Wood Plank Board Replacement,Replacement of rotted individual cedar or pine planks,Wood & Cedar Siding,linear ft,18,0.08,10.53
Cedar Siding Staining,Application of semi-transparent penetrating oil stain,Wood & Cedar Siding,sq ft,3,0.01,1.2
Wood Siding Primer Application,Application of exterior oil-based primer on raw wood,Wood & Cedar Siding,sq ft,2,0.008,0.67
Aluminum Lap Siding Replacement,Replacement of damaged metal lap siding sections,Metal & Composite Siding,sq ft,10,0.04,5.93
Steel Siding Installation,Installation of heavy-duty seamless steel siding panels,Metal & Composite Siding,sq ft,15,0.06,8.8
Composite Siding Installation,Installation of engineered wood composite siding panels,Metal & Composite Siding,sq ft,13,0.05,7.6
Metal Corner Flashing Fabrication,Custom brake-formed metal corner trim installation,Metal & Composite Siding,linear ft,12,0.05,3.93
Aluminum Fascia Wrap,Covering existing wood fascia with custom bent aluminum coil,Trim & Soffit,linear ft,11,0.045,3.6
Aluminum Rake Wrap,Covering gable rake boards with custom bent aluminum coil,Trim & Soffit,linear ft,12,0.05,3.93
Aluminum Soffit Installation,Installation of vented or solid aluminum soffit panels,Trim & Soffit,sq ft,8,0.035,4.6
Wood Fascia Board Replacement,Replacement of rotted 2x6 or 2x8 wood fascia boards,Trim & Soffit,linear ft,20,0.08,11.73
Wood Rake Board Replacement,Replacement of rotted gable rake boards,Trim & Soffit,linear ft,22,0.09,12.87
PVC Trim Board Installation,Installation of rot-proof cellular PVC boards for trim,Trim & Soffit,linear ft,14,0.05,8.27
Crown Molding Exterior Detail,Installation of architectural exterior PVC crown molding,Trim & Soffit,linear ft,25,0.1,14.33
Window Flashing Kit Installation,Installation of aluminum sill pan and head flashing,Flashing & Details,each,75,0.35,22
Door Flashing Kit Installation,Installation of exterior door head and jamb flashing,Flashing & Details,each,95,0.45,26.67
Step Flashing Installation,Installation of step flashing where roof meets wall siding,Flashing & Details,linear ft,12,0.05,3.93
Kickout Flashing Installation,Installation of diverter flashing at roof wall intersections,Flashing & Details,each,85,0.4,23.33
Z-Flashing Installation,Metal flashing installed horizontally above ledger boards and ledges,Flashing & Details,linear ft,8,0.03,2.8
Foundation Drip Edge Installation,Installation of starter metal flashing above foundation wall,Flashing & Details,linear ft,7,0.025,2.53
Friese Board Installation,Installation of top horizontal wall trim board under eaves,Flashing & Details,linear ft,10,0.04,3.4
Exterior Caulking Service,"Sealing all window perimeters, trim joints, and penetrations",Caulking & Weatherproofing,linear ft,3,0.015,0.73
Expansion Joint Sealing,Installation of backer rod and high-grade elastomeric sealant,Caulking & Weatherproofing,linear ft,5,0.025,1.2
Control Joint Installation,Installation of metal or vinyl control joints in siding runs,Caulking & Weatherproofing,linear ft,9,0.04,2.67
Weatherstripping Replacement,Replacement of worn perimeter door and window seals,Caulking & Weatherproofing,linear ft,6,0.03,1.4
Attic Ventilation Gable Louver,Installation of decorative gable vent louver with screen,Vents & Accessories,each,175,0.8,53.33
Dryer Vent Hood Replacement,Replacement of exterior louvered dryer exhaust vent hood,Vents & Accessories,each,90,0.4,26.67
Bathroom Exhaust Vent Hood,Replacement of flanged exhaust vent cap through siding,Vents & Accessories,each,85,0.35,26.67
Electrical Meter Base Trim-Out,Framing and siding around utility meter socket and conduit,Vents & Accessories,job,150,0.8,35.33
Light Fixture Mounting Block,Installation of surface mounting block for exterior sconce,Vents & Accessories,each,65,0.3,17.67
Water Spigot Mounting Block,Installation of mounting block around exterior hose bib,Vents & Accessories,each,65,0.3,17.67
Decorative Gable Pediment,Installation of architectural gable accent pediment,Vents & Accessories,each,350,1.2,133.33
Board and Batten Accent Wall,Installation of accent vertical board and batten feature wall,Architectural Accents,sq ft,16,0.07,9.4
Shake Siding Accent Gable,Installation of cedar-look shake siding on gable peak accent,Architectural Accents,sq ft,17,0.075,9.93
