name,description,category,unit,price
Standard Interior Inspection,Visual condition assessment and photo documentation,Inspections,visit,75
Emergency Property Securing,Initial lock change and window board-up service,Inspections,job,250
Occupancy Verification,Site visit to confirm vacant or occupied status,Inspections,visit,60
Initial Damage Report,Detailed repair scope with photographic evidence,Inspections,job,150
Hazard Assessment,Identify safety risks and mold conditions,Inspections,visit,125
Routine Maintenance Visit,Scheduled monthly property check and light upkeep,Inspections,visit,95
Pre-Listing Inspection,Punch list check prior to market readiness,Inspections,visit,110
Winterization Inspection,Check plumbing systems and anti-freeze status,Inspections,visit,85
Debris Removal Assessment,Estimate volume of trash and personal property,Inspections,visit,75
Roof Interior Leak Check,Attic inspection for active water intrusion,Inspections,visit,90
General Labor Rate,Standard hourly rate for interior maintenance,Labor,hour,65
Skilled Carpentry Labor,"Hourly rate for trim, framing, and built-ins",Labor,hour,85
Plumbing Labor Rate,Licensed plumbing repair and installation labor,Labor,hour,115
Electrical Labor Rate,Licensed electrical repair and fixture labor,Labor,hour,120
Drywall Finish Labor,"Hanging, taping, mudding, and texturing labor",Labor,hour,75
Painting Labor Rate,Interior wall and ceiling painting labor,Labor,hour,60
Tile Installation Labor,Floor and wall tile setting labor,Labor,hour,90
Flooring Installation Labor,"LVP, carpet, or laminate installation labor",Labor,hour,70
Debris Hauling Labor,Loading and sorting trash for removal,Labor,hour,55
After-Hours Emergency Labor,Priority dispatch for urgent maintenance issues,Labor,hour,150
Deadbolt Lock Replacement,Standard passage and deadbolt lockset install,Security & Hardware,each,95
Padlock and Hasp Installation,Secure outbuilding or shed door with steel hasp,Security & Hardware,each,65
Window Board-Up,Plywood cover secured over broken glass opening,Security & Hardware,each,75
Door Board-Up,Secure exterior entry with reinforced plywood panel,Security & Hardware,each,110
Keyless Entry Lock Install,Electronic digital deadbolt assembly installation,Security & Hardware,each,175
Interior Door Knob Replacement,Passage or privacy knob hardware replacement,Security & Hardware,each,45
Bi-Fold Closet Door Repair,Adjust or replace top track and pivot pins,Security & Hardware,each,80
Cabinet Door Hinge Replacement,Concealed self-closing hinge swap per door,Security & Hardware,each,35
Smoke Detector Installation,Battery-operated 10-year sealed ionization smoke alarm,Security & Hardware,each,50
Carbon Monoxide Detector Install,Plug-in or wall-mounted digital CO detector,Security & Hardware,each,60
Drywall Patch Small,Repair hole up to 6 inches square,Drywall & Walls,each,125
Drywall Patch Medium,Repair hole up to 2 feet square,Drywall & Walls,each,220
Drywall Patch Large,Repair section up to 4x8 sheet size,Drywall & Walls,each,380
Corner Bead Repair,Replace damaged metal or paper drywall corner,Drywall & Walls,linear ft,18
Baseboard Trim Replacement,Remove and install standard MDF base moulding,Drywall & Walls,linear ft,8
Quarter Round Installation,Shoe molding installation along flooring edge,Drywall & Walls,linear ft,5
Wall Texturing Service,Match existing orange peel or knockdown texture,Drywall & Walls,sq ft,3
Wallpaper Removal,Strip wallpaper and wash residual glue off walls,Drywall & Walls,sq ft,4
Interior Wall Painting,Two coats of paint on standard height walls,Drywall & Walls,sq ft,2
Ceiling Painting,Prime and paint flat or textured ceiling surface,Drywall & Walls,sq ft,3
Toilet Replacement,Remove old toilet and install new standard bowl,Plumbing,each,275
Toilet Wax Ring & Bolt Kit,Reset loose toilet with new seal and hardware,Plumbing,each,120
Bathroom Faucet Replacement,Install new center-set sink faucet and supply lines,Plumbing,each,190
Kitchen Faucet Replacement,Install single-handle pull-down kitchen faucet,Plumbing,each,220
P-Trap Assembly Repair,Replace leaking under-sink PVC drainage trap,Plumbing,each,95
Shower Valve Cartridge Swap,Replace leaking single-handle shower mixing valve,Plumbing,each,185
Water Heater Supply Line Fix,Replace corroded flexible water heater connectors,Plumbing,each,150
Drain Unclogging Service,Snake main sink or tub branch drain line,Plumbing,each,160
Supply Line Shut-Off Valve,Replace stuck angle stop valve under sink or toilet,Plumbing,each,110
Sump Pump Replacement,Install new submersible pit pump and check valve,Plumbing,each,380
Light Fixture Replacement,Remove old and install new ceiling flush-mount light,Electrical,each,110
Ceiling Fan Installation,Assemble and hang standard ceiling fan with light,Electrical,each,195
Outlet Receptacle Replacement,Swap standard duplex outlet or tamper-resistant plug,Electrical,each,45
GFCI Outlet Installation,Install ground fault circuit interrupter in wet area,Electrical,each,95
Light Switch Replacement,Standard single-pole or three-way toggle switch swap,Electrical,each,50
Wall Plate Cover Replacement,Install plastic switch or outlet cover plate,Electrical,each,15
Circuit Breaker Replacement,Replace standard single-pole breaker in main panel,Electrical,each,140
Bulb Replacement Service,Install standard LED bulbs in existing fixtures,Electrical,each,20
Doorbell Chime Repair,Troubleshoot and replace wired doorbell button,Electrical,each,85
Electric Heater Thermostat Swap,Replace baseboard line-voltage wall thermostat,Electrical,each,125
LVP Flooring Installation,Install luxury vinyl plank flooring with underlayment,Flooring,sq ft,4
Carpet Roll Installation,Lay broadloom carpet over tacked padding,Flooring,sq ft,5
Ceramic Tile Flooring Install,Set and grout ceramic tile on concrete or wood subfloor,Flooring,sq ft,8
Sheet Vinyl Flooring Install,Glue down resilient sheet vinyl flooring material,Flooring,sq ft,4
Flooring Demolition,"Rip up old carpet, vinyl, or tile and haul away",Flooring,sq ft,2
Subfloor Section Replacement,Cut out and replace damaged OSB or plywood subfloor,Flooring,sq ft,12
Carpet Patch Repair,Cut out stained carpet section and insert donor piece,Flooring,each,150
Threshold Strip Installation,Install metal or wood transition strip between rooms,Flooring,linear ft,25
Stair Tread Replacement,Remove and install solid wood stair tread step,Flooring,each,95
