name,description,category,unit,price,labor_hours,material_cost
Standard Service Call,Initial dispatch and first hour of diagnostic labor,Diagnostics & Labor,visit,175,1.4,0
After-Hours Emergency Dispatch,Emergency service call outside normal business hours,Diagnostics & Labor,visit,350,2.8,0
Sign Technician Labor,Hourly rate for skilled sign installation and repair labor,Diagnostics & Labor,hour,125,1,0
Lead Installer Labor,Hourly rate for certified lead installation technician,Diagnostics & Labor,hour,155,1.24,0
Bucket Truck and Operator,Hourly rate for crane or bucket truck with operator,Diagnostics & Labor,hour,225,1.8,0
Electrical Troubleshooting,Diagnose electrical shorts and power supply issues,Diagnostics & Labor,hour,145,1.16,0
Site Survey and Measurement,Detailed site inspection and dimensional measurements,Diagnostics & Labor,job,250,2,0
Engineering Wind Load Calculation,Structural engineering stamp for sign permitting,Diagnostics & Labor,job,650,5.2,0
Permit Acquisition Service,Preparation and submission of municipal sign permits,Permits & Disposal,job,300,2.4,0
Variance Application Filing,Filing and representation for sign code variances,Permits & Disposal,job,750,6,0
Old Sign Removal and Disposal,Dismantle and haul away existing exterior sign,Permits & Disposal,job,450,2.6,86.67
Large Pylon Sign Removal,Dismantle and dispose of multi-pole pylon sign,Permits & Disposal,job,1800,10,366.67
Hazardous Material Disposal Fee,Disposal fee for neon transformers and fluorescent tubes,Permits & Disposal,each,75,0,50
Debris Haul-Away,Removal of concrete footings and heavy installation debris,Permits & Disposal,job,350,1.6,100
Traffic Control Setup,Lane closure setup with cones and safety signage,Permits & Disposal,day,400,2.4,66.67
Police Detail Coordination,Coordination of municipal traffic detail officers,Permits & Disposal,day,250,2,0
LED Power Supply Replacement 60W,Replace 12V DC waterproof LED power supply,Electrical & Lighting,each,180,0.8,53.33
LED Power Supply Replacement 120W,Replace high-capacity 12V DC LED power supply,Electrical & Lighting,each,260,0.8,106.67
LED Power Supply Replacement 240W,Replace industrial-grade 240W LED power supply,Electrical & Lighting,each,380,0.8,186.67
LED Module String Replacement,Replace failed section of exterior LED channel modules,Electrical & Lighting,linear ft,35,0.15,11
T12 Fluorescent Ballast Replacement,Replace magnetic fluorescent sign ballast,Electrical & Lighting,each,210,0.9,66.67
T8 Electronic Ballast Replacement,Replace electronic fluorescent sign ballast,Electrical & Lighting,each,195,0.9,56.67
Neon Transformer Replacement 9000V,Replace high-voltage neon housing transformer,Electrical & Lighting,each,320,1,133.33
Neon Tube Repair and Re-gassing,Repair cracked neon glass and pump with inert gas,Electrical & Lighting,linear ft,85,0.4,23.33
Photo Cell Replacement,Replace dusk-to-dawn automatic lighting control sensor,Electrical & Lighting,each,125,0.6,33.33
Digital Timer Switch Installation,Install programmable indoor sign timing clock,Electrical & Lighting,each,175,0.8,50
Weatherproof Disconnect Switch,Install exterior safety disconnect switch near sign,Electrical & Lighting,each,220,0.9,73.33
Sign Branch Circuit Wiring,Run new electrical conduit and wire to sign base,Electrical & Lighting,linear ft,22,0.1,6.33
LED Retrofit Fluorescent Cabinet,Convert old fluorescent cabinet to direct-wire LED tubes,Electrical & Lighting,sq ft,28,0.12,8.67
Ground Fault Circuit Interrupter,Install outdoor GFCI weather-resistant receptacle,Electrical & Lighting,each,160,0.7,46.67
Wall-Mounted Channel Letter Install,Install raceway-mounted LED channel letters on masonry,Cabinet & Channel Letters,each,850,4.5,191.67
Direct Pin-Mount Channel Letters,Install individual flush-mounted halo lit letters,Cabinet & Channel Letters,each,950,5,220
Raceway Paint Matching,Custom paint sign raceway to match building facade,Cabinet & Channel Letters,job,200,1.2,33.33
Channel Letter Face Replacement,Replace broken acrylic face and trim cap on letter,Cabinet & Channel Letters,each,140,0.6,43.33
Channel Letter Trim Cap Replacement,Replace faded or loose plastic trim cap on letter,Cabinet & Channel Letters,linear ft,18,0.08,5.33
Single Face Wall Cabinet Install,Mount standard illuminated wall box cabinet,Cabinet & Channel Letters,sq ft,45,0.2,13.33
Double Face Pole Cabinet Install,Mount double-sided sign cabinet to existing pole,Cabinet & Channel Letters,sq ft,60,0.25,19.33
Polycarbonate Face Replacement,Replace damaged impact-resistant sign face,Cabinet & Channel Letters,sq ft,32,0.12,11.2
Acrylic Sign Face Replacement,Replace standard extruded acrylic sign face,Cabinet & Channel Letters,sq ft,26,0.1,9.07
Flexible Sign Face Replacement,Replace flex-face vinyl banner in large cabinet,Cabinet & Channel Letters,sq ft,22,0.1,6.4
Flex Face Tension Retensioning,Tighten and re-tension loose flex sign face,Cabinet & Channel Letters,sq ft,12,0.08,1.47
Cabinet Hinges and Latches Repair,Replace rusted cabinet hinges and locking latches,Cabinet & Channel Letters,job,175,1,33.33
Weep Hole Drilling and Clearing,Drill drainage holes to prevent internal water pooling,Cabinet & Channel Letters,each,65,0.5,1.67
