name,description,category,unit,price,labor_hours,material_cost
Commercial Service Call Fee,Standard dispatch and travel for commercial site visit,Diagnostics & Service,visit,150,1,16.67
Pest Inspection and Audit,Comprehensive facility inspection for commercial pest activity,Diagnostics & Service,visit,250,2,0
Emergency After-Hours Dispatch,Urgent unscheduled technician dispatch outside normal hours,Diagnostics & Service,visit,350,2.5,20.83
Food Safety Audit Prep Inspection,Pre-audit sanitation and pest vulnerability assessment,Diagnostics & Service,visit,300,2.4,0
Standard Pest Control Labor,Regular hourly technician labor rate,Labor Rates,hour,115,1,0
After-Hours Emergency Labor,Overtime hourly technician labor rate,Labor Rates,hour,175,1,33.33
Specialized Sanitation Labor,Hourly rate for deep cleaning and sanitation,Labor Rates,hour,135,1,6.67
Consulting and Expert Witness Labor,Specialized regulatory and compliance consultation,Labor Rates,hour,200,1.6,0
Rodent Station Installation,Secure exterior tamper-resistant bait station placement,Rodent Control,each,45,0.2,13.33
Rodent Station Service,Bait refill and inspection of exterior station,Rodent Control,each,22,0.15,2
Mechanical Snap Trap Set,Interior heavy-duty snap trap placement,Rodent Control,each,18,0.1,3.67
Multi-Catch Mouse Trap Placement,Continuous catch mechanical mouse trap deployment,Rodent Control,each,25,0.1,8.33
Electronic Rodent Monitor Installation,Smart connected rodent sensor setup and testing,Rodent Control,each,75,0.3,25
Rodent Burrow Baiting,Active exterior rodent burrow treatment,Rodent Control,each,35,0.2,6.67
Wire Mesh Rodent Exclusion,Galvanized hardware cloth installation per opening,Rodent Control,linear ft,15,0.08,3.67
Expanding Foam Gap Sealing,Pest-block expanding foam application for minor gaps,Rodent Control,linear ft,12,0.06,3
Commercial Door Sweep Installation,Heavy-duty brush seal for rodent exclusion,Rodent Control,each,125,0.5,43.33
Roll-up Door Brush Seal Replacement,Commercial loading dock door sweep installation,Rodent Control,linear ft,28,0.12,8.67
PVC Strip Curtain Installation,Loading dock insect and rodent barrier strips,Rodent Control,linear ft,45,0.2,10
Interior Insect Light Trap Installation,Wall-mounted glue board fly light setup,Flying Insect Control,each,150,0.6,50
ILT Glue Board Replacement,Replacement of sticky boards in insect light traps,Flying Insect Control,each,15,0.1,1.67
ILT UV Bulb Replacement,Annual replacement of ultraviolet insect attractant lamps,Flying Insect Control,each,35,0.15,11
Exterior Fly Bait Station Setup,Granular fly bait station placement and service,Flying Insect Control,each,40,0.2,10
Drain Treatment for Fruit Flies,Bacterial bio-enzymatic drain foaming treatment,Flying Insect Control,gallon,85,0.3,31.67
Mosquito Mist Blower Treatment,Perimeter barrier spray for flying pest reduction,Flying Insect Control,sq ft,0.08,0,0.04
Automatic Misting System Install,Perimeter insect misting system control unit setup,Flying Insect Control,job,1200,4,466.67
Misting System Refill Solution,Refill of botanical insecticide for automatic system,Flying Insect Control,gallon,95,0.2,43.33
Air Curtain Installation,Commercial overhead doorway insect barrier fan setup,Flying Insect Control,each,450,1.5,183.33
German Cockroach Gel Bait Application,Targeted crack and crevice baiting treatment,Crawling Insect Control,visit,175,1,33.33
Bed Bug Thermal Remediation Prep Inspection,Pre-heat treatment room check and resident prep verification,Crawling Insect Control,visit,200,1.6,0
Bed Bug Whole Room Heat Treatment,Thermal eradication of bed bugs in commercial space,Crawling Insect Control,sq ft,2.5,0.01,1.15
Bed Bug Mattress Encase Installation,Commercial grade zippered mattress protector setup,Crawling Insect Control,each,90,0.3,33.33
Stored Product Pest Pheromone Trap,Pantry pest monitoring trap placement,Crawling Insect Control,each,20,0.1,5
Ant Colony Direct Nest Injection,Liquid residual application to active ant harborage,Crawling Insect Control,visit,150,1,16.67
Flea and Tick Interior Broadcast Spray,Carpet and baseboard treatment for fleas and ticks,Crawling Insect Control,sq ft,0.22,0.001,0.1
Silverfish Dust Application,Attic or crawlspace silica dust treatment,Crawling Insect Control,sq ft,0.15,0.001,0.06
Spider Web De-webging Service,Removal of webs and egg sacs up to 15 feet,Crawling Insect Control,linear ft,2,0.012,0.33
Perimeter Liquid Residual Spray,Exterior foundation barrier treatment for crawling pests,Crawling Insect Control,linear ft,0.75,0.004,0.3
Wood Boring Beetle Treatment,Direct injection and surface spray for wood pests,Crawling Insect Control,sq ft,0.45,0.002,0.2
Pre-Construction Soil Termite Treatment,Horizontal liquid termiticide barrier application,Termite & Wood Destroying,sq ft,0.35,0.002,0.15
