name,description,category,unit,price
Emergency Service Call Fee,After-hours dispatch and initial on-site arrival,Diagnostics & Callout,visit,250
Standard Inspection and Assessment,Moisture mapping and damage scope evaluation,Diagnostics & Callout,visit,175
Thermal Imaging Scan,Infrared camera detection of hidden moisture pockets,Diagnostics & Callout,job,150
Moisture Meter Reading,Daily atmospheric and structural moisture documentation,Diagnostics & Callout,visit,95
Hazardous Material Testing,Sampling for asbestos or lead before demolition,Diagnostics & Callout,each,275
Emergency Water Extraction,Standing water removal using truck-mounted or portable pumps,Extraction & Mitigation,hour,175
Weighted Extraction,Extraction from carpet and pad using weighted tools,Extraction & Mitigation,sq ft,0.35
Hardwood Floor Extraction,Specialized panel extraction for hardwood drying systems,Extraction & Mitigation,sq ft,0.85
Sewage Extraction and Cleanup,Category 3 contaminated water removal and site flush,Extraction & Mitigation,hour,225
Debris Cleanup and Bagging,Gathering and bagging wet unusable contents and debris,Extraction & Mitigation,hour,85
Anti-Microbial Application,Disinfectant spray to prevent mold growth on surfaces,Antimicrobial & Cleaning,sq ft,0.25
Deodorization Fogging,ULV fogging for odor neutralization in affected areas,Antimicrobial & Cleaning,sq ft,0.3
HEPA Vacuuming,"Vacuuming of soot, fine dust, and mold spores",Antimicrobial & Cleaning,sq ft,0.35
Content Cleaning and Sanitization,Manual cleaning of salvageable personal property,Antimicrobial & Cleaning,hour,95
HVAC Duct Cleaning and Sanitization,Cleaning and antimicrobial treatment of ductwork,Antimicrobial & Cleaning,job,450
Industrial Air Mover Rental,High-velocity centrifugal air mover for structural drying,Equipment Rental,day,35
LGR Dehumidifier Rental,Low Grain Refrigerant dehumidifier for moisture removal,Equipment Rental,day,175
Desiccant Dehumidifier Rental,High-capacity desiccant dehumidifier for large structures,Equipment Rental,day,350
HEPA Air Scrubber Rental,Negative air machine with HEPA filtration,Equipment Rental,day,125
Subfloor Drying System Rental,Injected air drying setup for hardwood and subfloors,Equipment Rental,day,200
Temporary Power Distribution Box Rental,Spider box and heavy-duty cords for drying equipment,Equipment Rental,day,50
Equipment Setup and Monitoring,Initial placement and daily equipment check labor,Equipment Rental,hour,95
Drywall Demolition - Flood Cut,Removal of water-damaged drywall up to 2 feet,Demolition & Removal,linear ft,4.5
