name,description,category,unit,price,labor_hours,material_cost
Initial Site Inspection and Measure,Onsite walk-through and digital measurement for estimating.,Diagnostics and Consulting,visit,150,1.2,0
Color Consultation and Drawdown,Professional color matching and sample board creation.,Diagnostics and Consulting,each,250,1.5,43.33
Substrate Moisture Testing,Concrete and drywall moisture content meter testing.,Diagnostics and Consulting,each,175,1.2,13.33
Lead Paint Testing,EPA compliant XRF or chemical swab testing.,Diagnostics and Consulting,each,225,1.5,23.33
Adhesion Testing,Cross-hatch tape test for existing coating integrity.,Diagnostics and Consulting,each,200,1.4,16.67
Standard Painter Labor,Hourly rate for production painting and prep work.,Labor Rates,hour,65,1,0
Foreman Supervision Labor,"Site management, quality control, and crew direction.",Labor Rates,hour,85,1,0
After Hours Shift Surcharge,Night or weekend shift labor premium rate.,Labor Rates,hour,45,0.36,0
Union Painter Labor,Hourly rate for mandated union labor projects.,Labor Rates,hour,110,1,0
Safety Monitor Labor,Dedicated safety watch for confined spaces or scaffolding.,Labor Rates,hour,55,1,0
Drywall Patch and Repair,Patching holes up to 12 inches square.,Surface Preparation and Repairs,each,75,0.5,8.33
Drywall Tape and Mud Repair,Repairing cracked or damaged drywall tape seams.,Surface Preparation and Repairs,linear ft,12,0.08,1.33
Plaster Crack Repair,V-grooving and filling structural plaster cracks.,Surface Preparation and Repairs,linear ft,18,0.1,2
Wallpaper Removal,Stripping existing wallpaper and backing paper.,Surface Preparation and Repairs,sq ft,2,0.015,0.2
Wallpaper Glue Residue Removal,Washing and neutralizing residual adhesive.,Surface Preparation and Repairs,sq ft,1,0.006,0.13
Caulking Gaps and Joints,Applying elastomeric sealant to gaps and joints.,Surface Preparation and Repairs,linear ft,2,0.01,0.33
Acoustic Ceiling Texture Patch,Repatching and texturing popcorn ceiling areas.,Surface Preparation and Repairs,sq ft,8,0.05,1.17
Concrete Spall Repair,Patching minor concrete surface spalls prior to coating.,Surface Preparation and Repairs,each,95,0.5,22
Metal Surface Rust Neutralization,Wire brushing and applying rust convertor to steel.,Surface Preparation and Repairs,sq ft,3,0.015,0.73
Wood Millwork Sanding,"Sanding down doors, frames, and baseboards.",Surface Preparation and Repairs,linear ft,3,0.02,0.33
Interior Wall Washing,Cleaning grease and dust from walls with TSP.,Surface Preparation and Repairs,sq ft,1,0.006,0.13
