name,description,category,unit,price
Standard Service Call,Initial dispatch and diagnostic for commercial property,Diagnostics,visit,175
After Hours Emergency Dispatch,Emergency priority diagnostic outside normal business hours,Diagnostics,visit,350
Master Electrician Hourly Rate,Hourly rate for complex troubleshooting and oversight,Labor,hour,145
Journeyman Electrician Hourly Rate,Hourly rate for standard electrical installation and repair,Labor,hour,125
Apprentice Electrician Hourly Rate,Hourly rate for assistant electrical support labor,Labor,hour,85
Commercial Panel Inspection,Comprehensive thermal and physical electrical panel inspection,Diagnostics,job,350
Megger Insulation Testing,High voltage insulation resistance test per circuit,Diagnostics,each,150
Power Quality Analysis,24-hour electrical system harmonic and load logging,Diagnostics,job,950
Circuit Tracer Service,Tracing hidden conduits and circuit mapping,Diagnostics,hour,135
Lighting Photometric Study,Light level measurement and compliance assessment,Diagnostics,job,450
Commercial Permit Acquisition,Filing and processing local municipal electrical permits,Permits,job,250
Plan Review Submittal,Engineering drawing submission for municipal approval,Permits,job,400
Electrical Utility Coordination,Coordination with power company for service changes,Permits,job,350
Hazardous Material Disposal Fee,Disposal of fluorescent lamps and ballasts,Disposal,job,125
Transformer Recycling Fee,Environmentally safe disposal of old dry-type transformers,Disposal,each,200
Scrap Metal Haul Away,Removal and recycling of old conduit and wire scrap,Disposal,job,150
20A 120V Duplex Receptacle Replacement,Commercial grade tamper-resistant receptacle swap,Wiring and Devices,each,65
20A 250V Twist-Lock Receptacle,Heavy-duty locking receptacle installation,Wiring and Devices,each,145
GFCI Duplex Receptacle,Commercial weather-resistant GFCI outlet replacement,Wiring and Devices,each,95
Isolated Ground Receptacle,Dedicated orange IG receptacle for sensitive electronics,Wiring and Devices,each,110
Single Pole Toggle Switch,Standard commercial 20A light switch replacement,Wiring and Devices,each,75
Three-Way Toggle Switch,Multi-location lighting control switch replacement,Wiring and Devices,each,90
Timer Switch Installation,Mechanical or digital spring wound timer switch,Wiring and Devices,each,185
Occupancy Sensor Wall Switch,Passive infrared wall switch lighting sensor,Wiring and Devices,each,165
Floor Box Assembly Replacement,Commercial recessed floor box and cover replacement,Wiring and Devices,each,350
Surface Metallic Raceway,Wiremold installation for surface mounted circuits,Wiring and Devices,linear ft,28
EMT Conduit Run 1/2 Inch,Electrical metallic tubing installation with fittings,Conduit,linear ft,14
EMT Conduit Run 3/4 Inch,Electrical metallic tubing installation with fittings,Conduit,linear ft,18
EMT Conduit Run 1 Inch,Electrical metallic tubing installation with fittings,Conduit,linear ft,24
Rigid Galvanized Conduit 1 Inch,Heavy-duty threaded exterior metal conduit,Conduit,linear ft,38
Liquidtight Flexible Metal Conduit,Waterproof flexible conduit for equipment connections,Conduit,linear ft,22
PVC Conduit Schedule 40 1 Inch,Underground or wet location plastic conduit,Conduit,linear ft,16
MC Cable Run 12/2,Metal-clad commercial branch circuit wiring,Wiring and Devices,linear ft,6
MC Cable Run 12/3,Metal-clad multi-wire branch circuit wiring,Wiring and Devices,linear ft,8
MC Cable Run 10/3,Metal-clad heavy duty branch circuit wiring,Wiring and Devices,linear ft,11
THHN Copper Wire Pull #12,Pulling single conductor copper wire inside conduit,Wiring and Devices,linear ft,2
THHN Copper Wire Pull #10,Pulling single conductor copper wire inside conduit,Wiring and Devices,linear ft,3
THHN Copper Wire Pull #rum,Pulling large feeder copper wire inside conduit,Wiring and Devices,linear ft,12
100A 3-Phase Main Breaker,Replacement main circuit breaker in panel,Distribution,each,650
200A 3-Phase Main Breaker,Replacement main circuit breaker in panel,Distribution,each,950
15A 1-Pole Bolt-On Breaker,Commercial panel branch circuit breaker replacement,Distribution,each,75
20A 1-Pole Bolt-On Breaker,Commercial panel branch circuit breaker replacement,Distribution,each,80
20A 2-Pole Bolt-On Breaker,Commercial 208V 2-pole breaker replacement,Distribution,each,140
30A 3-Pole Bolt-On Breaker,Commercial 3-phase motor circuit breaker replacement,Distribution,each,220
50A 3-Pole Bolt-On Breaker,Commercial heavy equipment circuit breaker,Distribution,each,280
Surge Protective Device,Main service panel surge suppressor installation,Distribution,each,850
Subpanel Installation 100A,Secondary distribution panel mounting and wiring,Distribution,job,1450
Subpanel Installation 200A,Secondary distribution panel mounting and wiring,Distribution,job,2200
Panel Directory Re-typing,Professional typed directory inside electrical panel,Distribution,job,150
Commercial Ground Rod Installation,Driven copper-clad ground rod with exothermic weld,Distribution,each,350
LED Troffer Fixture 2x4,Recessed grid ceiling LED lighting panel replacement,Lighting,each,185
LED Troffer Fixture 2x2,Recessed grid ceiling square LED light replacement,Lighting,each,155
