name,description,category,unit,price,labor_hours,material_cost
Diagnostic Fee Standard,Troubleshoot standard HVAC system during normal business hours,Diagnostics,visit,129,1,0
Diagnostic Fee After Hours,Troubleshoot HVAC system during emergency or after hours,Diagnostics,visit,249,1.5,0
Diagnostic Fee Weekend,Troubleshoot HVAC system during weekend hours,Diagnostics,visit,199,1.5,0
System Performance Check,Comprehensive check of pressures temperatures and airflow,Diagnostics,visit,159,1,0
Refrigerant Leak Search Electronic,Detect refrigerant leaks using electronic sniffing equipment,Diagnostics,hour,185,1,40
Refrigerant Leak Search UV Dye,Inject UV dye and inspect system for refrigerant leaks,Diagnostics,job,195,1,46
Combustion Analysis Test,Test furnace efficiency CO levels and draft pressure,Diagnostics,visit,149,1,0
Blower Door Air Leakage Test,Measure building envelope air leakage rate,Diagnostics,job,350,2,66
Duct Camera Inspection,Visual inspection of duct interior using camera probe,Diagnostics,visit,195,1,46
Electrical Circuit Troubleshooting,Diagnose complex low and high voltage electrical faults,Diagnostics,hour,175,1,33
Standard Labor Rate,General HVAC installation and repair labor per technician,Labor,hour,165,1,0
After Hours Labor Rate,Emergency repair labor outside normal business hours,Labor,hour,275,1,0
Two Technician Labor Rate,Required tandem labor for heavy lifting or complex installs,Labor,hour,285,1,0
Sheet Metal Fabrication Labor,Custom transition and plenum fabrication work,Labor,hour,185,1,40
Brazing and Soldering Labor,Copper line set modification and repair labor,Labor,hour,175,1,33
Thermostat Replacement Standard,Replace existing thermostat with customer supplied unit,Controls,each,125,0.75,21
Programmable Thermostat Supply and Install,Furnish and install standard programmable digital thermostat,Controls,each,225,0.75,88
Wi-Fi Thermostat Supply and Install,Furnish and install smart Wi-Fi connected thermostat,Controls,each,349,1,149
Smart Thermostat with Remote Sensor,Install smart thermostat and one remote temperature sensor,Controls,each,449,1.25,199
Zone Control Board Replacement,Replace main electronic zoning control panel,Controls,each,589,1.5,266
Motorized Zone Damper Replacement,Replace automatic duct zone damper actuator and body,Controls,each,425,1.5,166
Transformer Replacement,Replace low voltage 24V control transformer,Controls,each,195,0.75,67
Fan Control Board Replacement,Replace furnace integrated furnace control board,Controls,each,415,1.25,176
Defrost Control Board Replacement,Replace heat pump outdoor defrost control board,Controls,each,435,1.25,190
Condenser Fan Motor Replacement,Replace outdoor condenser fan motor and blade,Electrical,each,549,1.5,246
Condenser Dual Run Capacitor Replacement,Replace outdoor dual run motor run capacitor,Electrical,each,245,0.75,99
Indoor Blower Motor Replacement PSC,Replace standard permanent split capacitor indoor blower motor,Electrical,each,625,2,249
Indoor Blower Motor Replacement ECM,Replace high efficiency electronically commutated blower motor,Electrical,each,985,2.5,443
Blower Motor Run Capacitor Replacement,Replace indoor blower motor capacitor,Electrical,each,215,0.75,82
Contactor Replacement Single Pole,Replace 30 amp single pole compressor contactor,Electrical,each,225,0.75,88
Contactor Replacement Double Pole,Replace heavy duty double pole compressor contactor,Electrical,each,265,0.75,115
Hard Start Kit Installation,Install compressor potential relay and start capacitor assist kit,Electrical,each,315,1,126
Outdoor Disconnect Box Replacement,Replace exterior electrical pullout disconnect box,Electrical,each,285,1,106
Whip and Conduit Replacement,Replace electrical whip and waterproof conduit to unit,Electrical,each,165,0.75,49
Flame Sensor Replacement,Clean or replace furnace flame rectification sensor,Heating Repairs,each,175,0.75,54
Hot Surface Ignitor Replacement,Replace silicon nitride or carbide furnace ignitor,Heating Repairs,each,245,0.75,101
Gas Valve Replacement Standard,Replace standard multi-stage gas control valve,Heating Repairs,each,585,1.5,263
Inducer Draft Motor Replacement,Replace furnace draft inducer exhaust fan motor assembly,Heating Repairs,each,685,1.75,296
Pressure Switch Replacement,Replace furnace combustion safety air pressure switch,Heating Repairs,each,265,1,93
Limit Switch Replacement,Replace furnace high limit safety switch,Heating Repairs,each,215,0.75,82
Rollout Switch Replacement,Replace manual reset rollout safety switch,Heating Repairs,each,195,0.75,69
Flue Pipe Repair,Repair or secure venting pipe for draft safety,Heating Repairs,hour,185,1,40
