name,description,category,unit,price
Design Consultation,Initial on-site meeting to discuss scope and style.,Design & Planning,visit,250
Concept Mood Board,Digital mood board with color palettes and materials.,Design & Planning,each,450
3D Room Rendering,Photorealistic 3D visualization of proposed space.,Design & Planning,each,850
Architectural Floor Plan,Detailed measured drawing of existing and new layout.,Design & Planning,each,600
Material Specification Schedule,"Comprehensive list of finishes, hardware, and fixtures.",Design & Planning,each,400
Lighting Design Plan,"Schematic layout for ambient, task, and accent lighting.",Design & Planning,each,350
Finish Carpentry Labor,Skilled labor for custom woodwork and trim installation.,Labor & Supervision,hour,95
General Remodeling Labor,"Skilled labor for framing, drywall, and general fixes.",Labor & Supervision,hour,85
Project Management Fee,Daily on-site supervision and schedule coordination.,Labor & Supervision,day,300
Demo and Debris Removal,Tear down of existing finishes and hauling off waste.,Labor & Supervision,job,1200
Subfloor Leveling,Pouring self-leveling compound for uneven subfloors.,Labor & Supervision,sq ft,6
Drywall Hanging,Installing standard gypsum board on walls and ceilings.,Drywall & Painting,sq ft,3
Drywall Taping and Mudding,Taping joints and applying three coats of joint compound.,Drywall & Painting,sq ft,3
Smooth Ceiling Skim Coat,Skimming popcorn ceiling flat with joint compound.,Drywall & Painting,sq ft,4
Interior Wall Painting,Two coats of premium latex paint on walls.,Drywall & Painting,sq ft,2
Ceiling Painting,Two coats of flat white ceiling paint.,Drywall & Painting,sq ft,2
Trim and Door Painting,"Sanding and painting baseboards, casings, and doors.",Drywall & Painting,linear ft,5
Wallpaper Removal,Stripping existing wallpaper and washing adhesive residue.,Drywall & Painting,sq ft,3
Wallpaper Installation,Hanging standard pattern or grasscloth wallpaper.,Drywall & Painting,sq ft,6
Hardwood Floor Installation,Nail-down or glue-down solid or engineered hardwood.,Flooring,sq ft,5
LVT Flooring Installation,Click-lock luxury vinyl plank flooring installation.,Flooring,sq ft,3
Tile Flooring Installation,Setting ceramic or porcelain tile with thin-set mortar.,Flooring,sq ft,12
Carpet Installation,"Installing tack strips, pad, and wall-to-wall carpet.",Flooring,sq ft,2
Floor Sanding and Refinishing,Sanding existing hardwood and applying three finish coats.,Flooring,sq ft,5
Tile Grout Sealing,Applying penetrating sealer to newly installed tile grout.,Flooring,sq ft,1
Baseboard Installation,Installing 5-inch MDF or wood baseboard molding.,Millwork & Trim,linear ft,6
Crown Molding Installation,Installing primed wood or polyurethane crown molding.,Millwork & Trim,linear ft,10
Wainscoting Installation,Installing traditional board and batten wall paneling.,Millwork & Trim,linear ft,25
Interior Door Replacement,Hanging pre-hung hollow core or solid core door unit.,Millwork & Trim,each,250
Pocket Door Installation,Framing and installing sliding pocket door system.,Millwork & Trim,each,750
Custom Closet Shelving,Building custom melamine or wood closet organization system.,Millwork & Trim,linear ft,45
Window Casing Installation,Installing trim around standard interior windows.,Millwork & Trim,each,95
Kitchen Cabinet Removal,Carefully dismantling and removing existing upper and lower cabinets.,Kitchen Remodeling,job,800
Kitchen Cabinet Installation,Leveling and securing stock or semi-custom kitchen cabinets.,Kitchen Remodeling,linear ft,110
Custom Island Build,Constructing custom kitchen island base and panels.,Kitchen Remodeling,each,1500
Quartz Countertop Templating and Install,"Professional template, fabrication, and installation of quartz slabs.",Kitchen Remodeling,sq ft,85
Marble Countertop Installation,Setting natural marble countertops with polished edges.,Kitchen Remodeling,sq ft,110
Kitchen Backsplash Tile,Installing ceramic or glass mosaic tile on kitchen walls.,Kitchen Remodeling,sq ft,25
Undermount Sink Cutout and Mount,Cutting countertop and mounting single or double basin sink.,Kitchen Remodeling,each,250
