name,description,category,unit,price,labor_hours,material_cost
Standard Home Inspection,Comprehensive visual inspection of entire home structure and systems,Standard Inspections,job,450,3.2,33.33
Condo Inspection,Visual inspection of interior and accessible limited common elements,Standard Inspections,job,325,2.2,33.33
Multi-Family Inspection Duplex,Inspection of two attached residential dwelling units,Standard Inspections,job,650,4.8,33.33
Multi-Family Inspection Triplex,Inspection of three attached residential dwelling units,Standard Inspections,job,800,6,33.33
Multi-Family Inspection Quadplex,Inspection of four attached residential dwelling units,Standard Inspections,job,950,7.2,33.33
Pre-Drywall Inspection,"Framing, plumbing, and electrical rough-in inspection before drywall",Standard Inspections,job,400,2.8,33.33
Builder Warranty Inspection,Comprehensive inspection prior to expiration of builder one-year warranty,Standard Inspections,job,425,3,33.33
Maintenance Checkup Inspection,Annual general condition and preventative maintenance review,Standard Inspections,job,300,2,33.33
Re-Inspection Service,Verification of previously reported repair items completed by seller,Standard Inspections,job,175,1,33.33
Commercial Building Inspection,Property condition assessment for light commercial buildings,Standard Inspections,sq ft,1,0.005,0.65
Radon Testing 48-Hour,Continuous radon monitor placement for minimum 48 hours,Environmental Testing,job,175,0.8,50
Radon Testing Long-Term,Alpha track long-term radon test kit deployment,Environmental Testing,job,250,1,83.33
Mold Air Quality Testing,Collection of two ambient air samples and one outdoor control,Environmental Testing,job,300,1,116.67
Additional Mold Air Sample,Extra indoor air sample collected for laboratory analysis,Environmental Testing,each,75,0.2,30
Mold Surface Lift Sample,Tape lift sample of visible suspected mold growth for lab culture,Environmental Testing,each,75,0.2,30
Asbestos Bulk Material Testing,Collection and lab analysis of suspected asbestos-containing material,Environmental Testing,each,125,0.4,50
Lead-Based Paint Screening,XRF or swab test screening for lead paint on painted surfaces,Environmental Testing,job,250,1,83.33
Indoor Allergen Testing,Dust sample collection for common indoor allergens and dust mites,Environmental Testing,job,200,0.8,66.67
Volatile Organic Compounds Test,Air sampling for chemical pollutants and VOCs in living space,Environmental Testing,job,350,1,150
Formaldehyde Testing,Active air sampling for formaldehyde emission levels,Environmental Testing,job,275,0.8,116.67
Standard Water Quality Test,"Testing for coliform bacteria, nitrates, lead, and pH levels",Water & Septic Testing,job,200,0.6,83.33
Comprehensive Well Water Panel,Full laboratory screen including heavy metals and minerals,Water & Septic Testing,job,350,1,150
Bacteria Only Water Test,Coliform and E. coli presence or absence water sample,Water & Septic Testing,job,125,0.4,50
