name,description,category,unit,price,labor_hours,material_cost
Standard Solar Panel Cleaning,Deionized water wash for residential panels up to 20 modules.,Routine Cleaning,job,250,1.8,18.67
Large Array Solar Panel Cleaning,Deionized water wash for residential arrays between 21 and 40 modules.,Routine Cleaning,job,400,2.9,26.67
Commercial Solar Panel Cleaning,Per square foot cleaning for commercial ground or roof arrays.,Routine Cleaning,sq ft,1,0.005,0.25
Per Panel Add-On Cleaning,Additional cost per panel for systems exceeding standard package limits.,Routine Cleaning,each,15,0.1,1.67
Three-Story Roof Surcharge,Safety and equipment surcharge for three-story roof access.,Routine Cleaning,job,150,1.2,0
Steep Pitch Roof Surcharge,Safety harness and rigging surcharge for roofs over 30-degree pitch.,Routine Cleaning,job,125,1,0
Heavy Soiling Removal,Specialized scrubbing and biodegradable detergent for heavy bird droppings.,Routine Cleaning,sq ft,2,0.01,0.5
Construction Debris Cleaning,"Removal of drywall dust, stucco, or paint overspray from modules.",Routine Cleaning,sq ft,3,0.015,0.75
Soot and Ash Remediation,Specialized wash for wildfire ash or heavy industrial soot buildup.,Routine Cleaning,sq ft,2,0.01,0.5
Hard Water Spot Removal,Acidic mineral deposit treatment and spot removal per panel.,Routine Cleaning,each,20,0.1,5
Ground Mount Brush Clearing,Clearing tall grass and weeds touching the bottom of ground mounts.,Routine Cleaning,hour,95,0.75,0
Bi-Annual Maintenance Contract,Discounted scheduled cleaning service twice per year.,Routine Cleaning,visit,220,1.55,20
Quarterly Maintenance Contract,Scheduled cleaning service four times per year for high-dust areas.,Routine Cleaning,visit,200,1.4,16.67
Annual Maintenance Contract,Scheduled annual cleaning service for residential arrays.,Routine Cleaning,visit,240,1.7,20
Initial System Inspection,"Visual check of frames, glass, and wiring prior to cleaning.",Diagnostics and Service,job,75,0.6,0
Diagnostic Service Call,Troubleshooting system output drops or inverter error codes.,Diagnostics and Service,visit,175,1.4,0
Thermal Imaging Scan,Infrared camera inspection to detect hot spots and failing diodes.,Diagnostics and Service,job,250,1.8,20
String Voltage Testing,Multimeter testing of open circuit voltage across string arrays.,Diagnostics and Service,hour,150,1.2,0
Microinverter Communication Check,Troubleshooting gateway connection and module-level monitoring data.,Diagnostics and Service,hour,125,1,0
Post-Cleaning Production Audit,Comparing energy generation output before and after cleaning.,Diagnostics and Service,job,90,0.72,0
Standard Labor Rate,Hourly rate for general technician labor and repairs.,Labor Rates,hour,110,0.88,0
Lead Technician Labor Rate,Hourly rate for certified solar technician or system lead.,Labor Rates,hour,145,1.16,0
Emergency Callout Fee,After-hours or weekend dispatch fee for urgent issues.,Labor Rates,visit,250,2,0
Two-Man Crew Hourly Rate,Combined hourly rate for a two-person installation or cleaning crew.,Labor Rates,hour,220,1.76,0
Roof Access Setup Labor,"Labor to set up ladders, safety anchors, and lifeline systems.",Labor Rates,hour,110,0.88,0
Bird Proofing Mesh Installation,Galvanized coated wire mesh installation around array perimeter.,Repairs and Bird Proofing,linear ft,12,0.06,3
Solar Skirt Fastener Replacement,Replacement of lost or broken clips for pest screen mesh.,Repairs and Bird Proofing,each,8,0.04,2
Nesting Material Removal,Cleaning out pigeon or bird debris underneath solar panels.,Repairs and Bird Proofing,job,175,1.4,0
Solar Panel Debris Guard,Perforated aluminum guard installation to block leaves and twigs.,Repairs and Bird Proofing,linear ft,15,0.08,3.33
Critter Guard Corner Piece,Custom bent corner bracket for wire mesh pest barrier.,Repairs and Bird Proofing,each,25,0.1,8.33
Pigeon Waste Sanitization,Application of enzymatic sanitizer spray on heavily soiled roofs.,Repairs and Bird Proofing,job,150,1,16.67
Wire Management Clip Replacement,Securing loose dangling wires up against panel frames.,Repairs and Bird Proofing,each,10,0.06,1.67
Panel Mid Clamp Replacement,Replacement of standard aluminum mid clamp and stainless bolt.,Hardware Replacement,each,18,0.1,3.67
Panel End Clamp Replacement,Replacement of standard aluminum end clamp and hardware.,Hardware Replacement,each,18,0.1,3.67
Grounding Lug Replacement,Replacement of corroded copper-to-aluminum grounding lug.,Hardware Replacement,each,35,0.2,6.67
Rail Splice Replacement,Replacement of structural rail connector joiner.,Hardware Replacement,each,45,0.25,9
Roof Ling Bolt Flashing Repair,Resealing around penetrating roof mount hanger bolts.,Hardware Replacement,each,65,0.35,15
Tilt Leg Adjustment,Adjusting angle of tilt-up roof or ground mount brackets.,Hardware Replacement,each,40,0.2,6.67
Torque Verification Check,Checking and retightening all structural mounting bolts.,Hardware Replacement,hour,120,0.96,0
MC4 Connector Replacement,Cringing and replacing damaged DC wire plug connectors.,Electrical Repairs,each,45,0.25,9
DC Extension Wire Installation,Running new 10 AWG USE-2 wire for relocated string connections.,Electrical Repairs,linear ft,6,0.02,1.33
Junction Box Lid Replacement,Replacement of weatherproof rooftop electrical junction box cover.,Electrical Repairs,each,55,0.3,11.67
Conduit Repair,Replacing damaged PVC or EMT exterior electrical conduit sections.,Electrical Repairs,linear ft,22,0.1,4.67
