name,description,category,unit,price
Standard Diagnostic Fee,Initial system evaluation and fault isolation during normal hours,Diagnostics and Service Calls,visit,185
After-Hours Diagnostic Fee,Emergency system evaluation outside normal operating hours,Diagnostics and Service Calls,visit,325
Holiday Diagnostic Fee,System evaluation on recognized holidays,Diagnostics and Service Calls,visit,450
Refrigeration Leak Search,Electronic and nitrogen pressure test to locate refrigerant leaks,Diagnostics and Service Calls,hour,220
System Performance Audit,"Full check of superheat, subcooling, and electrical draw",Diagnostics and Service Calls,job,275
Standard Labor Rate,Hourly labor for certified refrigeration technician,Labor Rates,hour,165
Overtime Labor Rate,Hourly labor outside normal working hours,Labor Rates,hour,248
Holiday Labor Rate,Hourly labor on recognized holidays,Labor Rates,hour,330
Two-Man Crew Labor Rate,Hourly rate for a two-technician rigging or heavy repair crew,Labor Rates,hour,310
Apprentice Labor Rate,Hourly labor rate for assisting technician,Labor Rates,hour,95
Evaporator Fan Motor Replacement Small,Replace fractional horsepower walk-in evaporator fan motor,Electrical and Motors,each,340
Evaporator Fan Motor Replacement Large,Replace commercial multi-watt evaporator fan motor,Electrical and Motors,each,460
Condenser Fan Motor Replacement Small,Replace condensing unit fan motor up to 1/3 HP,Electrical and Motors,each,420
Condenser Fan Motor Replacement Large,Replace condensing unit fan motor 1/2 HP and above,Electrical and Motors,each,680
Compressor Contactor Replacement Single Pole,Replace 30 amp single pole definite purpose contactor,Electrical and Motors,each,210
Compressor Contactor Replacement Three Pole,Replace three pole heavy duty compressor contactor,Electrical and Motors,each,290
Defrost Timer Mechanical Replacement,Replace mechanical commercial refrigeration defrost clock,Electrical and Motors,each,380
Defrost Time Clock Electronic Replacement,Replace electronic programmable defrost controller,Electrical and Motors,each,490
Defrost Termination Thermostat Replacement,Replace bi-metal defrost limit switch,Electrical and Motors,each,195
Evaporator Coil Defrost Heater Replacement,Replace electric resistance defrost heating element,Electrical and Motors,each,550
Drain Line Heater Replacement,Replace self-regulating electric condensate drain line heater,Electrical and Motors,linear ft,45
Run Capacitor Replacement,Replace motor run capacitor,Electrical and Motors,each,175
Start Capacitor Replacement,Replace motor start capacitor,Electrical and Motors,each,195
