name,description,category,unit,price
Standard Diagnostic Fee,Onsite troubleshooting and diagnosis of one appliance,Diagnostics,visit,125
After-Hours Diagnostic Fee,Emergency evening or weekend diagnostic service,Diagnostics,visit,225
Additional Appliance Diagnostic,Diagnosis of a second appliance during same visit,Diagnostics,visit,75
Refrigeration System Leak Search,Electronic and pressure testing for refrigerant leaks,Diagnostics,job,195
Standard Labor Rate,Hourly labor rate for mechanical repairs,Labor,hour,150
Two-Technician Labor Rate,Hourly labor rate for heavy lifting or complex installs,Labor,hour,250
Appliance Removal and Haul-Away,Disconnection and disposal of old broken appliance,Disposal,each,125
Refrigerant Recovery,EPA-compliant extraction of refrigerant from sealed system,Disposal,job,175
Appliance Permit Processing,Local municipality permit filing where required,Permits,each,85
Refrigerator Water Inlet Valve Replacement,Replacement of leaking or faulty water valve,Refrigeration,each,245
Refrigerator Evaporator Fan Motor Replacement,New fan motor for freezer airflow circulation,Refrigeration,each,285
Refrigerator Condenser Fan Motor Replacement,Replacement motor behind unit for compressor cooling,Refrigeration,each,295
Refrigerator Defrost Heater Replacement,New heating element to prevent frost buildup,Refrigeration,each,310
Refrigerator Defrost Thermostat Replacement,Thermal bi-metal safety switch replacement,Refrigeration,each,215
Refrigerator Main Control Board Replacement,Electronic control board supply and installation,Refrigeration,each,450
Refrigerator Compressor Replacement,Sealed system compressor replacement with recharge,Refrigeration,job,850
Refrigerator Start Relay Replacement,Compressor overload relay and capacitor assembly,Refrigeration,each,185
Refrigerator Door Gasket Replacement Single,Magnetic door seal replacement for one door,Refrigeration,each,220
Ice Maker Assembly Replacement,Complete modular ice maker unit replacement,Refrigeration,each,325
Ice Maker Water Line Repair,Fix or replace leaking supply line to ice maker,Refrigeration,each,165
Refrigerator Condenser Coil Cleaning,Deep brush and vacuum cleaning of lower coils,Refrigeration,each,140
Refrigerator Thermistor Replacement,Internal temperature sensor probe replacement,Refrigeration,each,190
Washer Drain Pump Replacement,Removal and replacement of failing water drain pump,Laundry,each,275
Washer Lid Switch Replacement,Safety switch assembly for top load washers,Laundry,each,195
Washer Door Lock Assembly Replacement,Electronic door latch assembly for front load washers,Laundry,each,285
Washer Drive Belt Replacement,Rubber drive belt for drum rotation,Laundry,each,175
Washer Water Inlet Valve Replacement,Dual or triple solenoid water mixing valve,Laundry,each,235
Washer Suspension Rod Kit Replacement,Set of four suspension rods for balance,Laundry,each,310
Washer Tub Bearing Replacement,Inner and outer tub seals and bearing kit,Laundry,job,550
Washer Shift Actuator Replacement,Mode shifter motor for agitator and spin transition,Laundry,each,265
Washer Motor Control Board Replacement,Inverter board or main control replacement,Laundry,each,425
