name,description,category,unit,price,labor_hours,material_cost
Standard Exterior Window Cleaning,Exterior glass washing for low rise commercial buildings,Exterior Cleaning,sq ft,0.15,0.001,0.05
Standard Interior Window Cleaning,Interior glass cleaning and wiping frames,Interior Cleaning,sq ft,0.12,0.001,0.04
High Rise Exterior Window Cleaning,Rope access or bosun chair exterior glass washing,High Rise,sq ft,0.35,0.002,0.08
High Rise Interior Window Cleaning,Interior high reach glass cleaning with specialized poles,High Rise,sq ft,0.28,0.002,0.06
Storefront Glass Cleaning,Ground level exterior and interior storefront glass,Storefront,sq ft,0.18,0.001,0.06
Atrium Glass Cleaning,Multi-level interior atrium glass cleaning with lift,Specialty Cleaning,sq ft,0.45,0.003,0.1
Skylight Exterior Cleaning,Removal of debris and washing of exterior skylight glass,Specialty Cleaning,sq ft,0.3,0.002,0.08
Canopy Glass Cleaning,Cleaning glass entrance canopies from top and bottom,Storefront,sq ft,0.25,0.002,0.06
Hard Water Stain Removal,Chemical treatment to remove mineral deposits from glass,Glass Restoration,sq ft,0.75,0.004,0.15
Paint and Silicone Removal,Scraping construction debris and paint from glass,Glass Restoration,sq ft,0.5,0.003,0.08
Acid Wash Glass Restoration,Heavy restoration acid wash for severely neglected glass,Glass Restoration,sq ft,1.25,0.006,0.3
Scratch Removal on Glass,Mechanical polishing to remove light glass scratches,Glass Restoration,each,150,0.8,35
Commercial Window Screen Cleaning,Washing and dusting removable window screens,Frame and Screen,each,6,0.04,1
Window Screen Replacement,New aluminum frame and fiberglass mesh screen,Frame and Screen,each,35,0.15,10
Window Screen Re-mesh,Replacing damaged mesh in existing window frames,Frame and Screen,each,20,0.12,5
Window Track Cleaning,Vacuuming and wiping out sliding window tracks,Frame and Screen,linear ft,2,0.012,0.3
Window Frame Wiping,Detailed wiping of metal or vinyl window frames,Frame and Screen,linear ft,1,0.006,0.15
Weep Hole Clearing,Clearing blocked frame drainage weep holes,Frame and Screen, each,5,0.03,1
Gasket Replacement,Replacing worn rubber window glazing gaskets,Repairs and Maintenance,linear ft,4,0.02,1
Window Caulking,Applying exterior silicone sealant around window frame perimeter,Repairs and Maintenance,linear ft,5,0.025,1
Glass Pane Replacement Insulated,Replacing failed double pane insulated glass unit,Repairs and Maintenance,sq ft,45,0.15,18
Glass Pane Replacement Single,Replacing broken single pane commercial glass,Repairs and Maintenance,sq ft,30,0.12,10
Window Balance Replacement,Replacing internal spiral or block and tackle balances,Repairs and Maintenance,each,85,0.4,20
Window Operator Replacement,Replacing casement window crank operators,Repairs and Maintenance,each,110,0.5,30
Window Lock Replacement,Replacing commercial sliding or awning window latches,Repairs and Maintenance,each,65,0.3,15
Hinge Replacement,Replacing projecting or egress window friction hinges,Repairs and Maintenance,each,95,0.45,20
