name,description,category,unit,price,labor_hours,material_cost
Standard Service Call,On-site diagnostic and travel fee for local service area,Diagnostics and Service,visit,125,1,0
Emergency After-Hours Service Call,Urgent on-site response outside normal business hours,Diagnostics and Service,visit,250,2,0
Livestock Health Diagnostic,Disease identification and water quality correlation analysis,Diagnostics and Service,hour,150,1.2,0
Equipment Failure Troubleshooting,Electrical and mechanical testing of pumps and filters,Diagnostics and Service,hour,135,1.08,0
Leak Detection Service,Pressure and dye testing to locate aquarium seal leaks,Diagnostics and Service,hour,150,1.2,0
Water Parameter Comprehensive Panel,Laboratory-grade testing for 12 key chemical parameters,Diagnostics and Service,each,75,0.4,16.67
Submersible Return Pump Replacement,Swap and plumb new main circulation water pump,Equipment Replacement,each,280,0.8,120
External Water Pump Replacement,Disconnect and install new external aquarium water pump,Equipment Replacement,each,450,1.2,200
Protein Skimmer Body Replacement,Replace worn marine protein skimmer reaction chamber,Equipment Replacement,each,350,1,150
Skimmer Pump Replacement,Install new needle-wheel pump for protein skimmer,Equipment Replacement,each,220,0.8,80
LED Light Fixture Replacement,Mount and program new reef aquarium LED light fixture,Equipment Replacement,each,400,0.8,200
T5 Fluorescent Ballast Replacement,Wire in new electronic ballast for aquarium fluorescent lights,Equipment Replacement,each,175,0.8,50
Titanium Aquarium Heater Replacement,Install new digital submersible heating element and controller,Equipment Replacement,each,195,0.6,80
Inline UV Sterilizer Replacement,Plumb and mount replacement ultraviolet clarifier unit,Equipment Replacement,each,310,1,126.67
RO/DI Booster Pump Replacement,Replace booster pump on reverse osmosis filtration system,Equipment Replacement,each,240,0.8,93.33
Auto Top-Off Unit Replacement,Install new optical sensor auto top-off system,Equipment Replacement,each,180,0.6,70
Wavemaker Pump Replacement,Replace internal flow circulation pump and controller,Equipment Replacement,each,160,0.4,73.33
Sump Tank Replacement,"Disconnect, remove, and install new acrylic filtration sump",Equipment Replacement,each,750,2.4,300
Calcium Reactor Replacement,Install new calcium reactor vessel and CO2 regulator,Equipment Replacement,each,550,1.6,233.33
Media Reactor Replacement,Replace GAC or GFO fluidized media reactor,Equipment Replacement,each,140,0.6,43.33
Aquarium Technician Labor,Standard hourly rate for maintenance and installation work,Labor Rates,hour,125,1,0
Senior Aquarist Labor,"Advanced troubleshooting, aquascaping, and livestock management",Labor Rates,hour,175,1.4,0
Plumbing Installation Labor,"PVC cutting, gluing, and bulkhead installation labor",Labor Rates,hour,135,1.08,0
Tank Move Assistant Labor,Additional helper for heavy aquarium relocation projects,Labor Rates,hour,75,0.6,0
Bi-Weekly Freshwater Maintenance Visit,"Water change, glass cleaning, filter rinse, and testing",Maintenance Services,visit,110,0.8,8
Bi-Weekly Saltwater Maintenance Visit,"Water change, salt mixing, glass scraping, and filter service",Maintenance Services,visit,150,1,16.67
Weekly Reef Tank Maintenance Visit,"Intensive weekly cleaning, dosing check, and skimmer service",Maintenance Services,visit,175,1,33.33
Monthly Commercial Aquarium Service,Comprehensive monthly deep clean for large commercial systems,Maintenance Services,visit,350,2,66.67
Deep Clean Glass and Overflow,Razor blade algae removal and overflow box sanitation,Maintenance Services,hour,125,1,0
Filter Media Service and Swap,"Replace filter socks, carbon, and filter pads",Maintenance Services,each,65,0.4,10
Substrate Vacuuming Service,Deep siphon cleaning of gravel or sand bed,Maintenance Services,hour,125,1,0
RO/DI System Filter Cartridge Replacement,Replace sediment and carbon blocks in purification unit,Maintenance Services,each,95,0.4,30
RO/DI Deionization Resin Replacement,Replace color-changing DI resin in filtration canister,Maintenance Services,each,75,0.4,16.67
RO/DI Membrane Replacement,Install new reverse osmosis membrane element,Maintenance Services,each,140,0.6,43.33
Aquarium Resealing Service,Strip old silicone and reseal glass aquarium seams,Repairs and Plumbing,linear ft,45,0.3,5
Bulkhead Fitting Replacement,Replace tank-wall pass-through plumbing fitting,Repairs and Plumbing,each,95,0.6,13.33
PVC Return Line Repair,Cut and solvent-weld cracked or leaking PVC plumbing,Repairs and Plumbing,hour,135,0.8,23.33
Flexible Tubing Replacement,Replace hardened vinyl or silicone tubing lines,Repairs and Plumbing,linear ft,12,0.08,1.33
Check Valve Replacement,Install or replace backflow prevention plumbing valve,Repairs and Plumbing,each,65,0.4,10
True Union Ball Valve Installation,Install maintenance isolation valve on PVC plumbing line,Repairs and Plumbing,each,85,0.4,23.33
Durso Standpipe Repair,Repair or rebuild aquarium overflow silencer standpipe,Repairs and Plumbing,each,75,0.4,16.67
Aquarium Acrylic Scratch Removal,Buff out scratches from acrylic viewing panels on-site,Repairs and Plumbing,hour,160,1.2,6.67
Glass Lid Replacement,Cut and fit custom glass canopy top with plastic handle,Repairs and Plumbing,each,85,0.2,40
Cabinet Hinge and Hardware Repair,Adjust or replace rust-damaged stand doors and hinges,Repairs and Plumbing,each,50,0.3,8.33
Marine Salt Mix (50 Gallon Bag),Synthetic sea salt for saltwater water changes,Materials and Parts,each,45,0,30
Marine Salt Mix (200 Gallon Box),Bulk synthetic sea salt for large systems,Materials and Parts,each,130,0,86.67
Activated Carbon (1 lb),High-grade pelletized carbon for water polishing,Materials and Parts,each,20,0,13.33
Granular Ferric Oxide GFO (1 lb),Phosphate removal media for reef aquariums,Materials and Parts,each,35,0,23.33
Filter Sock 7-Inch 200 Micron,Replacement felt mesh mechanical filter bag,Materials and Parts,each,12,0,8
Live Aragonite Sand (20 lb),Washed calcareous marine aquarium substrate,Materials and Parts,each,38,0,25.33
Freshwater Aquarium Gravel (25 lb),Coated inert gravel substrate for freshwater tanks,Materials and Parts,each,30,0,20
RO/DI Pure Water,Zero TDS deionized water for top-off and mixing,Materials and Parts,gallon,1,0,0.67
Instant Ocean Sea Water,Pre-mixed saltwater ready for immediate use,Materials and Parts,gallon,2,0,1.33
Aquarium Safe Silicone Tube,100 percent RTV silicone sealant for aquarium repairs,Materials and Parts,each,22,0,14.67
PVC Primer and Cement Kit,Purple primer and medium-clear PVC solvent cement,Materials and Parts,each,25,0,16.67
UV Sterilizer Bulb Replacement,Replacement ultraviolet germicidal lamp bulb,Materials and Parts,each,55,0.2,20
Sponge Filter Replacement,Biochemical foam sponge insert for internal filters,Materials and Parts,each,15,0,10
Ceramic Biological Ring Media (1 kg),High surface area porous ceramic filtration rings,Materials and Parts,each,28,0,18.67
Bio-Pellets (500ml),Polymer solid carbon source for nitrate reduction,Materials and Parts,each,32,0,21.33
Aquarium Relocation (Up to 50 Gal),"Complete breakdown, transport, and setup of small tank",Tank Relocation and Setup,job,450,3,50
Aquarium Relocation (51 to 125 Gal),"Complete breakdown, transport, and setup of medium tank",Tank Relocation and Setup,job,850,6,66.67
Aquarium Relocation (126 to 250 Gal),"Complete breakdown, transport, and setup of large tank",Tank Relocation and Setup,job,1500,10,166.67
Commercial Tank Relocation (250+ Gal),Specialized rigging and relocation for oversized tanks,Tank Relocation and Setup,job,2800,18,386.67
