name,description,category,unit,price
Standard Tile Cleaning,Rotary steam cleaning for ceramic and porcelain tile,Cleaning Services,sq ft,1
Natural Stone Cleaning,Gentle agitation cleaning for marble and travertine,Cleaning Services,sq ft,2
Terracotta Tile Cleaning,Specialized pH-balanced cleaning for porous terracotta,Cleaning Services,sq ft,2
Slate Tile Cleaning,Deep soil extraction for textured slate surfaces,Cleaning Services,sq ft,2
Quarry Tile Cleaning,Heavy-duty degreasing and cleaning for commercial quarry tile,Cleaning Services,sq ft,1
Porcelain Tile Cleaning,High-pressure hot water extraction for porcelain,Cleaning Services,sq ft,1
Ceramic Tile Cleaning,Standard rotary brush cleaning for ceramic floors,Cleaning Services,sq ft,1
Mosaic Tile Cleaning,Detailed cleaning for small mosaic tile installations,Cleaning Services,sq ft,2
Saltillo Tile Cleaning,Strip and clean process for handmade clay tile,Cleaning Services,sq ft,3
Terrazzo Floor Cleaning,Surface cleaning and soil extraction for terrazzo,Cleaning Services,sq ft,2
Standard Grout Cleaning,High-pressure rinsing and agitation of grout lines,Grout Services,sq ft,1
Heavy Soil Grout Extraction,Deep chemical extraction for heavily soiled grout,Grout Services,sq ft,1
Epoxy Grout Cleaning,Specialized chemical treatment for epoxy grout lines,Grout Services,sq ft,1
Clear Grout Sealing,Penetrating impregnating sealer application for grout,Grout Services,sq ft,1
Color Grout Sealing,Color stain and seal application for discolored grout,Grout Services,sq ft,1
Grout Colorant Matching,Custom color mixing for grout restoration,Grout Services,each,75
Minor Grout Repair,Hand patching of chipped or missing grout lines,Grout Services,linear ft,4
Major Grout Replacement,Complete removal and re-grouting of damaged sections,Grout Services,linear ft,9
Shower Grout Restoration,Deep clean and re-seal of vertical shower grout,Grout Services,job,250
Anti-Mildew Grout Treatment,Application of anti-microbial treatment to grout,Grout Services,sq ft,1
Natural Stone Sealing,Penetrating sealer application for marble and granite,Sealing & Protection,sq ft,1
Enhancing Stone Sealer,Color-enriching impregnator sealer for porous stone,Sealing & Protection,sq ft,2
Ceramic Tile Sealing,Surface sealer application for unglazed ceramic tile,Sealing & Protection,sq ft,1
Saltillo Sealing Coat,Initial topical sealer coat for porous Saltillo tile,Sealing & Protection,sq ft,2
Saltillo Top Coat Maintenance,Additional acrylic top coat for Saltillo floors,Sealing & Protection,sq ft,1
Slate Sealer Application,Color enhancing sealer applied to cleaned slate,Sealing & Protection,sq ft,1
Grout Shield Application,Hydrophobic barrier spray applied to grout lines,Sealing & Protection,sq ft,1
Commercial Grade Sealer Upgrade,Heavy-duty industrial sealer application upgrade,Sealing & Protection,sq ft,1
DuPont StoneTech Sealer Upgrade,Premium brand impregnating sealer application,Sealing & Protection,sq ft,2
Grout Waterproofing Treatment,Complete waterproof sealing for wet areas,Sealing & Protection,sq ft,2
Marble Diamond Polishing,Multi-step mechanical diamond polish for high gloss,Stone Restoration,sq ft,5
Travertine Honing,Honing process to achieve a matte or satin finish,Stone Restoration,sq ft,4
Granite Polishing,Surface gloss restoration for dull granite countertops,Stone Restoration,sq ft,8
Terrazzo Grinding,Heavy diamond grinding to flatten uneven terrazzo floors,Stone Restoration,sq ft,6
Limestone Scratch Removal,Spot honing and polishing for surface scratches,Stone Restoration,sq ft,6
Stone Lipping Removal,Grinding down uneven tile edges for a flush surface,Stone Restoration,sq ft,10
Etch Mark Repair on Marble,Chemical and mechanical removal of acid etch marks,Stone Restoration,each,75
Stone Poultice Stain Removal,Chemical poultice application to draw out deep stains,Stone Restoration,each,120
Liip-Flat Floor Flattening,Complete stone grinding for lippage elimination,Stone Restoration,sq ft,12
Crystallization Polish,Chemical reaction buffing for marble shine maintenance,Stone Restoration,sq ft,2
Standard Shower Cleaning,Deep clean and sanitize shower walls and floor,Shower & Specialty,job,175
Glass Door Hard Water Removal,Acid wash treatment for mineral deposits on shower glass,Shower & Specialty,job,95
Frameless Door Seal Replacement,New vinyl sweep and seals for glass shower door,Shower & Specialty,each,65
Bathtub Re-Caulking,Removal of old mildewed caulk and replacement with silicone,Shower & Specialty,linear ft,12
Shower Pan Re-Caulking,Silicone caulk replacement around shower base perimeter,Shower & Specialty,linear ft,12
Vanity Top Polishing,Clean and polish stone bathroom vanity top,Shower & Specialty,job,125
Kitchen Backsplash Cleaning,Grease removal and cleaning for tiled kitchen backsplash,Shower & Specialty,sq ft,3
Fireplace Hearth Cleaning,Soot and ash removal from stone or brick hearth,Shower & Specialty,job,150
Outdoor Patio Tile Cleaning,Pressure wash and clean exterior stone or tile patio,Shower & Specialty,sq ft,1
Pool Deck Acid Wash,Acid wash and pressure cleaning for tiled pool coping,Shower & Specialty,sq ft,2
Loose Tile Epoxy Injection,Injecting epoxy under loose tiles to secure them,Repairs & Prep,each,35
Individual Tile Replacement,Break out and replace single damaged floor tile,Repairs & Prep,each,125
Expansion Joint Re-Caulking,Flexible sealant replacement in floor expansion joints,Repairs & Prep,linear ft,8
Threshold Replacement,Install new stone or metal floor threshold transition,Repairs & Prep,each,95
Baseboard Protection Tape,Poly masking tape applied to protect baseboards during prep,Repairs & Prep,linear ft,1
Carpet Transition Masking,Temporary plastic barrier to protect adjacent carpets,Repairs & Prep,linear ft,1
Heavy Furniture Moving Labor,"Moving heavy dressers, beds, or appliances during job",Repairs & Prep,hour,75
Appliance Disconnect and Reconnect,Safely moving and reconnecting washer or refrigerator,Repairs & Prep,each,85
Carpet Protection Laydown,Laying protective film over carpeted walkways,Repairs & Prep,sq ft,1
Post-Construction Mortar Removal,Removing dried thinset and mortar haze from new tile,Repairs & Prep,sq ft,2
Alkaline Deep Degreasing,Heavy alkaline treatment for commercial kitchen floors,Chemicals & Treatments,sq ft,1
Acid Wash Treatment,Acid wash for ceramic tile haze or mineral buildup,Chemicals & Treatments,sq ft,1
Enzyme Odor Treatment,Pet urine enzyme treatment applied to porous stone/grout,Chemicals & Treatments,sq ft,1
Mold and Mildew Sanitization,Fungicidal wash for damp tiled areas,Chemicals & Treatments,sq ft,1
Rust Stain Removal Treatment,Specialized chemical treatment to lift rust from tile,Chemicals & Treatments,each,50
Oil Stain Extraction Treatment,Solvent application to extract oil from unsealed stone,Chemicals & Treatments,each,60
Efflorescence Removal Treatment,Acidic treatment to remove mineral salt deposits on tile,Chemicals & Treatments,sq ft,1
Paint Overspray Removal,Scraping and chemical removal of paint spots on tile,Chemicals & Treatments,hour,85
Wax Stripping Treatment,Strip old wax buildup off Saltillo or VCT floors,Chemicals & Treatments,sq ft,1
Neutralizing Rinse Application,Acid-neutralizing rinse applied after stripping or cleaning,Chemicals & Treatments,sq ft,1
On-Site Tile and Grout Audit,Detailed inspection and moisture mapping of floor,Diagnostics & Fees,visit,75
Minimum Service Charge,Base trip fee for small service calls,Diagnostics & Fees,visit,150
After-Hours Emergency Fee,Surcharge for urgent evening or weekend service,Diagnostics & Fees,visit,200
Commercial Parking Surcharge,Parking reimbursement fee for downtown job sites,Diagnostics & Fees,job,35
Long Distance Travel Surcharge,Travel fee for jobs outside standard service radius,Diagnostics & Fees,job,50
Debris Disposal Fee,"Disposal fee for old tile, grout, and demolition waste",Diagnostics & Fees,job,75
High-Rise Freight Elevator Fee,Surcharge for equipment transport via service elevator,Diagnostics & Fees,job,100
Multi-Story Carry-Up Fee,Extra labor fee for carrying equipment up multiple stairs,Diagnostics & Fees,job,75
Water Hookup Adapter Fee,Specialty plumbing adapter setup for extraction truckmount,Diagnostics & Fees,job,25
Environmental Disposal Surcharge,Eco-friendly disposal fee for waste wash water,Diagnostics & Fees,job,25
Standard Technician Labor Rate,Hourly rate for standard tile and grout technician,Labor & Hourly,hour,95
Master Craftsman Labor Rate,Hourly rate for stone polishing and restoration expert,Labor & Hourly,hour,135
Two-Man Crew Hourly Rate,Combined hourly rate for a two-person field crew,Labor & Hourly,hour,175
Helper Labor Rate,Hourly rate for assistant labor on large commercial jobs,Labor & Hourly,hour,60
Overtime Labor Surcharge,Hourly overtime add-on for after-hours work,Labor & Hourly,hour,75
Holiday Labor Surcharge,Hourly holiday add-on rate for emergency services,Labor & Hourly,hour,100
Designated Wait Time Labor,Hourly billing for technician waiting on site for access,Labor & Hourly,hour,75
Rush Job Scheduling Fee,Priority scheduling fee for next-day service turnaround,Labor & Hourly,job,150
Custom Color Mixing Labor,Hourly rate for specialized color matching work,Labor & Hourly,hour,95
Consultation and Testing Labor,Hourly rate for performing stone scratch and acid tests,Labor & Hourly,hour,95
Porcelain Tile Maintenance Kit,Take-home neutral cleaner and microfiber mop kit,Materials & Retail,each,45
Natural Stone Care Kit,"Take-home stone cleaner, sealer, and polish kit",Materials & Retail,each,65
