name,description,category,unit,price,labor_hours,material_cost
Standard Diagnostic Fee,Initial troubleshooting and system fault diagnosis.,Diagnostics and Service,visit,150,1,16.67
After-Hours Service Call,Emergency dispatch outside of normal business hours.,Diagnostics and Service,visit,300,2,33.33
System Health Audit,Comprehensive inspection of all controllers and readers.,Diagnostics and Service,visit,250,1.5,43.33
Firmware Upgrade Service,Updating controller and panel firmware versions.,Diagnostics and Service,hour,125,1,0
Wire Trace and Identification,Tracing unknown or unlabeled control wiring.,Diagnostics and Service,hour,135,1.08,0
Standard Technician Labor,Hourly rate for standard access control installation.,Labor Rates,hour,115,0.92,0
Senior Systems Programmer Labor,Hourly rate for software configuration and database setup.,Labor Rates,hour,150,1.2,0
After-Hours Labor Rate,Emergency or night-shift labor per hour.,Labor Rates,hour,225,1.8,0
Apprentice Labor Rate,Supporting assistant labor per hour.,Labor Rates,hour,75,0.6,0
Project Management,On-site coordination and scheduling per day.,Labor Rates,day,600,4.8,0
Single-Door Controller Replacement,Replacing failed single-door access control panel.,Repairs and Replacements,each,450,1.5,179.33
Two-Door Controller Replacement,Replacing failed two-door expansion controller.,Repairs and Replacements,each,650,2,266.67
Four-Door Controller Replacement,Replacing failed main four-door panel.,Repairs and Replacements,each,1100,3,483.33
Power Supply Board Replacement,Replacing 12V/24V fused access control power supply.,Repairs and Replacements,each,350,1.5,113.33
Backup Battery Replacement,Replacing 12V 7Ah sealed lead-acid battery.,Repairs and Replacements,each,75,0.5,8.33
Magnetic Lock Replacement,Replacing standard 1200lb electromagnetic lock.,Repairs and Replacements,each,380,1.5,133.33
Electric Strike Replacement,Replacing failed mortise or cylindrical electric strike.,Repairs and Replacements,each,320,1.5,89.33
Electrified Panic Bar Replacement,Replacing heavy-duty electrified exit device.,Repairs and Replacements,each,950,2.5,433.33
Prox Card Reader Replacement,Replacing standard 125kHz proximity reader.,Repairs and Replacements,each,220,1,63.33
Smart Card Reader Replacement,Replacing 13.56MHz high-security smart card reader.,Repairs and Replacements,each,280,1,103.33
Biometric Reader Replacement,Replacing fingerprint or facial recognition reader.,Repairs and Replacements,each,850,2,399.33
Request-to-Exit Sensor Replacement,Replacing PIR motion detector for free egress.,Repairs and Replacements,each,190,1,43.33
Emergency Pull Station Replacement,Replacing emergency door release push button.,Repairs and Replacements,each,150,1,16.67
Door Contact Replacement,Replacing recessed or surface door position switch.,Repairs and Replacements,each,65,0.5,1.67
Door Closer Adjustment,Tuning hydraulic closer for proper latching.,Repairs and Replacements,each,120,0.96,0
Single-Door Controller Hardware,IP-based single door access control panel unit.,Materials and Hardware,each,350,0.5,193.33
Four-Door Main Panel Hardware,Scalable four-door access controller board.,Materials and Hardware,each,890,1,513.33
12VDC 4A Power Supply Enclosure,Locked metal enclosure with power distribution board.,Materials and Hardware,each,240,0.75,96.67
Standard Proximity Card Reader,Wiegand output 125kHz wall-mount card reader.,Materials and Hardware,each,140,0.6,42.67
Multi-Technology Smart Reader,BLE and 13.56MHz credentials wall reader.,Materials and Hardware,each,210,0.6,89.33
Keypad and Prox Reader Combo,Outdoor-rated reader with integrated pin pad.,Materials and Hardware,each,290,0.8,126.67
1200lb Electromagnetic Lock,High-security shear or surface mount maglock.,Materials and Hardware,each,260,1,90
600lb Electromagnetic Lock,Standard duty single door magnetic lock.,Materials and Hardware,each,180,0.8,56
Heavy-Duty Electric Strike,Grade 1 fail-secure/fail-safe electric door strike.,Materials and Hardware,each,220,0.8,80
Electrified Exit Trim,Commercial grade electrified lever handle trim.,Materials and Hardware,each,650,1.5,313.33
PIR Request-to-Exit Detector,Focused motion sensor for unlatching doors.,Materials and Hardware,each,110,0.5,31.33
Wave-to-Open Touchless Switch,Infrared hands-free exit activation button.,Materials and Hardware,each,145,0.6,46
ADA Handicap Push Plate,Hardwired large stainless steel activation button.,Materials and Hardware,each,175,0.6,66
Wireless 915MHz Receiver Kit,Long-range remote receiver and two transmitters.,Materials and Hardware,each,310,1,123.33
Additional Wireless FOB Transmitter,Keyfob for gate or door remote activation.,Materials and Hardware,each,65,0.2,24.67
Emergency Break-Glass Station,Manual override pull station with clear cover.,Materials and Hardware,each,85,0.5,15
Door Position Switch Set,Armored cable magnetic door contact.,Materials and Hardware,each,25,0.2,0
Rex Wall Plate Button,Green illuminated mushroom push button exit switch.,Materials and Hardware,each,75,0.5,8.33
