name,description,category,unit,price,labor_hours,material_cost
Standard Service Call,Initial diagnostic visit and basic troubleshooting labor.,Diagnostics & Labor,visit,150,1.2,0
After-Hours Emergency Service Call,Urgent dispatch outside of normal business hours.,Diagnostics & Labor,visit,300,2.4,0
General Labor Rate,Hourly rate for standard pool repair services.,Diagnostics & Labor,hour,125,1,0
Master Technician Hourly Rate,Hourly rate for complex electrical and automation work.,Diagnostics & Labor,hour,175,1.4,0
Leak Detection Service,Pressure testing and electronic listening for pool leaks.,Diagnostics & Labor,job,450,2.5,90
Filter Cleaning Service,"Disassemble, clean, and reassemble pool filter elements.",Maintenance & Cleaning,each,175,1,33.33
Salt Cell Cleaning,Acid wash and inspect saltwater chlorine generator cell.,Maintenance & Cleaning,each,125,0.8,16.67
Green Pool Recovery Chemical Treatment,Shock treatment and algaecide application for algae blooms.,Maintenance & Cleaning,job,350,1,150
Weekly Chemical Balance Service,Test water chemistry and add balancing chemicals.,Maintenance & Cleaning,visit,65,0.4,10
Bi-Weekly Full Service,"Chemical check, brushing, skimming, and basket emptying.",Maintenance & Cleaning,visit,95,0.6,13.33
Single-Speed Pump Motor Replacement,Replace standard pump motor with matching unit.,Pump Repair & Replacement,each,480,1.5,196.67
Variable-Speed Pump Replacement,Install energy-efficient variable-speed pool pump.,Pump Repair & Replacement,each,1450,2.5,750
Pump Lid O-Ring Replacement,Replace worn pump lid gasket to restore suction.,Pump Repair & Replacement,each,45,0.25,8.33
Pump Basket Replacement,Replace cracked or broken pump strainer basket.,Pump Repair & Replacement,each,65,0.3,18.33
Pump Impeller Replacement,Replace clogged or damaged pump impeller.,Pump Repair & Replacement,each,180,1,36.67
Pump Seal Kit Installation,Replace shaft seal and housing gaskets.,Pump Repair & Replacement,job,220,1.2,46.67
Complete Pump Assembly Replacement,Remove and replace entire pool pump unit.,Pump Repair & Replacement,each,850,2,400
Cartridge Filter Replacement Set,Replace internal filter cartridges with new elements.,Filter Repair & Replacement,each,280,0.5,143.33
DE Filter Grid Assembly Replacement,Replace complete set of diatomaceous earth filter grids.,Filter Repair & Replacement,each,380,1.5,126.67
Single DE Filter Grid Replacement,Replace one broken or torn filter grid.,Filter Repair & Replacement,each,75,0.4,16.67
Sand Filter Sand Replacement,Empty old filter sand and refill with fresh media.,Filter Repair & Replacement,job,420,2.5,73.33
Multiport Valve Replacement,Replace top-mount or side-mount multiport backwash valve.,Filter Repair & Replacement,each,450,2,133.33
Filter Pressure Gauge Replacement,Replace broken or stuck pressure gauge.,Filter Repair & Replacement,each,55,0.3,11.67
Air Relief Valve Replacement,Replace manual air bleed valve on filter tank.,Filter Repair & Replacement,each,45,0.3,4
Backwash Hose Replacement,Replace flexible vinyl backwash discharge hose.,Filter Repair & Replacement,each,65,0.3,18.33
Gas Heater Burner Tray Replacement,Replace corroded or faulty gas burner assembly.,Heater Repair & Replacement,each,650,2.5,223.33
Gas Heater Ignitor Replacement,Replace electronic hot surface ignitor.,Heater Repair & Replacement,each,250,1,83.33
Gas Heater Pressure Switch Replacement,Replace faulty flow pressure safety switch.,Heater Repair & Replacement,each,190,1,43.33
Gas Heater Thermostat Replacement,Replace electronic thermostat or temperature control board.,Heater Repair & Replacement,each,380,1.5,133.33
Gas Heater Heat Exchanger Replacement,Replace leaking copper heat exchanger core.,Heater Repair & Replacement,job,1850,6,733.33
Gas Heater Replacement (Standard),Replace natural gas or propane pool heater.,Heater Repair & Replacement,each,3400,8,1633.33
