name,description,category,unit,price
Standard Service Call,Initial roof inspection and problem diagnosis visit,Service & Diagnostics,visit,350
After-Hours Emergency Service Call,Emergency dispatch outside normal business hours,Service & Diagnostics,visit,650
Infrared Moisture Scan,Thermal imaging to detect trapped water in insulation,Service & Diagnostics,sq ft,1
Core Cut Sample Analysis,Extracting and analyzing roof deck and membrane layers,Service & Diagnostics,each,250
Roof Leak Investigation,Water testing and exploratory path tracing,Service & Diagnostics,hour,175
Standard Roofing Labor Rate,Hourly rate for general roofing technician,Labor Rates,hour,125
Master Roofer Labor Rate,Hourly rate for specialized lead technician,Labor Rates,hour,165
Overtime Labor Surcharge,Additional hourly charge for weekend or night work,Labor Rates,hour,95
Crane and Operator Rental,Daily rate for crane service and certified operator,Labor Rates,day,2500
Safety Setup and Harness Rigging,OSHA compliant fall protection anchor installation,Labor Rates,job,450
TPO Membrane Patch Repair,Heat welding single ply patch over damaged area,Repairs,each,300
EPDM Rubber Patch Repair,Adhering EPDM patch with primer and splice tape,Repairs,each,275
Modified Bitumen Torch Down Repair,Torch applied membrane patch over blister or tear,Repairs,each,350
Built Up Roof Tar Patch,Asphalt and felt repair on built up roof,Repairs,sq ft,15
Metal Roof Panel Fastener Replacement,Replacing stripped screws with oversized fasteners and washers,Repairs,each,12
Standing Seam Clip Repair,Fixing or replacing broken metal roof concealed clips,Repairs,each,65
Pipe Boot Flashing Replacement,Replacing rubber penetration flashing and clamping ring,Repairs,each,225
Pitch Pocket Pourable Sealant Refill,Filling penetration pitch pocket with new polyurethane sealant,Repairs,each,180
Control Joint Sealant Replacement,Removing old elastomeric caulk and installing new sealant,Repairs,linear ft,22
Skylight Flashing Repair,Sealing curb flashing around commercial skylight,Repairs,each,400
Hatch Flashing Repair,Re-sealing roof access hatch curb flashing,Repairs,each,375
Parapet Wall Coping Re-sealing,Applying polyurethane sealant to coping metal joints,Repairs,linear ft,14
TPO Roof Tear Off and Replacement,Complete removal of old roof and installation of new TPO,Replacements,sq ft,12
