name,description,category,unit,price,labor_hours,material_cost
Standard Service Call,Initial on-site assessment and travel fee,Diagnostics & Service Calls,visit,125,1,0
After-Hours Emergency Dispatch,Immediate dispatch outside normal business hours,Diagnostics & Service Calls,visit,250,2,0
Moisture Mapping Inspection,Thermal and meter reading moisture assessment,Diagnostics & Service Calls,job,175,1.4,0
Carpet Fiber Identification Test,Burn and chemical test to identify fiber type,Diagnostics & Service Calls,each,75,0.4,15
Odor Source Investigation,UV light and probing inspection for urine contamination,Diagnostics & Service Calls,hour,150,1,16.67
Lead Technician Labor Rate,Hourly rate for certified senior restoration technician,Labor Rates,hour,125,1,0
Standard Technician Labor Rate,Hourly rate for assistant restoration technician,Labor Rates,hour,85,0.68,0
After-Hours Labor Surcharge,Hourly premium for emergency night or weekend work,Labor Rates,hour,100,0.8,0
Heavy Furniture Moving Labor,Hourly rate for moving oversized furniture items,Labor Rates,hour,95,0.76,0
Demolition and Tear-Out Labor,Hourly rate for removing ruined materials,Labor Rates,hour,90,0.72,0
Heavy Duty Carpet Cleaning,Deep agitation extraction for heavily soiled carpets,Carpet Cleaning,sq ft,1,0.005,0.25
Delicate Oriental Rug Cleaning,Hand washing and controlled drying for wool rugs,Carpet Cleaning,sq ft,3,0.015,0.75
Upholstery Cleaning - Synthetic Sofa,Hot water extraction cleaning for synthetic sofa,Upholstery Restoration,each,175,1,33.33
Upholstery Cleaning - Natural Fiber Sofa,Dry solvent cleaning for delicate natural fabric sofa,Upholstery Restoration,each,225,1.2,50
Upholstery Cleaning - Sectional,Deep extraction cleaning for sectional sofa,Upholstery Restoration,each,300,1.6,66.67
Upholstery Cleaning - Armchair,Extraction cleaning for standard armchair or recliner,Upholstery Restoration,each,95,0.6,13.33
Upholstery Cleaning - Dining Chair,Cleaning per individual dining room chair seat,Upholstery Restoration,each,35,0.2,6.67
Upholstery Cleaning - Ottoman,Extraction cleaning for standard ottoman,Upholstery Restoration,each,65,0.4,10
