name,description,category,unit,price
Initial Color Consultation,Professional guidance on color selection and sheen,Consultation,visit,150
Color Sample Application,Painting test swatches on up to three walls,Consultation,each,45
Standard Interior Painting Labor,Hourly rate for general painting and prep work,Labor,hour,65
Master Painter Labor Rate,Specialized labor for detailed trim and cabinetry work,Labor,hour,85
After-Hours Emergency Labor,Labor for urgent or weekend rush projects,Labor,hour,125
Standard Room Walls Painting,Painting walls of a standard bedroom or office,Walls,job,350
Large Room Walls Painting,Painting walls of a large living area or great room,Walls,job,550
Accent Wall Painting,Painting a single feature wall in a contrasting color,Walls,each,175
Wall Surface Painting,General wall painting per square foot basis,Walls,sq ft,2
Two-Story Wall Painting,High wall painting requiring scaffolding or extension ladders,Walls,sq ft,4
Standard Ceiling Painting,Painting flat drywall ceiling up to 12x12 feet,Ceilings,each,220
Textured Ceiling Painting,Painting popcorn or textured ceilings carefully,Ceilings,sq ft,3
Vaulted Ceiling Painting,High vaulted or cathedral ceiling painting,Ceilings,sq ft,4
Ceiling Stain Sealing,Applying oil-based primer to water-damaged ceiling spots,Ceilings,each,90
Baseboard Painting,Painting standard baseboard molding,Trim,linear ft,3
Crown Molding Painting,Detailed painting of installed crown molding,Trim,linear ft,5
Door Frame Painting,Painting interior door jamb and casing on both sides,Trim,each,75
Window Trim Painting,"Painting standard window sill, apron, and casing",Trim,each,85
Wainscoting Painting,Painting wainscot panels and chair rail molding,Trim,linear ft,8
Interior Door Painting,Painting both sides of a standard flush or panel door,Doors,each,125
Louvered Door Painting,Detailed painting of slatted closet or louvered doors,Doors,each,175
French Door Painting,Painting multi-pane glass French doors including muntins,Doors,each,220
Sliding Closet Door Painting,Painting a pair of sliding closet doors,Doors,job,190
Standard Kitchen Cabinet Painting,"Painting exterior of cabinet boxes, doors, and drawers",Cabinetry,job,2500
Large Kitchen Cabinet Painting,Extensive kitchen cabinet painting including island,Cabinetry,job,3800
Bathroom Vanity Painting,Painting a single bathroom vanity base and doors,Cabinetry,each,350
Built-In Bookshelf Painting,Painting custom shelving units and built-in cabinets,Cabinetry,linear ft,45
Kitchen Island Only Painting,Painting standalone kitchen island base and trim,Cabinetry,each,450
Drywall Nail Pop Repair,Fixing protruding drywall nails and touching up paint,Prep and Repairs,each,25
Small Drywall Patch,Repairing holes up to 4 inches in diameter,Prep and Repairs,each,75
Medium Drywall Patch,Repairing holes up to 12 inches in diameter,Prep and Repairs,each,150
Large Drywall Patch,Repairing sections up to 4x4 feet of drywall,Prep and Repairs,each,300
Drywall Tape Seam Repair,Repairing bubbling or loose drywall tape joints,Prep and Repairs,linear ft,15
Plaster Crack Repair,V-grooving and filling settling cracks in plaster walls,Prep and Repairs,linear ft,20
Wallpaper Removal,Steam stripping and scraping existing wallpaper,Prep and Repairs,sq ft,3
Wallpaper Glue Residue Washing,Washing and neutralizing residual paste after stripping,Prep and Repairs,sq ft,1
Popcorn Ceiling Removal,Scraping and smoothing textured acoustic ceilings,Prep and Repairs,sq ft,4
Caulking Baseboards and Trim,Applying paintable caulk along gaps in trim work,Prep and Repairs,linear ft,1
Water Damage Stain Blocking,Applying shellac-based primer to seal stains,Prep and Repairs,sq ft,2
Smoke Odor Sealing Primer,Applying odor-blocking primer to entire room surfaces,Prep and Repairs,sq ft,3
Standard Wall Sanding,Sanding walls to remove imperfections and smooth surfaces,Prep and Repairs,sq ft,1
Lead Paint Stabilization,Encapsulating lead paint per safety guidelines,Prep and Repairs,sq ft,5
Standard Interior Primer Coat,Applying one coat of standard latex primer,Priming,sq ft,1
PVA Drywall Primer Application,Sealing fresh drywall with high-solids PVA primer,Priming,sq ft,1
Bonding Primer Application,Applying high-adhesion primer for slick surfaces,Priming,sq ft,2
Oil-Based Primer Application,Applying solvent-based primer for heavy duty sealing,Priming,sq ft,2
Staircase Spindle Painting,Detailed hand painting of individual balusters,Specialty,each,18
Staircase Handrail Painting,Painting or staining wooden stair handrail,Specialty,linear ft,15
Stair Tread Staining and Sealing,"Sanding, staining, and sealing wooden stair treads",Specialty,each,45
Radiator Cover Painting,Painting metal or wooden radiator enclosures,Specialty,each,110
Exposed Ceiling Beam Painting,Painting decorative wooden ceiling beams,Specialty,linear ft,12
Fireplace Mantel Painting,Painting wooden fireplace mantel and surround,Specialty,job,150
Brick Fireplace Painting,Applying specialized masonry paint to interior brick,Specialty,sq ft,5
Beadboard Paneling Painting,Painting tongue and groove beadboard walls,Specialty,sq ft,3
Interior Shutter Painting,Painting louvered interior window shutters,Specialty,each,95
Closet Interior Painting,Painting walls and shelves inside standard walk-in closet,Specialty,job,200
Garage Interior Walls Painting,Painting uninsulated or drywall garage interior walls,Specialty,sq ft,2
Epoxy Garage Floor Coating,Applying multi-layer epoxy floor coating with flakes,Specialty,sq ft,6
Basement Foundation Wall Painting,Applying masonry waterproofing paint to basement walls,Specialty,sq ft,3
Standard Wall Paint Material,Gallon of premium interior latex wall paint,Materials,gallon,65
High-End Designer Paint Material,Gallon of ultra-premium boutique interior paint,Materials,gallon,110
Trim and Cabinet Enamel Material,Gallon of leveling alkyd enamel for trim work,Materials,gallon,85
Ceiling Paint Material,Gallon of flat white anti-splatter ceiling paint,Materials,gallon,45
Painter's Tape and Plastic Supply,"Consumables for masking floors, fixtures, and windows",Materials,job,50
Sandpaper and Abrasives Supply,"Assorted sanding pads, blocks, and pole discs",Materials,job,30
Drywall Joint Compound Material,Buckets of lightweight mud for patching and repairs,Materials,job,25
Paint Roller Covers and Brushes,Professional grade roller sleeves and angled brushes,Materials,job,40
Heavy Duty Floor Protection,Surface guard paper and canvas drop cloths per room,Protection,each,35
Carpet Protection Film,Self-adhesive plastic film covering carpeted areas,Protection,sq ft,1
Dust Barrier Containment System,ZipWall plastic containment to isolate work zones,Protection,job,120
Furniture Moving Labor,Moving and covering heavy furniture within the home,Protection,hour,55
Light Fixture Removal and Reinstall,Detaching and rehanging chandeliers or wall sconces,Protection,each,40
Outlet and Switch Cover Handling,Removing and reinstalling switch plates for clean edges,Protection,job,45
Post-Construction Detailed Cleaning,Vacuuming and wiping down surfaces after painting,Protection,hour,50
Debris Disposal Fee,"Hauling away paint cans, masking, and old materials",Disposal,job,75
Hazardous Waste Disposal,Proper disposal fees for oil-based paints and solvents,Disposal,job,95
Interior Scaffolding Rental,"Delivery, setup, and teardown of rolling scaffolding",Equipment,day,150
Airless Paint Sprayer Daily Fee,Rental and maintenance fee for professional sprayer,Equipment,day,95
Drywall Sander Rental Fee,Electric dustless drywall sander for large surfaces,Equipment,day,85
Air Mover Fan Rental,Industrial blower to accelerate paint and primer drying,Equipment,day,35
Lead Safe Containment Setup,EPA RRP compliance barrier setup and HEPA vacuuming,Compliance,job,350
Lead Testing Kit Service,On-site chemical testing for lead-based paint,Compliance,each,75
Historic Home Preservation surcharge,Careful restoration methods for historic properties,Specialty,hour,95
Color Matching Service,Spectrophotometer matching of custom paint samples,Consultation,each,25
Faux Finish Technique,"Specialized rag-rolling, sponging, or color-washing",Upsells,sq ft,5
