name,description,category,unit,price,labor_hours,material_cost
Standard Service Call,Initial technician dispatch and first hour of diagnostics,Labor & Diagnostics,visit,185,1,40
After-Hours Emergency Dispatch,Emergency callout outside normal business hours,Labor & Diagnostics,visit,375,2,50
Journeyman Fitter Hourly Rate,Standard hourly rate for pipefitting and system repairs,Labor & Diagnostics,hour,125,1,0
Lead Inspector Hourly Rate,Hourly rate for certified system inspection and testing,Labor & Diagnostics,hour,145,1,0
Helper Hourly Rate,Hourly rate for apprentice support labor,Labor & Diagnostics,hour,85,1,0
System Diagnostic and Trouble Isolation,Tracing wiring or pressure faults in control panels,Labor & Diagnostics,hour,150,1.2,0
Project Management Fee,Coordination and scheduling for major repair projects,Labor & Diagnostics,job,250,2,0
Engineering Drawing Review,Review of shop drawings by certified designer,Labor & Diagnostics,hour,175,1.4,0
Fire Department Connection Hydro Test,Five-year hydrostatic test of FDC piping,Testing & Certification,job,650,3,186.67
Main Drain Test,Annual flow test of system main drain,Testing & Certification,each,175,1,33.33
Backflow Preventer Annual Test,Certified test of double check or RPZ valve,Testing & Certification,each,225,1.5,25
Fire Pump Annual Flow Test,"Full churn, rated, and peak flow test of fire pump",Testing & Certification,job,1200,6,293.33
Wet Pipe System Annual Inspection,Visual inspection of all accessible wet sprinkler components,Testing & Certification,visit,450,3,46.67
Dry Pipe System Annual Inspection,Inspection including trip test of dry valve,Testing & Certification,visit,550,3.5,75
Pre-Action System Functional Test,Full trip test and verification of pre-action panel,Testing & Certification,each,750,4,166.67
Clean Agent System Annual Inspection,Inspection and weighing of gaseous suppression cylinders,Testing & Certification,visit,600,3.5,116.67
Kitchen Suppression System Semi-Annual Test,Bi-annual service of wet chemical kitchen system,Testing & Certification,visit,325,2,50
Fire Alarm Interface Verification,Testing waterflow and tamper switch signals to panel,Testing & Certification,hour,135,1.08,0
Standpipe System Five-Year Test,Hydrostatic test of manual or automatic standpipes,Testing & Certification,job,850,5,150
Obstruction Investigation,Internal pipe inspection via flush or camera,Testing & Certification,job,950,5,220
Upright Sprinkler Head Replacement,Replace standard response upright sprinkler head,Sprinkler Heads,each,95,0.4,30
Pendent Sprinkler Head Replacement,Replace standard response pendent sprinkler head,Sprinkler Heads,each,95,0.4,30
Sidewall Sprinkler Head Replacement,Replace standard response sidewall sprinkler head,Sprinkler Heads,each,110,0.4,40
Concealed Pendent Head and Cover Plate Replacement,Replace concealed sprinkler head and matching cover plate,Sprinkler Heads,each,145,0.5,56.67
Extended Coverage Sprinkler Replacement,Replace specialized large area coverage sprinkler head,Sprinkler Heads,each,165,0.5,69.33
In-Rack Sprinkler Replacement,Replace specialized storage rack sprinkler head,Sprinkler Heads,each,130,0.5,46.67
ESFR Sprinkler Head Replacement,Replace early suppression fast response storage sprinkler,Sprinkler Heads,each,195,0.6,80
Institutional Security Sprinkler Replacement,Replace heavy-duty tamper-resistant correctional sprinkler,Sprinkler Heads,each,220,0.6,96.67
Dry Pendent Sprinkler Replacement,Replace extended barrel dry pendent sprinkler head,Sprinkler Heads,each,275,0.8,116.67
Open Water Spray Nozzle Replacement,Replace deluge or open spray discharge nozzle,Sprinkler Heads,each,185,0.6,73.33
2-Inch Butterfly Valve Replacement,Replace 2-inch grooved butterfly control valve,Valves & Trim,each,450,1.5,176.67
4-Inch Butterfly Valve Replacement,Replace 4-inch grooved butterfly control valve,Valves & Trim,each,650,2,266.67
6-Inch Butterfly Valve Replacement,Replace 6-inch grooved butterfly control valve,Valves & Trim,each,850,2.5,353.33
8-Inch Butterfly Valve Replacement,Replace 8-inch grooved butterfly control valve,Valves & Trim,each,1200,3.5,513.33
2-Inch OS&Y Gate Valve Replacement,Replace 2-inch outside screw and yoke valve,Valves & Trim,each,520,1.8,200
4-Inch OS&Y Gate Valve Replacement,Replace 4-inch outside screw and yoke valve,Valves & Trim,each,780,2.4,320
6-Inch OS&Y Gate Valve Replacement,Replace 6-inch outside screw and yoke valve,Valves & Trim,each,1100,3,460
2-Inch Check Valve Replacement,Replace 2-inch swing check valve,Valves & Trim,each,380,1.5,133.33
4-Inch Check Valve Replacement,Replace 4-inch swing check valve,Valves & Trim,each,620,2,240
6-Inch Check Valve Replacement,Replace 6-inch swing check valve,Valves & Trim,each,890,2.5,380
Alarm Check Valve Rebuild Kit,"Replace clapper, seat, and rubber gaskets in alarm valve",Valves & Trim,each,550,2.5,160
Dry Pipe Valve Rebuild Kit,Replace internal rubber parts on dry sprinkler valve,Valves & Trim,each,750,3,240
Backflow Preventer Rebuild Kit (2-Inch),Replace internal check modules and relief valve rubber,Valves & Trim,each,450,2,133.33
Backflow Preventer Rebuild Kit (4-Inch),Replace internal check modules and relief valve rubber,Valves & Trim,each,950,3,386.67
Pressure Reducing Valve Replacement,Replace 2.5-inch standpipe hose connection PRV,Valves & Trim,each,480,2,153.33
Waterflow Detector Replacement (Vane),Replace paddle-type waterflow flow switch,Switches & Devices,each,320,1.2,114.67
