name,description,category,unit,price,labor_hours,material_cost
Standard Court Inspection,Comprehensive evaluation of surface condition and drainage.,Diagnostics & Testing,visit,250,2,0
Laser Leveling Survey,Detailed slope and flatness mapping of court.,Diagnostics & Testing,job,650,4,100
Drainage Flow Test,Flood testing to locate standing water zones.,Diagnostics & Testing,hour,175,1.4,0
Net Post Foundation Core Test,Inspection of footing stability and depth.,Diagnostics & Testing,each,150,1,16.67
Moisture Emission Test,Concrete slab moisture testing prior to coating.,Diagnostics & Testing,job,300,2,33.33
Standard Labor Rate,Hourly rate for general court maintenance labor.,Labor Rates,hour,95,1,0
Specialist Coating Labor Rate,Hourly rate for acrylic surface application.,Labor Rates,hour,125,1,0
Line Striping Labor Rate,Hourly rate for precise game line painting.,Labor Rates,hour,140,1,0
Overtime Labor Rate,Hourly rate for emergency or weekend work.,Labor Rates,hour,185,1,0
Equipment Operator Rate,Hourly rate for heavy machinery operation.,Labor Rates,hour,150,1,0
Crack Routing,Mechanical widening of cracks for sealant.,Repairs & Preparation,linear ft,4,0.02,1.67
Acrylic Crack Repair,Filling standard cracks with acrylic binder mixture.,Repairs & Preparation,linear ft,6,0.02,2.67
Fabric Reinforced Crack Repair,Applying fiberglass membrane over active structural cracks.,Repairs & Preparation,linear ft,12,0.04,5.33
Birdbath Leveling Patch,Filling low spots up to 1/8 inch deep.,Repairs & Preparation,sq ft,3,0.01,1.33
Deep Depression Leveling Patch,Resurfacing severe depressions deeper than 1/8 inch.,Repairs & Preparation,sq ft,5,0.02,2.22
Concrete Spall Repair,Patching chipped or broken concrete slab edges.,Repairs & Preparation,each,85,0.5,15
Pressure Washing,High-pressure water cleaning of entire court surface.,Repairs & Preparation,sq ft,1,0.005,0.33
Algae and Mold Treatment,Chemical application to kill organic growth.,Repairs & Preparation,sq ft,1,0.005,0.33
Oil Stain Primer Application,Sealing grease or oil spots before coating.,Repairs & Preparation,each,75,0.4,16.67
Slab Grinding,Grinding uneven concrete joints smooth.,Repairs & Preparation,linear ft,15,0.1,3.33
Acrylic Resurfacer Coat,Application of one coat acrylic filler course.,Surfacing & Coating,sq ft,1,0.005,0.33
Cushion Layer System,Multi-layer resilient rubber cushion application.,Surfacing & Coating,sq ft,3,0.01,1.33
Color Coat Application,Application of pigmented textured acrylic finish coat.,Surfacing & Coating,sq ft,1,0.005,0.33
Second Color Coat Application,Additional pigmented coat for enhanced wear resistance.,Surfacing & Coating,sq ft,1,0.005,0.33
Line Painting,Laying out and painting official tennis court lines.,Surfacing & Coating,job,750,4,166.67
Pickleball Line Conversion,Adding blended pickleball lines to tennis court.,Surfacing & Coating,job,550,3,116.67
Basketball Key Painting,Painting key and three-point lines on court.,Surfacing & Coating,job,450,2.5,83.33
Clear Protective Topcoat,Applying UV resistant clear sealer over color coats.,Surfacing & Coating,sq ft,1,0.005,0.33
Blended Line Primer,"Applying primer for sharp, non-bleeding line edges.",Surfacing & Coating,job,200,1,50
Custom Court Logo Painting,Hand-painting custom crest or logo on court.,Surfacing & Coating,job,1200,6,300
Standard Net Replacement,Supplying and installing standard braided polyester net.,Net Systems & Hardware,each,350,1,150
