name,description,category,unit,price,labor_hours,material_cost
Initial Design Consultation,On-site measure and cabinet layout design review.,Consultation,visit,150,1,16.67
Color Matching Service,Custom paint or stain color match formulation.,Consultation,each,75,0.4,16.67
In-Home Sample Door Drop,Delivery of custom painted sample doors for approval.,Consultation,each,50,0.3,8.33
Standard Labor Rate,General carpentry and finishing labor per technician.,Labor,hour,85,1,0
Master Craftsman Labor Rate,Specialized intricate woodworking and detail labor.,Labor,hour,125,1,0
Apprentice Labor Rate,Assisting labor for prep and cleanup tasks.,Labor,hour,55,1,0
Emergency Repair Service Call,After-hours urgent cabinet stabilization or repair.,Labor,visit,250,1.5,43.33
Cabinet Removal and Disposal,Complete tear-out and hauling of old cabinetry.,Demolition,linear ft,45,0.3,4.67
Countertop Detachment,Careful removal of existing countertops for cabinet work.,Demolition,linear ft,30,0.2,3.33
Appliance Removal and Reset,Disconnecting and reconnecting built-in kitchen appliances.,Demolition,each,120,0.8,13.33
Debris Disposal Fee,Dumpster rental and disposal fees per project.,Demolition,job,350,1,150
Surface Degreasing and Cleaning,Deep chemical wash of all existing cabinet surfaces.,Prep,sq ft,3,0.02,0.67
Cabinet Door Stripping,Chemical stripping of old varnish or paint.,Prep,sq ft,12,0.06,2.67
Sanding and Scuffing,Mechanical sanding to ensure primer adhesion.,Prep,sq ft,4,0.025,0.67
Wood Grain Filling,Application of paste wood filler for smooth finish.,Prep,sq ft,6,0.03,1.33
Denting and Gouge Repair,Epoxy filling and leveling of deep surface damage.,Prep,each,45,0.25,8.33
Plastic Containment Barrier,ZipWall dust barrier setup for kitchen workspace.,Prep,job,200,1,50
Floor Protection Masking,Heavy-duty surface protection paper and tape layout.,Prep,sq ft,1,0.005,0.2
Primer Application,Spray application of bonding primer coat.,Refinishing,sq ft,5,0.025,1.33
Interior Box Painting,Painting interior cabinet box walls and shelves.,Refinishing,sq ft,7,0.04,1.33
Exterior Door Refinishing,Spraying two color coats on doors and drawer fronts.,Refinishing,sq ft,14,0.08,2.67
Cabinet Box Exterior Refinishing,Spraying visible gable ends and face frames.,Refinishing,sq ft,10,0.05,2.33
