name,description,category,unit,price
Standard Service Call,Initial travel and diagnostic during normal business hours,Diagnostics & Labor,visit,175
After Hours Service Call,Emergency dispatch outside normal operating hours,Diagnostics & Labor,visit,295
Holiday Service Call,Emergency dispatch on recognized holidays,Diagnostics & Labor,visit,395
Standard Technician Labor,Hourly rate for single technician repair work,Diagnostics & Labor,hour,125
Two-Man Technician Labor,Hourly rate for heavy installations requiring two men,Diagnostics & Labor,hour,225
After Hours Labor Rate,Hourly labor surcharge for night or weekend work,Diagnostics & Labor,hour,185
Preventative Maintenance Inspection,Comprehensive 21-point check for one commercial door,Diagnostics & Labor,each,150
Lift Rental Daily Fee,Scissor lift rental for high header work,Diagnostics & Labor,day,350
Disposal Fee,Haul away and disposal of old door materials,Diagnostics & Labor,job,125
Municipal Permit Fee,Local building permit processing and acquisition,Diagnostics & Labor,job,250
Torsion Spring Replacement Single,Replace one broken sectional door torsion spring,Sectional Doors,each,285
Torsion Spring Replacement Pair,Replace balanced pair of sectional door torsion springs,Sectional Doors,each,420
Sectional Door Cable Replacement,Replace frayed or snapped lifting cables pair,Sectional Doors,each,195
Sectional Door Roller Replacement,Replace nylon steel stem rollers up to 10,Sectional Doors,each,175
Bottom Section Replacement 16ft,Replace damaged bottom panel on standard sectional door,Sectional Doors,each,750
Intermediate Section Replacement 16ft,Replace damaged middle panel on sectional door,Sectional Doors,each,680
Sectional Door Hinge Replacement,Replace standard gauge door hinge 1 through 5,Sectional Doors,each,110
Sectional Door Track Repair,Straighten or replace bent vertical track section,Sectional Doors,each,220
Solid Shaft Replacement,Replace 1 inch keyed torsion shaft up to 16ft,Sectional Doors,each,450
Top Fixture Replacement,Replace adjustable top roller carrier brackets pair,Sectional Doors,each,135
Rolling Steel Curtain Replacement,Replace damaged slat curtain up to 100 sq ft,Rolling Steel Doors,sq ft,45
Rolling Steel Bottom Bar Replacement,Replace structural steel bottom bar with astragal,Rolling Steel Doors,linear ft,55
Rolling Door Guide Replacement,Replace damaged steel guide angles per side,Rolling Steel Doors,linear ft,65
Rolling Steel Barrel Assembly,Replace complete barrel and spring assembly,Rolling Steel Doors,each,1850
Rolling Door Hood Replacement,Replace galvanized sheet metal coil hood cover,Rolling Steel Doors,linear ft,45
Coiling Door Spring Repair,Retension or replace internal coiling steel springs,Rolling Steel Doors,each,650
Countershutter Slat Repair,Replace damaged interlocking slats on counter door,Rolling Steel Doors,sq ft,55
Rolling Steel Endlock Replacement,Replace cast iron curtain endlocks set of 10,Rolling Steel Doors,each,120
Fire Door Drop Test and Reset,Mandatory annual drop test and certification reset,Rolling Steel Doors,each,325
Fire Door Fusible Link Replacement,Replace thermal release links on fire shutter,Rolling Steel Doors,each,145
Commercial Hollow Metal Door Replacement,Standard 30x70 16-gauge exterior metal door slab,Hollow Metal & Storefront,each,850
Aluminum Storefront Door Replacement,Standard narrow stile commercial glass aluminum door,Hollow Metal & Storefront,each,1450
Continuous Gear Hinge Installation,Full surface heavy duty aluminum continuous hinge,Hollow Metal & Storefront,each,380
Storefront Pivot Set Replacement,Top and bottom offset pivot set for glass door,Hollow Metal & Storefront,each,320
Commercial Door Frame Repair,Weld and reinforce damaged hollow metal frame anchor,Hollow Metal & Storefront,each,450
Threshold Replacement,Heavy duty aluminum commercial saddle threshold,Hollow Metal & Storefront,linear ft,45
Storefront Glass Replacement Insulated,Dual pane tempered glass unit up to 20 sq ft,Hollow Metal & Storefront,each,650
Hollow Metal Butt Hinges Pair,Heavy duty ball bearing commercial steel hinges,Hollow Metal & Storefront,each,95
Door Latch Guard Installation,Security plate to prevent tampering with latch bolt,Hollow Metal & Storefront,each,115
Kick Plate Installation,8x34 stainless steel protection plate mounted,Hollow Metal & Storefront,each,145
Commercial Operator Replacement Trolley,1/2 HP heavy duty trolley operator installation,Operators & Controls,each,1450
Commercial Operator Replacement Jackshaft,1/2 HP industrial jackshaft operator installation,Operators & Controls,each,1650
Slidebridge Operator Chain Hoist,Manual chain hoist reduction unit for large doors,Operators & Controls,each,450
Operator Limit Switch Replacement,Replace and calibrate travel limit switches,Operators & Controls,each,280
Operator Logic Board Replacement,Replace main electronic control circuit board,Operators & Controls,each,580
Operator Motor Replacement,Replace electric motor unit on commercial operator,Operators & Controls,each,750
