name,description,category,unit,price,labor_hours,material_cost
Standard Diagnostic Fee,Onsite troubleshooting and problem identification,Diagnostics,visit,149,1,0
After Hours Diagnostic Fee,Emergency evening or weekend troubleshooting,Diagnostics,visit,299,2,0
Leak Detection Service,Electronic pinpointing of hidden water leaks,Diagnostics,job,350,2,66.67
Sewer Camera Inspection,Video scope inspection of main sewer line,Diagnostics,job,325,2,50
Plumbing Labor Rate,Standard hourly labor for repairs,Labor,hour,175,1,0
After Hours Labor Rate,Emergency hourly labor rate,Labor,hour,275,1,0
Two-Man Labor Rate,Hourly rate for two technicians,Labor,hour,300,1,0
Toilet Replacement,Remove and replace standard floor-mounted toilet,Toilets,each,325,1.5,93.33
Toilet Repair Kit,"Replace fill valve, flapper, and flush valve",Toilets,each,175,0.75,53.33
Toilet Flapper Replacement,Replace rubber tank flapper,Toilets,each,85,0.5,15
Toilet Fill Valve Replacement,Replace standard toilet fill valve,Toilets,each,145,0.75,33.33
Toilet Wax Ring Replacement,Reset toilet with new wax seal and bolts,Toilets,each,210,1.25,36.67
Bidet Seat Installation,Install electronic bidet toilet seat,Toilets,each,220,1,63.33
Urinal Replacement,Remove and replace wall-hung urinal,Toilets,each,380,1.5,126.67
Standard Faucet Replacement,Install customer-supplied bathroom or kitchen faucet,Faucets & Sinks,each,245,1.25,60
Kitchen Sink Faucet Replacement,Replace pull-down kitchen faucet,Faucets & Sinks,each,275,1.25,80
Bathroom Sink Replacement,Disconnect and replace vanity sink basin,Faucets & Sinks,each,350,1.75,90
Kitchen Sink Replacement,Remove and replace drop-in kitchen sink,Faucets & Sinks,each,450,2.25,110
Faucet Cartridge Replacement,Replace leaking single-handle faucet cartridge,Faucets & Sinks,each,185,1,40
Sink Pop-Up Assembly Replacement,Replace sink drain stopper and tailpiece,Faucets & Sinks,each,150,0.75,38.33
P-Trap Replacement,Replace under-sink tubular slip-joint drainage,Faucets & Sinks,each,125,0.75,21.67
Garbage Disposal Replacement (1/2 HP),Replace standard 1/2 horsepower food waste disposer,Garbage Disposals,each,325,1.25,113.33
Garbage Disposal Replacement (3/4 HP),Replace heavy-duty 3/4 horsepower garbage disposal,Garbage Disposals,each,395,1.25,160
Garbage Disposal Unjamming,Clear obstruction and reset jammed disposal,Garbage Disposals,each,135,0.75,26.67
Disposal Power Cord Installation,Wire electrical cord to garbage disposal,Garbage Disposals,each,65,0.25,23.33
Standard Water Heater Replacement (40 Gal Gas),Replace standard 40 gallon atmospheric gas water heater,Water Heaters,each,1850,3,966.67
