name,description,category,unit,price,labor_hours,material_cost
Standard Service Call and Diagnostic,On-site assessment and written repair estimate,Diagnostics and Fees,visit,125,1,0
After-Hours Emergency Service Call,Urgent on-site diagnostic outside normal business hours,Diagnostics and Fees,visit,250,2,0
Detailed Carpentry Consultation,In-person design and scope planning session,Diagnostics and Fees,hour,95,1,0
Carpentry Labor Rate,Standard hourly rate for skilled finish carpentry work,Labor Rates,hour,85,1,0
Lead Carpenter Labor Rate,Hourly rate for complex structural or custom millwork,Labor Rates,hour,115,1,0
Apprentice Labor Rate,Hourly rate for assistant labor and material handling,Labor Rates,hour,55,1,0
Overtime Labor Surcharge,Additional hourly premium for evening or weekend work,Labor Rates,hour,45,0.36,0
Debris Disposal Fee,Removal and hauling of old materials and jobsite waste,Permits and Disposal,job,150,0,100
Large Dumpster Rental Surcharge,Roll-off dumpster coordination for major remodeling jobs,Permits and Disposal,job,550,0,366.67
Building Permit Acquisition,Filing and processing local municipal construction permits,Permits and Disposal,job,200,1,50
Interior Door Installation,Hang pre-hung interior door in existing rough opening,Doors and Hardware,each,225,1.2,50
Exterior Door Installation,Hang pre-hung exterior door with proper flashing and shims,Doors and Hardware,each,450,2,133.33
Pocket Door Installation,Install sliding pocket door frame and slab,Doors and Hardware,each,550,3,100
Bifold Door Set Installation,Install closet bifold door track and panels,Doors and Hardware,each,175,1,33.33
Double French Door Installation,Install double pre-hung door unit in interior opening,Doors and Hardware,each,650,3,183.33
Door Slab Replacement,Fit and hang new door slab into existing mortises,Doors and Hardware,each,180,1,36.67
Interior Door Hardware Installation,Install passage or privacy knob set and latch,Doors and Hardware,each,45,0.3,5
Deadbolt Installation,Bore door and install single cylinder deadbolt,Doors and Hardware,each,75,0.4,16.67
Mortise Lock Repair,Realign and repair traditional mortise lockset,Doors and Hardware,each,150,1,16.67
Door Hinge Replacement,Swap out three existing hinges with new finish hinges,Doors and Hardware,each,60,0.3,15
Door Sweep Installation,Mount rubber door sweep to exterior door bottom,Doors and Hardware,each,40,0.25,5
Threshold Replacement,Remove and replace worn exterior door threshold,Doors and Hardware,each,120,0.6,30
Baseboard Installation,"Cut, cope, and nail standard wood baseboard",Trim and Molding,linear ft,5,0.03,2.5
Baseboard Removal and Disposal,Carefully pry off and discard old baseboard trim,Trim and Molding,linear ft,2,0.015,0.5
Quarter Round Molding Installation,Install shoe or quarter round molding along baseboards,Trim and Molding,linear ft,3,0.02,1.33
Crown Molding Installation,"Measure, cope, and install intricate crown molding",Trim and Molding,linear ft,12,0.07,5
Chair Rail Installation,Install decorative chair rail molding on drywall,Trim and Molding,linear ft,7,0.04,3
Wainscoting Panel Installation,Install beadboard wainscoting with top and bottom rail,Trim and Molding,sq ft,18,0.08,5.33
Door Casing Installation,Install trim boards around single interior door opening,Trim and Molding,each,90,0.5,18.33
Window Casing Installation,Install trim boards around standard interior window opening,Trim and Molding,each,110,0.6,23.33
Window Sill and Apron Installation,Replace interior wooden window stool and apron trim,Trim and Molding,each,130,0.7,26.67
Picture Frame Molding Installation,Create decorative wall panel boxes using molding strips,Trim and Molding,linear ft,9,0.05,4
Coffered Ceiling Build,Construct grid of wooden beams on flat drywall ceiling,Trim and Molding,sq ft,35,0.15,11
Wood Wall Paneling Installation,Install tongue and groove planks on accent wall,Trim and Molding,sq ft,14,0.06,4.33
Custom Built-In Bookshelf Construction,Build and install custom wall-to-wall shelving unit,Cabinetry and Built-Ins,linear ft,320,1.4,96.67
Floating Shelf Installation,Mount heavy-duty concealed bracket floating wood shelf,Cabinetry and Built-Ins,each,125,0.6,33.33
Kitchen Cabinet Upper Installation,Level and anchor upper kitchen cabinet boxes to wall,Cabinetry and Built-Ins,linear ft,110,0.5,30
Kitchen Cabinet Base Installation,Level and anchor base kitchen cabinet boxes to floor,Cabinetry and Built-Ins,linear ft,95,0.4,30
Cabinet Door Adjustment,Align euro-hinges for proper cabinet door closure,Cabinetry and Built-Ins,each,25,0.2,0
Cabinet Hardware Replacement,Swap out pulls and knobs on existing cabinet doors,Cabinetry and Built-Ins,each,15,0.1,2
