name,description,category,unit,price
Standard Septic Pumping up to 1000 Gallons,Pump and clear solids from standard 1000-gallon septic tank.,Pumping & Cleaning,job,375
Standard Septic Pumping up to 1500 Gallons,Pump and clear solids from standard 1500-gallon septic tank.,Pumping & Cleaning,job,475
Standard Septic Pumping up to 2000 Gallons,Pump and clear solids from standard 2000-gallon septic tank.,Pumping & Cleaning,job,600
Emergency After-Hours Septic Pumping,Urgent tank pumping outside normal business operating hours.,Pumping & Cleaning,job,750
Commercial Septic Pumping,Heavy-duty pumping for commercial-grade large capacity septic systems.,Pumping & Cleaning,gallon,1
Grease Trap Pumping and Cleaning,Empty and thoroughly clean commercial or residential kitchen grease trap.,Pumping & Cleaning,job,275
Dosing Tank Pumping,Pump out accumulated sludge from effluent dosing tank.,Pumping & Cleaning,job,325
RV Holding Tank Pumping,Empty residential RV or camper waste holding tank on-site.,Pumping & Cleaning,job,175
Tank Backwash Service,Flush tank filter media and backwash system components.,Pumping & Cleaning,job,225
High-Pressure Jetting of Inlet Baffle,Clear clogged inlet baffle using high-pressure water stream.,Pumping & Cleaning,job,250
Standard Septic System Inspection,"Visual and functional check of tank, baffles, and drain field.",Inspections & Diagnostics,visit,325
Real Estate Septic Certification Inspection,Comprehensive inspection with written report for home sale transaction.,Inspections & Diagnostics,visit,450
Video Camera Drain Line Inspection,Run camera down house sewer line to locate blockages or breaks.,Inspections & Diagnostics,job,300
Electronic Tank Locating,Use sonde transmitter to pinpoint buried septic tank location.,Inspections & Diagnostics,job,175
Drain Field Percolation Test,Perform perc test to evaluate soil absorption rate for new field.,Inspections & Diagnostics,job,650
Effluent Filter Inspection and Cleaning,"Pull, wash, and reinstall effluent filter cartridge.",Inspections & Diagnostics,job,125
Alarm Panel Diagnostics,Troubleshoot electrical issues with high-water alarm system.,Inspections & Diagnostics,hour,150
Drain Field Dye Test,Flush fluorescent dye into system to check for surface breakout.,Inspections & Diagnostics,job,250
Baffle Condition Assessment,Check inlet and outlet baffles for structural integrity.,Inspections & Diagnostics,visit,100
Soil Boring Analysis,Drill soil auger holes to determine water table depth.,Inspections & Diagnostics,job,400
Standard Labor Rate,Hourly labor rate for standard septic service technician.,Labor & Service,hour,125
Two-Man Crew Labor Rate,Hourly rate for a two-person team on heavy repairs.,Labor & Service,hour,220
Excavator Operator Labor Rate,Hourly rate for certified heavy equipment operator.,Labor & Service,hour,175
After-Hours Emergency Dispatch Fee,Service call fee for emergency dispatches outside normal hours.,Labor & Service,visit,250
