name,description,category,unit,price,labor_hours,material_cost
Standard Service Call,Initial diagnostic and trip fee up to one hour,Diagnostics & Labor,visit,175,1.4,0
After-Hours Emergency Dispatch,Emergency dispatch fee outside normal business hours,Diagnostics & Labor,visit,350,2.8,0
Master Electrician Hourly Rate,Standard hourly labor rate for licensed electrician,Diagnostics & Labor,hour,150,1,0
Apprentice Electrician Hourly Rate,Hourly rate for assistant apprentice technician,Diagnostics & Labor,hour,95,1,0
Two-Man Crew Hourly Rate,Combined hourly rate for master and apprentice,Diagnostics & Labor,hour,225,1,0
Electrical System Health Safety Inspection,Comprehensive visual inspection of entire electrical system,Diagnostics & Labor,job,250,2,0
Thermal Imaging Scan,Infrared panel and circuit diagnostic scan,Diagnostics & Labor,job,300,2,33.33
Troubleshooting and Diagnostics,Advanced electrical fault finding per hour,Diagnostics & Labor,hour,165,1.32,0
Standard 15A Tamper-Resistant Outlet,Replacement of standard 15 amp receptacle,Outlets & Switches,each,85,0.5,15
Standard 20A Tamper-Resistant Outlet,Replacement of standard 20 amp receptacle,Outlets & Switches,each,95,0.5,21.67
GFCI Outlet Replacement,Standard GFCI safety receptacle replacement,Outlets & Switches,each,175,0.8,50
USB Combo Outlet Installation,Receptacle with integrated USB charging ports,Outlets & Switches,each,150,0.6,50
240V Heavy-Duty Outlet Installation,Dryer or range 240V receptacle replacement,Outlets & Switches,each,250,1.2,66.67
Weatherproof Exterior Outlet,GFCI outlet with weather-resistant in-use cover,Outlets & Switches,each,220,1,63.33
Single-Pole Wall Switch,Standard toggle or paddle light switch,Outlets & Switches,each,85,0.5,15
Three-Way Switch Replacement,Replacement of paired three-way switch,Outlets & Switches,each,110,0.6,23.33
Four-Way Switch Replacement,Replacement of four-way control switch,Outlets & Switches,each,140,0.8,26.67
Single-Pole Dimmer Switch,Standard incandescent or LED dimmer switch,Outlets & Switches,each,160,0.8,40
Smart Wi-Fi Dimmer Switch,Smart connected dimmer switch installation,Outlets & Switches,each,210,0.9,65
Motion Sensor Switch,Occupancy sensor switch for lighting control,Outlets & Switches,each,180,0.8,53.33
Standard Ceiling Fan Installation,Assembly and hanging of fan on existing box,Lighting & Fans,each,250,1.5,43.33
Heavy Ceiling Fan with Vaulted Bracing,Fan installation requiring new structural ceiling brace,Lighting & Fans,each,450,2.5,93.33
Standard Light Fixture Installation,Replacement of standard flush mount light fixture,Lighting & Fans,each,150,1,16.67
Chandelier Installation up to 15ft,Hanging chandelier on existing junction box,Lighting & Fans,each,350,2.2,46.67
High Ceiling Chandelier Installation,Chandelier installation above 15 feet height,Lighting & Fans,each,650,4,100
Recessed LED Can Light Installation,New 4-inch or 6-inch LED retrofit downlight,Lighting & Fans,each,175,1,33.33
Under Cabinet LED Lighting Strip,Hardwired under cabinet LED lighting system,Lighting & Fans,linear ft,65,0.3,18.33
Exterior Floodlight Fixture,Single or double head security floodlight replacement,Lighting & Fans,each,200,1.1,43.33
Pendant Light Fixture Installation,Single hanging pendant light installation,Lighting & Fans,each,175,1.1,26.67
Wall Sconce Light Installation,Indoor or outdoor wall-mounted sconce fixture,Lighting & Fans,each,150,1,16.67
100 Amp Main Breaker Panel Replacement,Swap out standard 100A main service panel,Panels & Breakers,job,2200,10,633.33
200 Amp Main Breaker Panel Replacement,Swap out standard 200A main service panel,Panels & Breakers,job,3200,13,1033.33
400 Amp Main Service Upgrade,Dual 200A panel upgrade with heavy service risers,Panels & Breakers,job,5500,22,1800
Standard Single-Pole Circuit Breaker,Replacement of 15A or 20A standard breaker,Panels & Breakers,each,150,0.6,50
AFCI Circuit Breaker Installation,Arc-fault circuit interrupter breaker replacement,Panels & Breakers,each,220,0.8,80
GFCI Circuit Breaker Installation,Ground-fault circuit interrupter breaker replacement,Panels & Breakers,each,240,0.8,93.33
Dual-Function AFCI/GFCI Breaker,Combination arc-fault and ground-fault breaker,Panels & Breakers,each,275,0.8,116.67
240V Two-Pole Breaker 30A-50A,Double pole breaker for large appliances,Panels & Breakers,each,250,0.8,100
Whole House Surge Protector,Main panel surge suppression device installation,Panels & Breakers,each,450,1.5,173.33
Sub-Panel Installation 100A,Installation of secondary sub-panel up to 100 amps,Panels & Breakers,job,1800,8,533.33
Main Service Ground Rod Installation,Driven copper ground rods and bonding clamps,Panels & Breakers,job,400,2.2,73.33
