name,description,category,unit,price
Flooring Consultation and Measure,On-site assessment and precise room measurement,Diagnostics & Service Calls,visit,100
Subfloor Moisture Testing,Concrete relative humidity test for moisture levels,Diagnostics & Service Calls,visit,175
Emergency Water Extraction Service,Water removal from soaked flooring materials,Diagnostics & Service Calls,hour,150
Standard Flooring Inspection,Detailed failure analysis and damage report,Diagnostics & Service Calls,visit,200
After-Hours Service Call Fee,Emergency dispatch outside normal business hours,Diagnostics & Service Calls,visit,250
Carpet Stretch and Re-secure,Power stretch loose wall-to-wall carpet,Carpet Repair,room,150
Carpet Patch Repair,Cut and glue remnant piece into damaged area,Carpet Repair,each,225
Carpet Seam Repair,Re-glue and seal fraying carpet seams,Carpet Repair,linear ft,15
Carpet Burn Repair,Clip damaged fibers and insert donor tufts,Carpet Repair,each,125
Stair Carpet Re-attachment,Re-staple and secure loose carpet on stairs,Carpet Repair,linear ft,20
Hardwood Board Replacement,Remove damaged plank and install new matching hardwood,Hardwood Repair,each,175
Hardwood Scratch Touch-Up,Color blend and seal surface scratches,Hardwood Repair,hour,120
Hardwood Board Face Nailing,Secure squeaking or loose boards with face nails,Hardwood Repair,linear ft,12
Engineered Wood Injection Repair,Inject adhesive to bond loose veneer to subfloor,Hardwood Repair,each,95
Hardwood Threshold Repair,Re-secure or replace damaged wooden transition strip,Hardwood Repair,each,110
Tile Replacement,Chisel out broken tile and install replacement,Tile Repair,each,85
Grout Line Restoration,Clean and re-color stained grout lines,Tile Repair,sq ft,4
Grout Crack Repair,Rake out cracked grout and apply fresh mortar,Tile Repair,linear ft,8
Loose Tile Re-adhesion,Inject epoxy under hollow-sounding loose tiles,Tile Repair,each,60
Shower Tile Regrouting,Remove old shower grout and apply waterproof grout,Tile Repair,sq ft,12
LVP Plank Replacement,Replace damaged luxury vinyl plank in field,Laminate & Vinyl Repair,each,130
Laminate Seam Sealing,Apply moisture barrier adhesive to laminate joints,Laminate & Vinyl Repair,linear ft,5
Sheet Vinyl Patch,Heat weld or seam seal sheet vinyl insert,Laminate & Vinyl Repair,each,175
LVP Edge Trim Repair,Re-glue detached vinyl stair nose or edge,Laminate & Vinyl Repair,linear ft,18
Vinyl Plank Gapping Correction,Pull and realign shifted locking planks,Laminate & Vinyl Repair,sq ft,3
