name,description,category,unit,price
Service Call & Travel Fee,Base travel and dispatch within standard service radius,Diagnostics & Travel,visit,150
After-Hours Emergency Dispatch,Urgent mobilization outside normal business hours,Diagnostics & Travel,visit,300
On-Site Diagnostic Evaluation,Inspection and assessment of structural or equipment damage,Diagnostics & Travel,hour,125
Site Safety Assessment,Hazard evaluation and hot work permit preparation,Diagnostics & Travel,hour,100
Mileage Surcharge,Travel fee per mile outside standard service radius,Diagnostics & Travel,each,4
Standard Mobile Welding Labor,On-site welding and fabrication labor per welder,Labor Rates,hour,135
Certified Structural Welding Labor,D1.1 certified welding labor for structural steel,Labor Rates,hour,165
Pipe Welding Labor,Certified high-pressure pipe welding labor,Labor Rates,hour,175
TIG Welding Labor,Precision TIG welding for aluminum or stainless steel,Labor Rates,hour,160
Dual-Operator Labor,Second welder required for large or complex jobs,Labor Rates,hour,110
Rig Setup and Tear Down,Preparation and packing of mobile welding rig equipment,Labor Rates,hour,95
Helper / Assistant Labor,"General labor support for grinding, fitting, and safety",Labor Rates,hour,75
Carbon Steel Structural Crack Repair,V-groove and weld repair on structural steel members,Structural Repairs,linear ft,120
Steel Beam Reinforcement Plate Installation,Weld gusset or reinforcement plate to damaged beam,Structural Repairs,each,350
Column Base Plate Repair,Re-weld or reinforce structural steel column base,Structural Repairs,each,450
Mezzanine Frame Repair,Repair broken joints and supports on steel mezzanine,Structural Repairs,hour,140
Steel Staircase Tread Repair,Re-secure and weld broken steel stair treads,Structural Repairs,each,175
Handrail Repair and Reattachment,Weld broken joints or base plates on steel handrail,Structural Repairs,linear ft,85
Bollard Post Installation,Weld steel pipe bollard into existing base plate,Structural Repairs,each,220
Warehouse Guardrail Repair,Repair impact damage on warehouse safety guardrails,Structural Repairs,each,250
Dock Leveler Lip Repair,Hardface and rebuild worn loading dock leveler lip,Loading Dock & Equipment,each,380
Loading Dock Bumpers Steel Frame Repair,Weld new mounting plate for dock bumper assembly,Loading Dock & Equipment,each,275
Dock Plate Hinge Repair,Repair or replace broken hinge loops on dock plate,Loading Dock & Equipment,each,210
Conveyor Frame Weld Repair,Repair cracked or sagging industrial conveyor frame,Loading Dock & Equipment,hour,145
Hopper Crack Repair,Weld cracks in industrial material handling hopper,Loading Dock & Equipment,linear ft,130
Industrial Chute Patching,Weld steel wear patch over damaged chute section,Loading Dock & Equipment,sq ft,160
Storage Rack Upright Repair,Weld reinforcement sleeve to damaged pallet rack leg,Loading Dock & Equipment,each,290
Storage Rack Beam Re-welding,Re-attach torn connector clips on pallet rack beam,Loading Dock & Equipment,each,150
Dumpster Lid Hinge Fabrication,Weld new heavy-duty steel hinges onto metal dumpster,Heavy Equipment & Trailers,each,185
Dumpster Floor Patch,Weld steel plate to patch rusted dumpster bottom,Heavy Equipment & Trailers,sq ft,145
Trailer Tongue Crack Repair,V-groove and reinforce cracked utility trailer tongue,Heavy Equipment & Trailers,each,320
Trailer Axle Re-welding,Re-secure spun or broken trailer axle spindle mount,Heavy Equipment & Trailers,each,450
Gooseneck Trailer Frame Gusseting,Install structural gussets on heavy equipment trailer,Heavy Equipment & Trailers,each,550
Trailer Ramp Hinge Repair,Re-weld or replace broken spring-assisted ramp hinges,Heavy Equipment & Trailers,each,240
Heavy Equipment Bucket Hardfacing,Apply wear-resistant alloy to loader or excavator bucket,Heavy Equipment & Trailers,hour,175
Excavator Bucket Tooth Adapter Replacement,Cut off worn adapter and weld on new excavator adapter,Heavy Equipment & Trailers,each,210
Bulldozer Blade Crack Repair,Gouge and weld structural cracks on dozer blade moldboard,Heavy Equipment & Trailers,linear ft,165
Heavy Equipment Cab Guard Fabrication,Weld protective steel mesh screen to machinery cab,Heavy Equipment & Trailers,hour,150
Aluminum Diamond Plate Tool Box Repair,TIG weld cracks on aluminum truck utility box,Aluminum & Stainless,hour,160
Aluminum Trailer Frame Repair,TIG weld structural cracks on aluminum trailer frame,Aluminum & Stainless,linear ft,150
Aluminum Boat Hull Patch,TIG weld patch over punctured aluminum boat hull,Aluminum & Stainless,sq ft,220
Aluminum Tank Crack Repair,Repair crack on non-code aluminum holding tank,Aluminum & Stainless,linear ft,175
Stainless Steel Handrail TIG Welding,Fabricate and weld sanitary stainless steel handrail,Aluminum & Stainless,linear ft,140
Stainless Steel Table Repair,Weld broken seams on commercial kitchen prep table,Aluminum & Stainless,hour,150
Stainless Steel Pipe Weld Repair,Purge-welded stainless steel process pipe repair,Aluminum & Stainless,each,280
Cast Iron Manifold Repair,Brazing and controlled cooling repair on cast iron part,Cast Iron & Special Metals,hour,180
Cast Iron Gearbox Housing Repair,Specialized nickel-rod weld repair on cracked casting,Cast Iron & Special Metals,hour,195
Cast Iron Machine Base Repair,Structural repair on heavy cast iron industrial base,Cast Iron & Special Metals,hour,210
Bronze Bushing Retaining Weld,Tack and secure bronze bushing inside steel housing,Cast Iron & Special Metals,each,130
Steel Pipe Section Replacement,Cut out damaged pipe section and weld in new carbon pipe,Pipe & Pressure,each,320
Flange Welding,Weld slip-on or weld-neck flange to carbon steel pipe,Pipe & Pressure,each,250
Pipe Support Bracket Fabrication,Weld custom pipe hanger bracket to structural steel,Pipe & Pressure,each,140
Pressure Vessel Non-Code Leak Repair,Weld surface pinhole leak on non-code air receiver tank,Pipe & Pressure,each,275
Gate Hinge Post Replacement,Cut off old hinge post and weld new heavy steel post,"Gates, Fences & Security",each,290
Ornamental Iron Gate Repair,Weld broken pickets and scrollwork on driveway gate,"Gates, Fences & Security",hour,135
