name,description,category,unit,price
Standard Diagnostic Fee,Troubleshoot smart home network or device issues,Diagnostics,visit,150
Advanced Network Diagnostics,Analyze Wi-Fi interference and signal strength,Diagnostics,hour,175
Automation System Audit,Comprehensive review of all connected devices,Diagnostics,job,250
Firmware Update Service,Update firmware across all smart devices,Diagnostics,hour,125
Integration Labor Rate,Standard technician hourly labor rate,Labor,hour,125
Master Programmer Labor Rate,Advanced programming and macro creation,Labor,hour,175
After-Hours Emergency Labor,Emergency service outside normal business hours,Labor,hour,250
Apprentice Labor Rate,Support technician hourly labor rate,Labor,hour,85
Smart Hub Installation,Install and configure central control hub,Hubs & Controllers,each,200
Advanced Touch Panel Installation,Wall-mounted touchscreen controller setup,Hubs & Controllers,each,350
Desktop Tablet Controller Dock,Tabletop charging dock for control tablet,Hubs & Controllers,each,120
Z-Wave USB Controller Dongle,Plug-in protocol extension dongle,Hubs & Controllers,each,75
Zigbee Coordinator Setup,Mesh network coordinator configuration,Hubs & Controllers,each,110
Single-Pole Smart Switch Installation,Replace standard switch with smart switch,Lighting Control,each,95
Three-Way Smart Switch Pair,Replace standard 3-way switch circuit,Lighting Control,each,180
Smart Dimmer Switch Installation,Install phase-adaptive smart dimmer switch,Lighting Control,each,110
Smart Bulb Replacement,Install and pair smart color bulb,Lighting Control,each,45
Smart LED Strip Controller,Install low-voltage LED strip driver,Lighting Control,each,150
Keypad Scene Controller Installation,Multi-button customizable wall keypad,Lighting Control,each,220
Wireless Lighting Remote Pairing,Program handheld pico remote control,Lighting Control,each,65
Smart Deadbolt Installation,Replace mechanical deadbolt with smart lock,Access Control,each,175
Smart Lever Lock Installation,Install connected door lever lock,Access Control,each,175
Video Doorbell Installation,Hardwire and configure video doorbell,Access Control,each,160
Doorbell Transformer Upgrade,Upgrade low-voltage transformer for video doorbell,Access Control,each,130
Smart Garage Door Controller,Install opener sensor and relay module,Access Control,each,140
Electronic Gate Relay Integration,Connect smart module to automatic gate,Access Control,each,275
Biometric Reader Installation,Fingerprint access scanner configuration,Access Control,each,250
Indoor Fixed Camera Installation,Mount and configure Wi-Fi security camera,Surveillance,each,110
Outdoor Security Camera Installation,Mount and weatherproof exterior security camera,Surveillance,each,150
PTZ Camera Setup,Pan-tilt-zoom camera installation and calibration,Surveillance,each,220
Network Video Recorder Configuration,Setup NVR with local hard drive storage,Surveillance,each,300
Cloud Storage Subscription Setup,Configure camera cloud backup service,Surveillance,each,75
Smart Thermostat Installation,Replace standard thermostat with smart unit,Climate Control,each,150
C-Wire Power Adapter Installation,Run common wire adapter for smart thermostat,Climate Control,each,110
Remote Temperature Sensor Setup,Pair wireless room sensor with thermostat,Climate Control,each,65
Smart Vent Integration,Install motorized register vent and controller,Climate Control,each,90
HVAC Zone Controller Setup,Configure multi-zone damper automation system,Climate Control,each,350
Motorized Roller Shade Installation,Mount and program motorized window shade,Motorized Shades,each,250
Motorized Drapery Track Installation,Install curtain track and motorized carrier,Motorized Shades,linear ft,85
Battery Wand Replacement for Shades,Install concealed battery tube for shades,Motorized Shades,each,75
Solar Panel Charger for Shades,Mount trickle-charge solar panel on window frame,Motorized Shades,each,95
Shade RF Repeater Setup,Install range extender for wireless shades,Motorized Shades,each,110
Smart Speaker Setup,"Unbox, place, and configure voice assistant",Audio & Video,each,75
Smart Soundbar Integration,Mount soundbar and connect to automation hub,Audio & Video,each,175
Multi-Room Audio Zone Setup,Configure audio streaming amplifier zone,Audio & Video,each,200
In-Ceiling Speaker Installation,"Cut drywall, run wire, and mount speaker",Audio & Video,each,130
Universal Remote Control Programming,Program handheld macro remote for AV gear,Audio & Video,each,250
Video Matrix Switcher Setup,Configure HDMI over IP routing matrix,Audio & Video,each,400
Streaming Media Player Setup,Configure smart streaming box to network,Audio & Video,each,90
Wireless Access Point Installation,Mount and configure ceiling access point,Networking,each,175
Router and Switch Configuration,Setup core network router and managed switch,Networking,job,300
Mesh Wi-Fi System Setup,Configure multi-node wireless mesh system,Networking,job,220
Ethernet Drop Run,Run Cat6 cable through accessible walls,Networking,linear ft,6
Network Patch Panel Termination,Terminate Cat6 cables into rack patch panel,Networking,each,15
Guest Network Isolation Setup,Configure secure VLAN for smart home IoT devices,Networking,job,150
Fiber Optic Media Converter Installation,Install and test fiber internet link converter,Networking,each,200
Smart Water Valve Shutoff Installation,Install motorized automatic water shutoff valve,Safety & Sensors,each,350
Wireless Leak Detector Placement,Place and test moisture sensor nodes,Safety & Sensors,each,50
Smart Smoke Alarm Installation,Replace wired smoke detector with smart unit,Safety & Sensors,each,110
Smart Carbon Monoxide Detector Setup,Install and test connected CO detector,Safety & Sensors,each,110
Contact Sensor Installation,Mount wireless door or window open sensor,Safety & Sensors,each,45
Motion Sensor Installation,Mount and pair wireless infrared motion detector,Safety & Sensors,each,60
Glass Break Sensor Configuration,Mount acoustic glass breakage detector,Safety & Sensors,each,85
Smart Irrigation Controller Installation,Replace sprinkler timer with smart controller,Outdoor & Pool,each,200
Flow Meter Installation,Install main line water flow sensor,Outdoor & Pool,each,175
Pool Automation Controller Setup,Configure smart pool pump and heater control,Outdoor & Pool,each,350
Outdoor Smart Plug Installation,Mount weather-resistant smart outlet module,Outdoor & Pool,each,85
Landscape Lighting Transformer Integration,Connect smart relay to low voltage lighting,Outdoor & Pool,each,180
Smart Robot Lawn Mower Setup,Setup boundary wire and robotic mower base,Outdoor & Pool,job,400
Voice Assistant Custom Routine Programming,Program custom voice triggers and multi-step routines,Programming,hour,150
IFTTT or Zapier Integration Setup,Configure third-party cloud webhook bridges,Programming,hour,175
Custom Dashboard UI Design,Design custom floor plan touch panel layout,Programming,hour,175
Geo-Fencing Setup,Configure arrival and departure automation triggers,Programming,each,90
API Script Integration,Write custom local API bridge code,Programming,hour,200
Equipment Rack Assembly and Wiring,Build and lace structured AV/Network equipment rack,Infrastructure,job,650
Structured Media Enclosure Cleanup,Organize and label builder-grade wiring panel,Infrastructure,job,250
Low-Voltage Power Supply Installation,Mount and wire centralized 12V/24V power supply,Infrastructure,each,175
UPS Battery Backup Installation,Install uninterruptible power supply for hub/network,Infrastructure,each,150
Surge Protector Power Strip Installation,Install heavy-duty whole system surge protector,Infrastructure,each,220
Low-Voltage Cable Run (Generic),Pull unshielded low-voltage wire through walls,Infrastructure,linear ft,4
Low-Voltage Junction Box Installation,Cut in old-work low-voltage mounting bracket,Infrastructure,each,45
Standard Permit Filing Fee,Process local low-voltage electrical permit,Permits & Disposal,job,100
Commercial Building Permit Processing,Process commercial low-voltage plan review and permit,Permits & Disposal,job,300
Old Equipment Disposal Fee,Haul away and recycle legacy electronics,Permits & Disposal,job,75
Core Drilling Through Concrete,Drill penetration hole through concrete wall or slab,Permits & Disposal,each,250
Drywall Patch and Repair,Patch drywall opening from wiring cut-ins,Permits & Disposal,each,125
Annual Maintenance Plan Visit,Routine annual system check and software updates,Upsells & Maintenance,visit,250
Priority Support SLA Upgrade,One year of expedited remote support service,Upsells & Maintenance,job,300
Smart Home Orientation and Training,Two-hour in-home user training session,Upsells & Maintenance,visit,200
Battery Replacement Service,Replace batteries in all wireless home sensors,Upsells & Maintenance,visit,150
System Health Remote Monitoring Setup,Configure cloud tool for proactive downtime alerts,Upsells & Maintenance,job,120
Whole-Home Wi-Fi Optimization Package,Full channel tuning and client steering setup,Upsells & Maintenance,job,350
Smart Lighting Design Consultation,In-home lighting scene and fixture planning,Upsells & Maintenance,visit,200
Voice Assistant Privacy Audit,Review and secure voice history and data settings,Upsells & Maintenance,hour,125
Smart Appliance Integration,"Connect smart refrigerator, oven, or washer to hub",Upsells & Maintenance,each,75
Robot Vacuum Mapping Service,Run and map floor plan for robotic vacuum,Upsells & Maintenance,each,90
Smart Bed Sensor Integration,Install sleep tracking mattress monitor pad,Upsells & Maintenance,each,85
Motorized TV Lift Installation,Mount cabinet TV lift and connect to automation,Audio & Video,each,550
Projector and Screen Installation,Mount ceiling projector and motorized projection screen,Audio & Video,job,750
Smart Pet Door Installation,Install electronic collar-activated pet door,Access Control,each,300
Mailbox Sensor Integration,Install long-range wireless mail delivery sensor,Safety & Sensors,each,110
