name,description,category,unit,price
Standard Diagnostic Fee,Troubleshoot existing security system issues,Diagnostics & Service,visit,125
After-Hours Diagnostic Fee,Emergency dispatch outside normal business hours,Diagnostics & Service,visit,250
System Inspection and Test,Annual complete test of all zones and signals,Diagnostics & Service,job,150
Sensor Battery Replacement,Replace batteries in wireless door or window sensors,Diagnostics & Service,each,35
Panel Firmware Update,Update security panel software to latest version,Diagnostics & Service,job,95
Standard Technician Labor,Hourly rate for standard installation work,Labor Rates,hour,115
Master Technician Labor,Hourly rate for complex programming and diagnostics,Labor Rates,hour,145
Two-Man Installation Crew,Hourly rate for two technicians on large jobs,Labor Rates,hour,220
After-Hours Labor Rate,Hourly rate for emergency night or weekend labor,Labor Rates,hour,210
Wiring Pull and Fish,Run new low-voltage cable through finished walls,Labor Rates,linear ft,4
Hardwire Control Panel,Main security control panel enclosure with transformer,Control Panels,each,320
Wireless Touchscreen Keypad,7-inch full color wireless security control keypad,Control Panels,each,275
Standard Fixed Keypad,Hardwired alphanumeric LCD keypad,Control Panels,each,145
Panel Expansion Module,Hardwired zone expansion board for main panel,Control Panels,each,110
Backup Battery 12V 4Ah,Rechargeable lead-acid backup battery for panel,Control Panels,each,45
Backup Battery 12V 7Ah,Large rechargeable backup battery for main panel,Control Panels,each,65
Tamper Switch Replacement,Panel or device enclosure tamper switch,Control Panels,each,30
Plug-In Power Transformer,16.5VAC transformer for security panel power,Control Panels,each,40
Wireless Door Sensor,Surface mount wireless magnetic door contact,Intrusion Sensors,each,65
Recessed Door Contact,Concealed magnetic contact for wooden doors,Intrusion Sensors,each,55
Wireless Window Sensor,Compact wireless sensor for double hung windows,Intrusion Sensors,each,60
Hardwired Magnetic Contact,Surface mount wired door or window contact,Intrusion Sensors,each,25
Overhead Door Contact,Heavy duty roller switch for garage doors,Intrusion Sensors,each,110
Standard Motion Detector,Passive infrared motion sensor up to 35ft range,Intrusion Sensors,each,120
Pet-Immune Motion Detector,PIR motion sensor ignoring pets up to 80 lbs,Intrusion Sensors,each,155
Dual-Tech Motion Detector,PIR and microwave motion sensor to prevent false alarms,Intrusion Sensors,each,195
Glass Break Detector,Acoustic sensor detecting breaking plate or tempered glass,Intrusion Sensors,each,165
Recessed Ceiling Motion Detector,360-degree flush mount ceiling motion sensor,Intrusion Sensors,each,210
Outdoor Motion Detector,Weatherproof dual-tech motion sensor for exterior use,Intrusion Sensors,each,325
Shock Sensor,Vibration sensor mounted on glass or walls,Intrusion Sensors,each,85
Indoor Fixed Bullet Camera,1080p indoor security camera with night vision,CCTV & Video Surveillance,each,180
Outdoor Turret Camera,4K outdoor weatherproof IP turret security camera,CCTV & Video Surveillance,each,280
Outdoor Bullet Camera,4K motorized zoom outdoor security camera,CCTV & Video Surveillance,each,340
Video Doorbell Camera,HD video doorbell with two-way audio,CCTV & Video Surveillance,each,250
PTZ Security Camera,Pan-tilt-zoom high speed outdoor security camera,CCTV & Video Surveillance,each,650
4-Channel NVR,Network video recorder with 1TB hard drive,CCTV & Video Surveillance,each,350
8-Channel NVR,Network video recorder with 2TB hard drive,CCTV & Video Surveillance,each,500
16-Channel NVR,Network video recorder with 4TB hard drive,CCTV & Video Surveillance,each,850
Surveillance Hard Drive Upgrade,Upgrade to 4TB enterprise surveillance grade hard drive,CCTV & Video Surveillance,each,220
PoE Network Switch,8-port Power over Ethernet switch for cameras,CCTV & Video Surveillance,each,175
Camera Junction Box,Weatherproof mounting base for security camera cables,CCTV & Video Surveillance,each,45
Smoke Detector Wireless,Photoelectric interconnected wireless smoke alarm,Life Safety & Environmental,each,145
Heat Detector Wireless,Rate-of-rise and fixed temperature heat sensor,Life Safety & Environmental,each,135
Carbon Monoxide Detector,Wireless electrochemical CO detector for security system,Life Safety & Environmental,each,155
Water Leak Sensor,Wireless flood detector with remote probe,Life Safety & Environmental,each,95
Temperature Freeze Sensor,Alerts when ambient temperature drops below 45 degrees,Life Safety & Environmental,each,110
Medical Panic Pendant,Wearable wireless emergency panic button lanyard,Life Safety & Environmental,each,90
Fixed Panic Button,Under-counter duress panic button for cash registers,Life Safety & Environmental,each,85
Standalone Indoor Siren,110dB piezo electronic interior alarm siren,Life Safety & Environmental,each,75
Outdoor Strobe Siren Box,Weatherproof siren with flashing strobe light,Life Safety & Environmental,each,210
Cellular Communicator Module,LTE cellular backup communicator for monitoring center,Communication & Networking,each,240
IP Internet Communicator,Ethernet network module for broadband monitoring,Communication & Networking,each,160
Dual-Path Communicator,Combined cellular and IP communicator module,Communication & Networking,each,290
Wi-Fi Range Extender,Wireless repeater for security panel network connection,Communication & Networking,each,95
Structured Media Enclosure,28-inch metal structured wiring panel box,Communication & Networking,each,150
Cat6 Data Cable Run,Run terminated Cat6 cable for network device,Communication & Networking,linear ft,3
Coaxial Cable Run,RG59 Siamese cable run for analog cameras,Communication & Networking,linear ft,3
Z-Wave Smart Door Lock,Keyless deadbolt integrated with security panel,Access Control & Automation,each,295
Z-Wave Smart Thermostat,Programmable thermostat controlled via security app,Access Control & Automation,each,240
Z-Wave Lamp Module,Plug-in appliance module for automated lighting control,Access Control & Automation,each,65
Z-Wave Garage Door Controller,Remote tilt sensor and relay for automatic garage door,Access Control & Automation,each,130
Single Door Access Controller,IP controller for single card reader door,Access Control & Automation,each,450
RFID Proximity Card Reader,Wall mount key fob and card reader,Access Control & Automation,each,180
Electric Strike Door Lock,Fail-secure heavy duty electric door strike,Access Control & Automation,each,260
Magnetic Door Lock 600lbs,Electromagnetic lock for commercial doors,Access Control & Automation,each,340
Request-to-Exit Sensor,PIR motion sensor to release magnetic door lock,Access Control & Automation,each,120
Proximity Keyfobs,Pack of 10 standard RFID keyfobs for access control,Access Control & Automation,each,50
Standard Monitoring Setup,Program central station accounts and test signals,Monitoring & Software Setup,job,95
Cellular Monitoring Activation,Activate cellular pathway with central monitoring station,Monitoring & Software Setup,job,50
Interactive App User Setup,Configure smartphone app and create user profiles,Monitoring & Software Setup,job,75
Monthly Cellular Monitoring,24/7 central station professional burglar monitoring,Monitoring & Software Setup,visit,45
Monthly Interactive Video Monitoring,24/7 monitoring plus cloud video storage and alerts,Monitoring & Software Setup,visit,65
Commercial Fire Line Monitoring,UL listed commercial fire alarm central station monitoring,Monitoring & Software Setup,visit,95
Monthly Virtual Guard Tour,Remote camera check service by monitoring station,Monitoring & Software Setup,visit,150
Local Security Permit Processing,File paperwork for municipal alarm permit,Permits & Compliance,job,75
Municipal Alarm Permit Fee,Pass-through cost for city or county alarm license,Permits & Compliance,each,50
Commercial Fire System Plan Review,Submit engineering drawings to fire marshal,Permits & Compliance,job,350
NFPA 72 Inspection Certificate,Official testing documentation for commercial fire systems,Permits & Compliance,job,250
Low-Voltage Electrical Permit,Required municipal permit for low-voltage wiring,Permits & Compliance,job,125
Old Panel and Battery Disposal,Remove and recycle legacy security equipment,Disposal & Cleanup,job,50
Hazardous Battery Recycling Fee,Proper disposal fee for sealed lead-acid batteries,Disposal & Cleanup,each,15
Construction Debris Cleanup,Site cleanup after drilling and cable pulling,Disposal & Cleanup,job,75
