name,description,category,unit,price
Standard Roof Inspection,"Visual check of shingles, flashings, and overall roof condition.",Inspections & Diagnostics,visit,150
Thermal Imaging Leak Detection,Infrared scan to locate hidden moisture intrusion behind walls and ceilings.,Inspections & Diagnostics,job,350
Attic Ventilation Assessment,Inspection of intake and exhaust airflow efficiency.,Inspections & Diagnostics,visit,125
Storm Damage Assessment Report,Detailed documentation and photo report for insurance claims.,Inspections & Diagnostics,job,250
Emergency Roof Tarping,Temporary heavy-duty tarp installation to prevent active interior leaks.,Inspections & Diagnostics,sq ft,3
Standard Service Call Fee,Dispatch and initial on-site evaluation for repair work.,Inspections & Diagnostics,visit,150
After-Hours Emergency Dispatch,Immediate dispatch outside normal business hours.,Inspections & Diagnostics,visit,300
Roof Core Sample Testing,Extraction of roof layers to determine material composition.,Inspections & Diagnostics,each,200
Gutter Flow Test,Water test to check drainage slope and downspout capacity.,Inspections & Diagnostics,visit,100
Structural Decking Inspection,Attic inspection of rafters and plywood sheathing integrity.,Inspections & Diagnostics,hour,150
Master Roofer Labor Rate,Hourly labor rate for skilled roofing installation and repair.,Labor Rates,hour,125
General Roofing Apprentice Labor,Hourly rate for ground crew and material handling assistance.,Labor Rates,hour,75
After-Hours Labor Premium,Overtime labor multiplier rate for night or weekend emergency work.,Labor Rates,hour,185
Structural Carpentry Labor,Specialized labor for rafter and truss repair.,Labor Rates,hour,150
Crane Operation and Operator,Daily rate for material hoisting crane and certified operator.,Labor Rates,day,1200
Safety Harness and Rigging Setup,OSHA-compliant tie-off installation for steep slope roofs.,Labor Rates,job,250
Project Management Fee,On-site supervision and municipal inspection coordination.,Labor Rates,job,400
Handyman Minor Repair Rate,Hourly rate for small miscellaneous exterior fixes.,Labor Rates,hour,95
Debris Haul-Away Crew,Hourly rate for site clean-up and loading old materials.,Labor Rates,hour,100
Architectural Shingle Replacement,Tear off and replacement of damaged dimensional shingles.,Common Repairs,sq ft,12
3-Tab Shingle Repair Patch,Small section patch for wind-damaged standard shingles.,Common Repairs,each,175
Chimney Flashing Resealing,Application of urethane sealant around existing chimney step flashing.,Common Repairs,linear ft,25
Pipe Boot Replacement,Removal and replacement of rubber plumbing vent boot collar.,Common Repairs,each,225
Valleys Seal and Repair,Repair of leaking open metal or closed-cut shingle valleys.,Common Repairs,linear ft,30
Skylight Flashing Repair,Resealing existing skylight step flashings and glass perimeter.,Common Repairs,each,350
Ridge Cap Shingle Replacement,Replacement of cracked or missing hip and ridge cap shingles.,Common Repairs,linear ft,18
Soffit Vent Replacement,Replacement of damaged aluminum or vinyl under-eave venting panels.,Common Repairs,each,75
Fascia Board Repair,Replacement of rotted wood or composite fascia trim boards.,Common Repairs,linear ft,35
Gutter Seam Leak Repair,Sealing leaking corner miters and end caps with heavy-duty sealant.,Common Repairs,each,65
Downspout Reattachment,Securing loose downspouts to exterior walls with straps.,Common Repairs,each,50
Siding Corner Patch,Repair of localized exterior siding damaged by falling limbs.,Common Repairs,job,300
Nail Pop Correction,Driving down protruding shingle nails and sealing penetration point.,Common Repairs,each,25
Gutter Re-sloping,Adjusting hangers to ensure proper drainage toward downspouts.,Common Repairs,linear ft,12
Rotted Rafter Tail Replacement,Cutting out and sistering new wood onto rotted rafter ends.,Common Repairs,each,275
Storm Collar Resealing,Sealing metal storm collar around B-vent or chimney pipe.,Common Repairs,each,125
Architectural Shingle Roof Replacement,Complete tear-off and installation of dimensional shingle system.,Replacements,sq ft,6
Designer Shingle Roof Replacement,Complete tear-off and installation of luxury or shake-style shingles.,Replacements,sq ft,9
Standing Seam Metal Roof Replacement,Complete installation of concealed fastener architectural metal panels.,Replacements,sq ft,16
Flat Roof Modified Bitumen Replacement,Multi-ply torch-down or self-adhering flat roof replacement.,Replacements,sq ft,8
EPDM Rubber Roof Replacement,Single-ply membrane installation for low-slope residential areas.,Replacements,sq ft,7
TPO Membrane Roof Replacement,Heat-welded white thermoplastic polyolefin membrane installation.,Replacements,sq ft,8.5
Skylight Complete Replacement,Removal of old skylight and installation of new deck-mounted unit.,Replacements,each,1200
Solar Tube Skylight Installation,Tubular daylighting device installation for dark interior rooms.,Replacements,each,950
Chimney Metal Flashing Replacement,Fabrication and installation of new custom step and counter flashing.,Replacements,job,750
Box Gutter System Replacement,Custom lined built-in gutter system rebuild.,Replacements,linear ft,45
Seamless Aluminum Gutter Replacement,5-inch continuous K-style aluminum gutter installation.,Replacements,linear ft,9
Oversized Gutter Replacement,6-inch continuous K-style aluminum gutter installation.,Replacements,linear ft,12
Mansard Wall Re-covering,Replacement of steep vertical wall shingle cladding.,Replacements,sq ft,14
Attic Insulation Blown-In,Adding loose-fill fiberglass insulation to achieve R-49 rating.,Replacements,sq ft,2.5
Synthetic Underlayment,High-performance woven polymeric roof deck protection sheet.,Materials & Parts,sq ft,0.45
High-Temp Ice and Water Shield,Self-adhering waterproofing membrane for eaves and valleys.,Materials & Parts,sq ft,1.25
OSB Roof Decking,7/16-inch oriented strand board replacement decking.,Materials & Parts,each,45
CDX Plywood Decking,1/2-inch exterior grade plywood sheathing replacement.,Materials & Parts,each,65
Aluminum Drip Edge,Standard pre-formed metal edge flashing per 10-foot stick.,Materials & Parts,linear ft,2.5
Aluminum Step Flashing,Individual bent metal pieces for wall and roof junctions.,Materials & Parts,each,3
Lead Plumbing Pipe Boot,Heavy-duty lead sleeve flashing for roof vent pipes.,Materials & Parts,each,65
Plastic Roof Vent,Standard static box vent for attic exhaust.,Materials & Parts,each,35
Aluminum Louver Vent,Gable or soffit louver ventilation panel.,Materials & Parts,each,45
Continuous Ridge Vent,Shingle-over exterior ridge vent roll for balanced exhaust.,Materials & Parts,linear ft,8
Downspout Extension,Standard flexible plastic water redirection pipe extension.,Materials & Parts,each,20
Splash Block,Concrete or plastic channel to direct water away from foundation.,Materials & Parts,each,15
Fascia Board Prime Pine,1x8 primed finger-jointed pine trim board.,Materials & Parts,linear ft,6
Roofing Coil Nails,Hot-dipped galvanized wire collated roofing fasteners.,Materials & Parts,gallon,85
Polyurethane Roofing Sealant,Single-component moisture-cure joint sealant tube.,Materials & Parts,each,15
Roll-Off Dumpster Rental,Standard 20-yard waste container for old roofing materials.,Permits & Disposal,job,600
Municipal Building Permit,Local city or county roofing permit acquisition fee.,Permits & Disposal,job,250
Environmental Disposal Fee,Shingle recycling and landfill tipping fees.,Permits & Disposal,sq ft,0.35
HOA Application Processing,Preparation and submission of architectural review board documents.,Permits & Disposal,job,100
Traffic Control Permit,Municipal street occupancy permit for crane or dumpster placement.,Permits & Disposal,job,175
Asbestos Roof Testing,Laboratory analysis of textured shingle samples for asbestos.,Permits & Disposal,each,150
Engineering Wind-Load Calculation,Signed and sealed structural letter for high-wind compliance.,Permits & Disposal,job,450
Hazardous Material Disposal,Special handling fee for regulated toxic roofing debris.,Permits & Disposal,job,500
Portable Toilet Rental,Jobsite sanitation station for multi-day tear-off projects.,Permits & Disposal,visit,200
Post-Job Magnet Sweep,Thorough magnetic rolling of lawn and driveway for stray nails.,Permits & Disposal,job,75
Standard Gutter Guard Installation,Perforated aluminum slip-in screen leaf protection.,Upgrades & Options,linear ft,5
Micro-Mesh Gutter Guard System,High-grade stainless steel fine mesh filtration system.,Upgrades & Options,linear ft,14
Solar-Powered Attic Fan,Hassle-free rooftop exhaust fan powered entirely by sunlight.,Upgrades & Options,each,750
Electric Attic Fan Installation,Hardwired thermostatically controlled attic ventilation fan.,Upgrades & Options,each,600
Snow Guard Rail Installation,Metal bar retention system to prevent dangerous sliding snow avalanches.,Upgrades & Options,linear ft,28
Roof De-icing Heat Cable,Self-regulating electric heating cable to prevent ice dams.,Upgrades & Options,linear ft,15
Full Deck Ice and Water Shield Upgrade,Application of waterproof underlayment across entire roof surface.,Upgrades & Options,sq ft,1.75
Synthetic Slate Upgrade,High-end molded composite slate appearance shingle upgrade.,Upgrades & Options,sq ft,18
Copper Flashing Upgrade,Custom fabricated architectural copper step and valley flashing.,Upgrades & Options,job,1500
Leaf Trap Collection Box,Downspout inlet debris filtration strainer box.,Upgrades & Options,each,85
Rain Chain Installation,Decorative architectural alternative to traditional downspouts.,Upgrades & Options,each,120
Attic Access Hatch Insulation Box,Insulated cover box for pull-down attic stair openings.,Upgrades & Options,each,175
Whirlwind Turbine Vent,Wind-driven rotary turbine attic exhaust ventilator.,Upgrades & Options,each,160
Roof Walkway Pads,Heavy-duty rubber safety path for frequent rooftop equipment access.,Upgrades & Options,linear ft,22
Custom Color Matching Touch-Up Paint,Matching exterior paint for exposed flashing and vents.,Upgrades & Options,each,45
Bird Stop Installation,Mesh barrier to prevent birds nesting behind tile or metal ribs.,Upgrades & Options,linear ft,9
Extended Workmanship Warranty Certificate,Upgraded 25-year comprehensive labor and installation warranty.,Upgrades & Options,job,500
Annual Maintenance Inspection Plan,Contract for yearly roof cleaning and minor preventative maintenance.,Upgrades & Options,visit,250
Gutter Cleaning Service,Manual clearing of leaves and debris from gutters and downspouts.,Upgrades & Options,linear ft,2
Roof Soft Wash Cleaning,Low-pressure chemical treatment to remove unsightly algae streaks.,Upgrades & Options,sq ft,0.3
Chimney Crown Repair,Pouring new concrete wash coat to seal top of masonry chimney.,Upgrades & Options,job,450
Chimney Tuckpointing,Grinding out and replacing deteriorated mortar joints in brickwork.,Upgrades & Options,sq ft,25
Chimney Cap Installation,Stainless steel rain cap and spark arrestor installation.,Upgrades & Options,each,275
Siding Repair and Painting,Patching damaged exterior siding and applying matching finish coat.,Upgrades & Options,sq ft,15
Solar Panel Removal and Reinstall,Detaching and resetting roof-mounted solar array for re-roofing.,Upgrades & Options,each,250
Satellite Dish Remounting,Repositioning and securing television dish onto new roof surface.,Upgrades & Options,each,150
Lightning Rod System Reconnection,Reattaching grounded lightning protection cables to roof deck.,Upgrades & Options,job,350
