name,description,category,unit,price,labor_hours,material_cost
Standard Janitorial Labor,General cleaning labor per technician per hour,Labor,hour,45,0.36,0
Supervisor Labor,On-site lead supervisor or quality control per hour,Labor,hour,65,1,0
Specialized Floor Care Labor,"Technician for stripping, waxing, or buffing floors",Labor,hour,60,1,0
Emergency After-Hours Labor,Urgent cleanup or emergency response per hour,Labor,hour,95,1,0
Holiday Rate Labor,Cleaning services performed on recognized holidays,Labor,hour,110,1,0
Day Porter Services,Dedicated daytime maintenance and upkeep per hour,Labor,hour,40,0.32,0
High-Dusting Labor,"Specialized crew for rafters, vents, and high fixtures",Labor,hour,75,1,0
Post-Construction Cleanup Labor,Heavy debris removal and fine cleaning per hour,Labor,hour,70,1,0
Window Cleaning Labor,Interior and exterior ground-level window washing,Labor,hour,65,1,0
Pressure Washing Labor,Exterior power washing operator and equipment,Labor,hour,85,1,0
Standard Office Cleaning,"Trash, dusting, and vacuuming per visit",Routine Maintenance,visit,150,1,16.67
Restroom Sanitation Service,Deep cleaning and disinfecting of fixtures and floors,Routine Maintenance,visit,95,0.5,23.33
Breakroom Deep Clean,"Counters, appliances, sinks, and tables sanitized",Routine Maintenance,visit,85,0.5,16.67
Conference Room Refresh,"Dusting, glass cleaning, and trash removal",Routine Maintenance,visit,60,0.4,6.67
Lobby and Reception Detailed Clean,High-visibility public area detailed upkeep,Routine Maintenance,visit,110,0.6,23.33
Medical Facility Terminal Clean,Clinical grade sanitization for healthcare spaces,Routine Maintenance,sq ft,1,0.005,0.25
Fitness Center Sanitation,"Equipment wipe-down, locker rooms, and floors",Routine Maintenance,visit,175,1,33.33
School Classroom Cleaning,"Desks, floors, and trash disposal per room",Routine Maintenance,each,25,0.15,4.33
Retail Store Floor Maintenance,"Daily sweep, mop, and entryway mat service",Routine Maintenance,visit,130,0.8,20
VTC / Video Conference Room Wipe,Delicate dusting of electronics and touchscreens,Routine Maintenance,visit,45,0.3,5
Carpet Spot Treatment,Targeted stain removal for stubborn spots,Floor Care,each,35,0.2,6.67
V‌های Floor Strip and Wax,Complete removal of old finish and apply four coats,Floor Care,sq ft,1,0.005,0.25
Concrete Diamond Polishing,Multi-step grinding and polishing for raw concrete,Floor Care,sq ft,2,0.01,0.5
Tile and Grout Deep Scrub,Rotary brush scrub with alkaline solution,Floor Care,sq ft,1,0.005,0.25
Tile Grout Sealing,Protective sealer applied to clean grout lines,Floor Care,sq ft,1,0.005,0.25
Anti-Static Floor Treatment,Specialty coating for server rooms and labs,Floor Care,sq ft,1,0.005,0.25
Interior Window Washing,"Glass cleaning, sills, and frames inside",Window & Exterior,each,8,0.05,1.17
Exterior Ground Window Washing,First-floor exterior glass cleaning,Window & Exterior,each,10,0.06,1.67
Multi-Story Window Washing,Water-fed pole system for upper-level windows,Window & Exterior,sq ft,1,0.005,0.25
Skylight Cleaning,Interior and exterior glass skylight wash,Window & Exterior,each,45,0.25,9.17
Storefront Awning Power Wash,Canvas or vinyl awning deep wash,Window & Exterior,linear ft,12,0.06,2.83
Loading Dock Pressure Wash,Grease and oil removal from concrete dock,Window & Exterior,job,350,1.5,113.33
Dumpster Pad Sanitization,Hot water pressure wash and deodorizing treatment,Window & Exterior,job,250,1,83.33
Graffiti Removal Service,Chemical removal and power rinse per spot,Window & Exterior,each,150,0.8,35
HVAC Duct Cleaning,Supply and return vent trunk line vacuuming,Disinfection & Specialty,linear ft,8,0.04,2
Air Purifier Filter Replacement,HEPA filter swap for commercial units,Disinfection & Specialty,each,60,0.2,22.67
Upholstery Deep Cleaning,Office chair or lobby sofa steam cleaning,Disinfection & Specialty,each,45,0.25,9.17
Cubicle Partition Washing,Fabric panel vacuum and spot clean,Disinfection & Specialty,each,30,0.15,7.33
Blind and Shutter Cleaning,Ultrasonic or manual blind slat cleaning,Disinfection & Specialty,each,25,0.15,4.33
Light Fixture Lens Cleaning,"Removal, wash, and reinstall of troffer lenses",Disinfection & Specialty,each,15,0.08,3.5
Refrigerator Interior Clean,Complete washout and deodorize breakroom fridge,Disinfection & Specialty,each,75,0.4,16.67
