name,description,category,unit,price
Standard Window Service Call,On-site diagnostic for window operation or glass failure,Diagnostics & Service,visit,150
Door Adjustment Service,Realign and adjust sagging or sticking entry door,Diagnostics & Service,hour,175
Window Hardware Troubleshooting,"Diagnose latch, crank, or lock mechanism failure",Diagnostics & Service,hour,150
Emergency Board-Up,Temporary plywood security cover for broken glass opening,Diagnostics & Service,sq ft,18
Water Leak Inspection,Diagnostic testing for window or door frame water infiltration,Diagnostics & Service,hour,200
General Labor Rate,Standard hourly rate for carpentry and installation labor,Labor Rates,hour,125
Lead Carpenter Rate,Specialized hourly rate for complex structural framing work,Labor Rates,hour,165
After-Hours Emergency Labor,Premium hourly rate for urgent night or weekend service,Labor Rates,hour,250
Helper Labor Rate,Additional labor support for heavy or large format units,Labor Rates,hour,75
Project Management Fee,On-site supervision and scheduling for multi-day installations,Labor Rates,day,250
Single-Hung Window Replacement,Remove and replace standard single-hung window up to 15 sq ft,Window Replacements,each,650
Double-Hung Window Replacement,Remove and replace standard double-hung window up to 15 sq ft,Window Replacements,each,750
Casement Window Replacement,Remove and replace standard crank-out casement window,Window Replacements,each,850
Awning Window Replacement,Remove and replace top-hinged awning style window,Window Replacements,each,800
Slider Window Replacement,Remove and replace horizontal sliding window unit,Window Replacements,each,725
Picture Window Replacement,Remove and replace fixed non-operable glass window unit,Window Replacements,each,900
Bay Window Replacement,Complete removal and replacement of three-section bay window,Window Replacements,each,3200
Bow Window Replacement,Complete removal and replacement of curved multi-panel bow window,Window Replacements,each,3800
Garden Window Replacement,Remove and replace protruding glass greenhouse window unit,Window Replacements,each,2200
Egress Window Replacement,Basement window replacement meeting emergency egress size codes,Window Replacements,each,1100
Hopper Window Replacement,Basement inward-tilting hopper window replacement,Window Replacements,each,450
Architectural Shape Window Replacement,Custom geometric or radius window replacement unit,Window Replacements,each,1400
Skylight Replacement,Roof-mounted skylight replacement including flashing kit,Window Replacements,each,1350
Transom Window Replacement,Horizontal accent window above door or main window,Window Replacements,each,550
Sidelight Glass Replacement,Narrow stationary glass panel beside exterior door,Window Replacements,each,450
Steel Entry Door Replacement,Pre-hung insulated steel exterior door and frame replacement,Door Replacements,each,1800
Fiberglass Entry Door Replacement,Pre-hung wood-grain fiberglass exterior door replacement,Door Replacements,each,2200
Wood Entry Door Replacement,Custom solid hardwood pre-hung entry door replacement,Door Replacements,each,3500
Double Entry Door System Replacement,Double active door unit with full sidelight configuration,Door Replacements,each,4800
Sliding Patio Door Replacement,Standard two-panel sliding glass patio door replacement,Door Replacements,each,2400
French Patio Door Replacement,Hinged double-panel exterior patio door replacement,Door Replacements,each,2900
Folding Glass Wall System,Multi-panel accordion style exterior patio door system,Door Replacements,each,7500
Storm Door Installation,Surface-mounted aluminum and glass storm door installation,Door Replacements,each,450
Security Screen Door Installation,Heavy gauge stainless steel mesh security door installation,Door Replacements,each,850
Garage Service Door Replacement,Steel pedestrian exit door for attached garage,Door Replacements,each,950
