name,description,category,unit,price
Standard Sewer Scope Inspection,Camera inspection of main sewer line up to 100 feet,Inspections,job,275
Additional Line Scope,Inspection of secondary lateral or branch line,Inspections,each,125
Pre-Purchase Sewer Inspection,Standard inspection with real estate agent summary report,Inspections,job,300
Commercial Sewer Scope,Camera inspection for commercial properties up to 200 feet,Inspections,job,550
Sewer Scope Re-Inspection,Follow-up camera run to verify completed repairs,Inspections,job,175
HD Video Recording Copy,Digital copy of sewer scope footage via cloud link,Inspections,each,35
Locate and Mark Main Line,Surface marking of sewer line path and depth,Inspections,job,150
Rooter Cleaning Service,Standard cable machine rooter clearing of main line,Cleaning,job,325
Hydro Jetting Main Line,High-pressure water jetting of grease and scale,Cleaning,job,650
Root Intrusion Chemical Treatment,Foaming root killer application for sewer lines,Cleaning,job,200
Grease Trap Jetting,High-pressure wash of commercial grease trap lines,Cleaning,job,450
Descaling Cast Iron Pipe,Chain knocking removal of scale inside cast iron,Cleaning,linear ft,25
Standard Labor Rate,Hourly rate for technician labor,Labor,hour,150
After Hours Emergency Labor,Hourly rate for emergency evening or weekend dispatch,Labor,hour,250
Two-Man Crew Hourly Rate,Hourly rate for lead technician and assistant,Labor,hour,275
Excavation Laborer,Hourly rate for manual digging and trenching,Labor,hour,95
Plumbing Permit Fee,Local municipality permit acquisition fee,Permits & Fees,each,175
Emergency Call-Out Fee,Dispatch fee for urgent same-day service,Permits & Fees,visit,150
Environmental Disposal Fee,Disposal fee for contaminated soil or debris,Permits & Fees,job,100
Traffic Control Permit,Permit and setup for street or sidewalk excavation,Permits & Fees,job,350
Utility Line Locate Service,811 utility marking coordination and private locate,Permits & Fees,job,125
Sewer Cleanout Installation,Install 4-inch PVC two-way cleanout in yard,Repairs,each,850
Spot Repair PVC Pipe,Excavate and replace up to 5 feet of PVC,Repairs,job,1400
Spot Repair Cast Iron Pipe,Excavate and replace up to 5 feet of cast iron,Repairs,job,1800
Belly Repair in Yard,Correct sag in pipe by re-bedding gravel base,Repairs,job,2200
Root Damage Pipe Section Repair,Replace root-compromised clay pipe section,Repairs,job,1600
Offset Joint Repair,Excavate and reconnect separated pipe joint,Repairs,job,1500
Crushed Pipe Section Replacement,Replace crushed or collapsed section of lateral,Repairs,job,1900
Backwater Valve Installation,Install backwater valve to prevent municipal sewage backup,Repairs,job,2400
Main Line Replacement PVC,Replace entire main sewer line from house to street,Replacements,linear ft,160
Main Line Replacement Cast Iron,Replace entire main line with schedule 40 PVC,Replacements,linear ft,190
Trenchless Pipe Lining CIPP,Cured-in-place pipe lining for main sewer line,Trenchless,linear ft,210
Pipe Bursting Main Line,Trenchless pipe bursting and replacement from pit to pit,Trenchless,linear ft,250
Spot Structural Liner,Epoxy resin structural patch for localized pipe defect,Trenchless,each,1200
Branch Connection Lining,Inversion lining for hard-to-reach branch tie-ins,Trenchless,each,1500
Access Pit Excavation,Digging entry pit for trenchless lining equipment,Trenchless,each,750
Epoxy Coating Interior Pipe,Spray-applied epoxy lining for interior cast iron,Trenchless,linear ft,180
4 Inch Schedule 40 PVC Pipe,10-foot section of PVC drain pipe,Materials,each,45
3 Inch Schedule 40 PVC Pipe,10-foot section of PVC drain pipe,Materials,each,35
4 Inch PVC Coupling,Standard PVC coupling fitting,Materials,each,12
4 Inch Rubber Fernco Coupling,Flexible mechanical coupling with stainless steel bands,Materials,each,28
4 Inch PVC Cleanout Adapter,Cleanout adapter with threaded plug,Materials,each,22
4 Inch PVC 45 Degree Elbow,PVC sweep elbow fitting,Materials,each,18
