name,description,category,unit,price,labor_hours,material_cost
Mobile Service Call Fee,Travel and convenience fee for mobile van dispatch.,Trip Fees,visit,45,0.36,0
Extended Travel Surcharge,Additional mileage fee outside standard service radius.,Trip Fees,each,30,0.24,0
Emergency Same-Day Dispatch Fee,Priority scheduling fee for urgent appointments.,Trip Fees,visit,75,0.6,0
After-Hours Appointment Fee,Surcharge for service requested outside normal hours.,Trip Fees,visit,100,0.8,0
Small Dog Full Grooming,"Bath, haircut, blow dry, brush, nail trim, ear cleaning.",Full Grooming,each,85,0.6,7
Medium Dog Full Grooming,"Bath, haircut, blow dry, brush, nail trim, ear cleaning.",Full Grooming,each,105,0.75,9
Large Dog Full Grooming,"Bath, haircut, blow dry, brush, nail trim, ear cleaning.",Full Grooming,each,135,0.95,12
Extra Large Dog Full Grooming,"Bath, haircut, blow dry, brush, nail trim, ear cleaning.",Full Grooming,each,175,1.25,15
Giant Breed Full Grooming,"Bath, haircut, blow dry, brush, nail trim, ear cleaning.",Full Grooming,each,220,1.6,18
Toy Breed Full Grooming,"Bath, haircut, blow dry, brush, nail trim, ear cleaning.",Full Grooming,each,75,0.5,8
Puppy Introductory Groom,"Gentle introduction bath, brush, and light trim.",Full Grooming,each,65,0.45,5
Senior Dog Special Care Groom,Accommodating slow pace and specialized physical support.,Full Grooming,each,115,0.85,7
Cat Full Grooming,"Bath, haircut, blow dry, brush, nail trim, ear cleaning.",Full Grooming,each,120,0.85,10
Short Hair Cat Lion Cut,Full body lion trim for short haired felines.,Full Grooming,each,130,0.9,10
Small Dog Bath and Brush,"Bath, blow dry, brushing, nail trim, ear cleaning.",Bath and Brush,each,55,0.35,7
Medium Dog Bath and Brush,"Bath, blow dry, brushing, nail trim, ear cleaning.",Bath and Brush,each,70,0.45,9
Large Dog Bath and Brush,"Bath, blow dry, brushing, nail trim, ear cleaning.",Bath and Brush,each,90,0.6,10
Extra Large Dog Bath and Brush,"Bath, blow dry, brushing, nail trim, ear cleaning.",Bath and Brush,each,120,0.8,14
Giant Breed Bath and Brush,"Bath, blow dry, brushing, nail trim, ear cleaning.",Bath and Brush,each,150,1,16
Cat Bath and Brush,"Feline bath, blow dry, brushing, nail trim, ears.",Bath and Brush,each,90,0.6,10
Deshedding Treatment Small,Specialized undercoat removal for small dogs.,Add-On Treatments,each,25,0.15,4
Deshedding Treatment Medium,Specialized undercoat removal for medium dogs.,Add-On Treatments,each,35,0.2,6
Deshedding Treatment Large,Specialized undercoat removal for large dogs.,Add-On Treatments,each,45,0.25,9
Deshedding Treatment Extra Large,Specialized undercoat removal for extra large dogs.,Add-On Treatments,each,60,0.35,11
