name,description,category,unit,price
Standard Diagnostic Service Call,On-site troubleshooting and initial fault isolation.,Diagnostics & Labor,visit,250
After-Hours Emergency Dispatch,Urgent on-site response outside normal business hours.,Diagnostics & Labor,visit,450
Biomedical Technician Hourly Rate,Standard mechanical repair and maintenance labor.,Diagnostics & Labor,hour,135
Specialized Metrology Calibration Labor,Precise mechanical and physical parameter calibration.,Diagnostics & Labor,hour,165
Preventive Maintenance Inspection,Routine multi-point mechanical check and lubrication.,Diagnostics & Labor,visit,350
Equipment Decontamination Fee,Biohazard wipe down prior to mechanical servicing.,Diagnostics & Labor,each,95
Travel Surcharge Extended Zone,Mileage fee for locations beyond standard service radius.,Diagnostics & Labor,job,120
Electrical Safety Analyzer Testing,NFPA 99 compliance leakage and ground wire test.,Diagnostics & Labor,each,150
Rigging and Heavy Lifting Surcharge,Specialized equipment required for heavy unit positioning.,Diagnostics & Labor,job,500
Shop Repair Bench Fee,Flat rate diagnostic fee for equipment brought to shop.,Diagnostics & Labor,each,175
Biomedical Annual Service Contract,Comprehensive scheduled maintenance and emergency coverage.,Maintenance Agreements,year,2500
Imaging Equipment PM Agreement,Quarterly mechanical and optical preventive maintenance.,Maintenance Agreements,year,4500
Sterilizer Validation Service,Biological and mechanical cycle performance testing.,Maintenance Agreements,visit,600
Patient Monitor Fleet Inspection,Annual mechanical and parameter verification for ten units.,Maintenance Agreements,job,1200
Infusion Pump Calibration Service,Delivery rate and mechanical occlusion pressure testing.,Maintenance Agreements,each,85
Surgical Table Annual Service,Hydraulic fluid flush and mechanical linkage inspection.,Maintenance Agreements,each,450
Centrifuge Calibration and Safety Check,RPM accuracy verification and lid lock mechanism test.,Maintenance Agreements,each,275
Hospital Bed Mechanical Overhaul,"Actuator lubrication, caster check, and pendant test.",Maintenance Agreements,each,225
Dental Chair Hydraulic Service,"Cylinder check, valve cleaning, and fluid replacement.",Maintenance Agreements,each,325
Autoclave Chamber Deep Cleaning,Descaling and mechanical steam trap inspection.,Maintenance Agreements,each,380
Autoclave Door Gasket Replacement,Silicone seal swap and vacuum pressure testing.,Sterilizer & Washer Repairs,each,240
Autoclave Solenoid Valve Replacement,Inlet or exhaust valve mechanical replacement.,Sterilizer & Washer Repairs,each,310
Steam Trap Assembly Replacement,Thermodynamic steam trap mechanism swap.,Sterilizer & Washer Repairs,each,420
Autoclave Heating Element Replacement,Chamber band or immersion heater installation.,Sterilizer & Washer Repairs,each,550
Water Level Sensor Probe Replacement,Boiler low-water cutoff probe cleaning and replacement.,Sterilizer & Washer Repairs,each,190
Medical Washer Pump Motor Replacement,Circulation pump mechanical assembly swap.,Sterilizer & Washer Repairs,each,850
Washer Door Seal Replacement,EPDM rubber gasket installation on instrument washer.,Sterilizer & Washer Repairs,each,340
Chemical Dosing Pump Repair,Peristaltic tube and roller assembly replacement.,Sterilizer & Washer Repairs,each,210
Sterilizer Pressure Relief Valve Replacement,ASME certified safety valve swap.,Sterilizer & Washer Repairs,each,290
RO Water Feed Regulator Replacement,Pressure reducing valve and gauge assembly swap.,Sterilizer & Washer Repairs,each,260
Hospital Bed Linear Actuator Replacement,Main lifting motor and screw jack assembly swap.,Patient Care Equipment,each,480
Hospital Bed Caster Replacement,Locking medical-grade swivel wheel installation.,Patient Care Equipment,each,110
Hospital Bed Side Rail Mechanism Repair,Latch and linkage mechanical alignment.,Patient Care Equipment,each,175
Stretcher Hydraulic Lift Cylinder Repair,Seal kit replacement and hydraulic fluid flush.,Patient Care Equipment,each,390
