name,description,category,unit,price,labor_hours,material_cost
Standard Service Call,On-site travel and dispatch fee for mobile service.,Diagnostics & Service Calls,visit,75,0.6,0
After-Hours Emergency Dispatch,Emergency service call outside standard business hours.,Diagnostics & Service Calls,visit,150,1.2,0
Windshield Damage Assessment,Inspection to determine repairability of glass damage.,Diagnostics & Service Calls,job,50,0.4,0
ADAS Camera Calibration Check,Pre-replacement check of driver assistance system requirements.,Diagnostics & Service Calls,job,65,0.52,0
Fleet Vehicle Inspection,Multi-vehicle glass condition evaluation.,Diagnostics & Service Calls,each,35,0.28,0
Water Leak Diagnostics,Testing and identifying source of cabin water intrusion.,Diagnostics & Service Calls,hour,125,1,0
Wind Noise Diagnostics,Identifying source of cabin wind noise around glass.,Diagnostics & Service Calls,hour,125,1,0
Remote Location Surcharge,Travel fee for locations outside standard service radius.,Diagnostics & Service Calls,job,50,0.4,0
Canceled Appointment Fee,Fee for cancellation within two hours of scheduled time.,Diagnostics & Service Calls,job,50,0.4,0
Standard Labor Rate,Hourly labor for specialized glass removal or repair.,Labor Rates,hour,110,1,0
Overtime Labor Rate,Hourly labor for evening or weekend emergency work.,Labor Rates,hour,165,1,0
Rust Mitigation Labor,Scraping and treating pinchweld rust before installation.,Labor Rates,hour,130,1,0
Custom Glass Fitting Labor,Specialized labor for non-standard or classic vehicle fitment.,Labor Rates,hour,140,1,0
Molding Modification Labor,Trimming or fitting custom universal exterior moldings.,Labor Rates,hour,110,1,0
Single Chip Repair,Resin injection repair for one bullseye or star chip.,Repairs,each,85,0.5,15
Second Chip Repair,Additional chip repair completed during the same visit.,Repairs,each,35,0.2,4
Long Crack Repair (Under 6 Inches),Resin repair for a crack measuring up to six inches.,Repairs,each,120,0.7,20
Long Crack Repair (6 to 12 Inches),Resin repair for a crack measuring six to twelve inches.,Repairs,each,150,0.9,25
Bullseye Repair,Specialized resin filling for circular impact damage.,Repairs,each,85,0.5,15
Combination Break Repair,Repair for impact damage featuring both a bullseye and cracks.,Repairs,each,95,0.55,18
Pit Fill Only,Filling surface glass pit to prevent moisture entry.,Repairs,each,55,0.35,10
Rear View Mirror Bracket Reattachment,Glues detached interior mirror mounting button to windshield.,Repairs,each,45,0.3,5
Stone Bruise Repair,Resin injection for deep impact stone bruise.,Repairs,each,85,0.5,15
Re-cure Resin Treatment,Secondary UV curing for previously failed repair attempts.,Repairs,each,60,0.4,6
Sedan Windshield Replacement,Standard laminated front windshield replacement for passenger cars.,Replacements,each,310,1,124
SUV Windshield Replacement,Standard laminated front windshield replacement for sport utility vehicles.,Replacements,each,350,1.1,140
Pickup Truck Windshield Replacement,Standard laminated front windshield replacement for pickup trucks.,Replacements,each,330,1.05,133
Luxury Vehicle Windshield Replacement,Acoustic or solar-coated windshield replacement for luxury cars.,Replacements,each,550,1.5,233
Sports Car Windshield Replacement,Curved or specialty laminated windshield replacement for sports cars.,Replacements,each,480,1.4,200
Van Windshield Replacement,Large flat or curved front windshield replacement for commercial vans.,Replacements,each,380,1.2,153
Class A RV Windshield Replacement,Large flat or curved motorhome windshield replacement.,Replacements,each,1250,3.5,550
Semi-Truck Windshield Replacement,Two-piece split or single flat windshield replacement for semi trucks.,Replacements,each,450,1.5,183
Classic Car Flat Glass Replacement,Custom cut non-laminated flat safety glass replacement.,Replacements,each,275,1.2,83
Back Glass (Backlite) Replacement,Tempered rear window glass replacement for passenger vehicles.,Replacements,each,320,1.2,113
Slider Back Glass Replacement,Manual sliding rear window replacement for pickup trucks.,Replacements,each,420,1.4,160
Power Slider Back Glass Replacement,Electric sliding rear window replacement for pickup trucks.,Replacements,each,650,1.8,280
Front Door Glass Replacement,Driver or passenger side door window glass replacement.,Replacements,each,260,1.2,73
Rear Door Glass Replacement,Rear passenger side door window glass replacement.,Replacements,each,250,1.2,67
Quarter Glass Replacement,Fixed stationary side window glass replacement.,Replacements,each,230,1.1,67
Vent Glass Replacement,Small hinged or fixed front corner window glass replacement.,Replacements,each,220,1.1,60
Sunroof Glass Replacement,Overhead factory sunroof or moonroof glass panel replacement.,Replacements,each,550,1.8,220
Panoramic Roof Glass Replacement,Large overhead glass roof panel replacement.,Replacements,each,1400,3.5,633
OEM Windshield Glass,Original Equipment Manufacturer branded replacement windshield.,Materials & Parts,each,250,0,166.67
OEE Aftermarket Windshield Glass,Original Equipment Equivalent aftermarket replacement windshield.,Materials & Parts,each,160,0,106.67
Urethane Adhesive Kit,High-grade automotive polyurethane bonding adhesive and primer.,Materials & Parts,each,35,0,23.33
