name,description,category,unit,price,labor_hours,material_cost
Level 1 Chimney Inspection,Visual inspection of readily accessible areas,Inspections & Diagnostics,visit,175,1.4,0
Level 2 Chimney Inspection,Video camera inspection of flue interior and structure,Inspections & Diagnostics,visit,325,2.6,0
Level 3 Chimney Inspection,Destructive inspection for hidden structural hazards,Inspections & Diagnostics,job,850,6.8,0
Real Estate Chimney Certification,Inspection report for property transfer transactions,Inspections & Diagnostics,visit,275,2.2,0
Gas Fireplace Safety Check,Functional test and leak check for gas logs,Inspections & Diagnostics,visit,195,1.56,0
Chimney Draft Analysis,Diagnostic testing of smoke flow and pressure,Inspections & Diagnostics,visit,225,1.8,0
Insurance Loss Inspection,Damage assessment report for insurance claims,Inspections & Diagnostics,visit,400,3.2,0
Service Call Dispatch Fee,Standard trip charge for diagnostic visits,Inspections & Diagnostics,visit,125,1,0
Standard Chimney Sweeping,Rotary brush cleaning of active woodburning flue,Sweeping & Cleaning,visit,249,1.5,42.67
Deep Creosote Removal Treatment,Chemical application and scraping for glazed creosote,Sweeping & Cleaning,job,350,1.5,110
Pellet Stove Pipe Cleaning,Specialized brush cleaning for pellet vent systems,Sweeping & Cleaning,visit,225,1.8,0
Furnace Flue Cleaning,Brush cleaning of oil or gas utility flue,Sweeping & Cleaning,visit,210,1.68,0
Firebox Ash Removal,Vacuuming and disposal of firebox ash accumulation,Sweeping & Cleaning,visit,75,0.6,0
Dryer Vent Cleaning,Rotary brush cleaning of residential dryer exhaust,Sweeping & Cleaning,visit,175,1.4,0
Standard Stainless Cap Installation,Single-flue animal guard and rain cap install,Caps & Dampers,each,275,1,100
Multi-Flue Chimney Cap Installation,Custom sized stainless cap covering multiple flues,Caps & Dampers,each,650,2,266.67
Copper Chimney Cap Installation,Architectural heavy-duty copper rain cap install,Caps & Dampers,each,1200,2.5,596.67
Top-Sealing Damper Replacement,Energy-top damper with sealing cable and cap,Caps & Dampers,each,550,2.5,160
Throat Damper Plate Replacement,Cast iron damper blade and frame replacement,Caps & Dampers,job,450,3,50
Spark Arrestor Screen Replacement,Stainless mesh screen replacement on existing cap,Caps & Dampers,each,150,0.8,33.33
Flue Relining 6 Inch Stainless Steel,Flexible 316Ti stainless steel liner kit installation,Flue Lining,linear ft,75,0.3,25
Flue Relining 8 Inch Stainless Steel,Large diameter flexible stainless liner installation,Flue Lining,linear ft,95,0.35,33.33
