name,description,category,unit,price
Comprehensive Home Energy Audit,Full home energy assessment with diagnostic testing report,Diagnostics & Testing,job,450
Blower Door Test,Air leakage quantification using calibrated fan system,Diagnostics & Testing,visit,250
Infrared Thermal Imaging Scan,Thermal camera inspection for insulation and air leaks,Diagnostics & Testing,visit,200
Combustion Safety Test,Testing gas appliances for draft and carbon monoxide,Diagnostics & Testing,visit,175
Duct Blaster Test,HVAC duct leakage measurement and pressure testing,Diagnostics & Testing,visit,225
Indoor Air Quality Test,"Measurement of VOCs, humidity, and particulate levels",Diagnostics & Testing,visit,200
Baseload Energy Analysis,"Audit of lighting, appliances, and phantom loads",Diagnostics & Testing,visit,150
Solar Potential Assessment,Shade analysis and roof orientation feasibility check,Diagnostics & Testing,visit,175
Gas Leak Detection,Electronic sniff testing of natural gas or propane lines,Diagnostics & Testing,visit,125
Energy Audit Consultation,Review of audit findings and upgrade prioritization,Diagnostics & Testing,hour,125
Standard Energy Auditor Labor,Hourly rate for general auditing and diagnostic setup,Labor Rates,hour,95
Master Energy Analyst Labor,Hourly rate for advanced engineering and consulting,Labor Rates,hour,150
Air Sealing Technician Labor,Hourly rate for physical air sealing application,Labor Rates,hour,85
Insulation Installer Labor,Hourly rate for insulation placement and removal,Labor Rates,hour,90
HVAC Specialist Labor,Hourly rate for heating and cooling modifications,Labor Rates,hour,125
Electrical Contractor Labor,Hourly rate for electrical safety and panel work,Labor Rates,hour,135
After Hours Emergency Labor,Hourly rate for urgent service calls outside normal hours,Labor Rates,hour,185
Project Management Fee,Coordination and oversight of multi-trade retrofit projects,Labor Rates,job,350
Attic Air Sealing,"Sealing top plates, penetrations, and chases in attic",Air Sealing,sq ft,1.5
Basement Rim Joist Air Sealing,Sealing and insulating band joists in foundation,Air Sealing,linear ft,8
Crawlspace Air Sealing,Sealing foundation vents and encapsulation perimeter,Air Sealing,sq ft,2
Door Weatherstripping Replacement,Install new compression weatherstripping on exterior door,Air Sealing,each,75
Exterior Door Threshold Replacement,Install adjustable aluminum and vinyl door threshold,Air Sealing,each,125
Window Air Sealing and Caulking,Caulk interior and exterior window trim perimeters,Air Sealing,each,35
Attic Hatch Weatherstripping,Install gasket seal and latch on attic access door,Air Sealing,each,95
Recessed Light Air Seal Cover,Install airtight LED retrofit or cover box in attic,Air Sealing,each,45
Plumbing Penetration Sealing,Seal gaps around pipe penetrations with firestop foam,Air Sealing,each,25
Whole House Caulk Package,General exterior gap sealing around siding and penetrations,Air Sealing,job,350
Fiberglass Batt Attic Insulation,Install R-30 unfaced fiberglass batts in open attic,Insulation,sq ft,2.25
Blown-In Cellulose Attic Insulation,Blow loose-fill cellulose to achieve R-49 in attic,Insulation,sq ft,2.5
Blow-In Fiberglass Attic Insulation,Blow loose-fill fiberglass to achieve R-49 in attic,Insulation,sq ft,2.75
Spray Foam Open Cell Insulation,Apply open cell polyurethane foam to roofline,Insulation,sq ft,3.5
Spray Foam Closed Cell Insulation,Apply closed cell polyurethane foam to walls or rim joists,Insulation,sq ft,5
Dense Pack Cellulose Wall Insulation,Drill and fill exterior wall cavities with dense cellulose,Insulation,sq ft,3.25
Crawlspace Vapor Barrier Installation,Lay 6-mil polyethylene sheet across crawlspace floor,Insulation,sq ft,0.75
Rigid Foam Board Wall Insulation,Install extruded polystyrene board on exterior or interior,Insulation,sq ft,3
Pipe Insulation Wrap,Install foam sleeve insulation on domestic hot water pipes,Insulation,linear ft,3.5
Water Heater Blanket Installation,Wrap standard tank water heater in fiberglass insulation jacket,Insulation,each,110
Duct Mastic Sealing,Brush or trowel water-based mastic on all HVAC duct joints,HVAC & Ductwork,linear ft,4.5
Duct Wrap Insulation,Wrap unconditioned basement or attic ductwork with foil-faced insulation,HVAC & Ductwork,sq ft,2
Flexible Duct Replacement,Remove and replace damaged flexible supply or return duct,HVAC & Ductwork,linear ft,22
Programmable Thermostat Installation,Install and program standard 7-day digital thermostat,HVAC & Ductwork,each,175
