name,description,category,unit,price,labor_hours,material_cost
Standard Bathtub Refinishing,"Clean, etch, prime, and topcoat standard porcelain tub",Bathtub Refinishing,job,450,2.5,90
Cast Iron Bathtub Refinishing,Thermal-shock prep and refinish for heavy cast iron tub,Bathtub Refinishing,job,525,3,100
Acrylic Bathtub Refinishing,Specialized bonding agent and topcoat for acrylic tubs,Bathtub Refinishing,job,475,2.5,110
Fiberglass Bathtub Refinishing,High-flex primer and topcoat for fiberglass tub units,Bathtub Refinishing,job,475,2.5,110
Clawfoot Bathtub Interior Refinishing,Interior surface restoration for freestanding clawfoot tub,Bathtub Refinishing,job,650,4,100
Clawfoot Bathtub Exterior Refinishing,Exterior body prep and finish painting for clawfoot tub,Bathtub Refinishing,job,450,2.5,90
Walk-in Tub Refinishing,Refinish interior surfaces of accessible walk-in bathtub,Bathtub Refinishing,job,750,4.5,125
Jetted Tub Refinishing,Standard tub refinishing including surface around existing jets,Bathtub Refinishing,job,550,3,116.67
Bathtub Color Change,Switch existing tub color from almond or pink to white,Bathtub Refinishing,job,100,0.5,25
Deep-Soaking Tub Surcharge,Additional labor and material for oversized deep tubs,Bathtub Refinishing,job,125,0.5,43.33
Standard Wall Tile Refinishing,"Clean, prep, and coat standard ceramic wall tile surround",Tile & Surround Refinishing,sq ft,6,0.03,2.8
Shower Stall Refinishing,Refinish built-in fiberglass or tile shower base and walls,Tile & Surround Refinishing,job,550,3,116.67
Tile Grout Line Accent Painting,Faux grout line painting in contrasting accent color,Tile & Surround Refinishing,sq ft,3,0.02,1.4
Bathroom Vanity Top Refinishing,Refinish cultured marble or porcelain vanity countertop,Tile & Surround Refinishing,job,275,1.5,56.67
Surround Accent Stripe,Add single decorative color stripe around tile surround,Tile & Surround Refinishing,linear ft,8,0.04,3.47
Porcelain Sink Refinishing,Resurface drop-in or undermount bathroom sink basin,Tile & Surround Refinishing,each,225,1.25,50
Pedestal Sink Refinishing,Refinish integrated basin and pedestal body,Tile & Surround Refinishing,each,275,1.5,56.67
Kitchen Sink Refinishing,Resurface porcelain or cast iron single or double-basin sink,Tile & Surround Refinishing,job,350,2,66.67
Floor Tile Refinishing,Resurface small ceramic bathroom floor tile area,Tile & Surround Refinishing,sq ft,8,0.04,3.73
Soap Dish and Grab Bar Respraying,Refinish built-in ceramic soap dishes and grab bars in place,Tile & Surround Refinishing,each,45,0.25,9.67
Bottom Tub Slip-Resistant Mat,Factory-applied permanent textured anti-slip safety pattern,Safety & Custom Options,job,75,0.25,29.17
Custom Anti-Slip Strip Application,Apply set of non-slip adhesive strips to tub floor,Safety & Custom Options,job,50,0.25,12.5
Granite-Look Fleck Finish Upgrade,Multi-color stone appearance topcoat spray application,Safety & Custom Options,job,150,0.5,58.33
High-Gloss Clear Coat Upgrade,Extra protective clear gloss layer for enhanced shine,Safety & Custom Options,job,95,0.25,42.5
Custom Color Match Surcharge,Match specific non-standard paint or tile manufacturer color,Safety & Custom Options,job,125,0.5,43.33
Low-VOC Coating Upgrade,Premium low-odor environmentally friendly coating system,Safety & Custom Options,job,110,0.25,52.5
Fast-Cure Catalyst Additive,Special additive allowing same-day use of refinished fixture,Safety & Custom Options,job,135,0.25,70
Matte Finish Conversion,Apply specialized flattening agent for matte surface look,Safety & Custom Options,job,90,0.25,39.17
Grab Bar Installation,Install customer-provided safety grab bar into wall studs,Safety & Custom Options,each,85,0.5,15
Shower Rod Replacement,Remove old and install new standard curved shower rod,Safety & Custom Options,each,65,0.3,18
Bottom Tub Rust Repair,"Grind out rust pit, neutralize, and fill with waterproof epoxy",Surface Prep & Repairs,each,75,0.4,16.67
Fiberglass Bottom Soft Spot Repair,Reinforce sagging or cracked fiberglass tub bottom from top,Surface Prep & Repairs,job,225,1.25,50
Chip Repair (Single Spot),Fill and color-blend single surface chip up to coin size,Surface Prep & Repairs,each,150,0.8,33.33
Additional Chip Repairs,Per additional chip repaired during same service visit,Surface Prep & Repairs,each,45,0.25,9.67
