name,description,category,unit,price
Standard Labor Rate - Mason,Hourly rate for skilled commercial mason installation.,Labor & Supervision,hour,85
Standard Labor Rate - Concrete Finisher,Hourly rate for commercial concrete placement and finishing.,Labor & Supervision,hour,80
Foreman Labor Rate,Hourly rate for jobsite crew supervision and layout.,Labor & Supervision,hour,110
General Laborer Rate,Hourly rate for site cleanup and material handling.,Labor & Supervision,hour,55
Overtime Labor Premium,Additional hourly rate multiplier applied to weekend work.,Labor & Supervision,hour,45
Site Visit & Consultation,Onsite evaluation and project scope assessment.,Diagnostics & Mobilization,visit,250
Structural Engineering Assessment,Professional engineering review and stamped letter.,Diagnostics & Mobilization,job,1200
Ground Penetrating Radar Scan,Non-destructive scanning for utilities and rebar.,Diagnostics & Mobilization,job,950
Core Sampling & Testing,Concrete core extraction and compressive strength test.,Diagnostics & Mobilization,each,450
Mobilization Fee,Equipment transport and crew deployment to site.,Diagnostics & Mobilization,job,500
Standard Building Permit Processing,Municipal permit application and document handling.,Permits & Disposal,job,350
Concrete Washout Station,"Temporary washout bin setup, maintenance, and pickup.",Permits & Disposal,job,600
Debris Disposal - Concrete & Masonry,Roll-off dumpster rental and haul away per load.,Permits & Disposal,ton,125
Traffic Control Setup,"Signage, cones, and lane closure setup per day.",Permits & Disposal,day,400
SWPPP Site Management,Stormwater pollution prevention controls and maintenance.,Permits & Disposal,month,750
Excavation and Subgrade Prep,Machine excavation and compaction for slab subbase.,Site Prep & Earthwork,sq ft,3
Aggregate Base Course,"Crushed stone base installation and compaction, 4 inch depth.",Site Prep & Earthwork,sq ft,2
Geotextile Fabric Installation,Stabilizing fabric placed beneath aggregate base.,Site Prep & Earthwork,sq ft,1
Fine Grading,Precision grading of subbase prior to formwork.,Site Prep & Earthwork,sq ft,1
Proof Roll Inspection,Heavy equipment proof roll testing of subgrade soils.,Site Prep & Earthwork,hour,175
Standard Wood Formwork,Setup and stripping of 2x4 and 2x6 wood forms.,Formwork & Reinforcement,linear ft,6
Steel Radius Formwork,Flexible steel forms for curved concrete edges.,Formwork & Reinforcement,linear ft,12
Heavy Duty Steel Curb Forms,Forms for commercial curb and gutter placement.,Formwork & Reinforcement,linear ft,10
Rebar Installation - #4 Bar,Placement and tying of grade 60 reinforcing steel.,Formwork & Reinforcement,sq ft,2
Rebar Installation - #5 Bar,Placement and tying of heavy structural rebar.,Formwork & Reinforcement,sq ft,3
Welded Wire Mesh Installation,Standard reinforcement wire mesh placement in slab.,Formwork & Reinforcement,sq ft,1
Vapor Barrier Installation,15-mil vapor retarder membrane placement with taped seams.,Formwork & Reinforcement,sq ft,1
Dowels and Tie-ins,Epoxy-anchored dowels into existing concrete slabs.,Formwork & Reinforcement,each,25
Ready-Mix Concrete - 3000 PSI,Standard strength commercial concrete pour and finish.,Concrete Pours & Slabs,sq ft,7
Ready-Mix Concrete - 4000 PSI,High strength commercial concrete pour and finish.,Concrete Pours & Slabs,sq ft,8
Ready-Mix Concrete - 5000 PSI,Heavy duty industrial concrete pour and finish.,Concrete Pours & Slabs,sq ft,10
Fiber Mesh Admixture,Synthetic fibers added to mix for crack reduction.,Concrete Pours & Slabs,sq ft,1
Accelerating Admixture,Cold weather chemical accelerator for quick set.,Concrete Pours & Slabs,cubic yd,25
Concrete Pump Truck Service,Boom pump mobilization and pumping fee per pour.,Concrete Pours & Slabs,job,1250
Line Pump Rental,Trailer pump for restricted access concrete placement.,Concrete Pours & Slabs,day,750
Heavy Duty Concrete Dolly Pad,8-inch reinforced concrete pad for commercial equipment.,Concrete Pours & Slabs,sq ft,14
Monolithic Slab on Grade,Thickened edge monolithic foundation pour.,Concrete Pours & Slabs,sq ft,11
Interior Warehouse Slab,Laser-screeded flat floor pour with steel trowel finish.,Concrete Pours & Slabs,sq ft,9
Standard Broom Finish,Slip-resistant textured finish for exterior flatwork.,Concrete Finishes & Treatments,sq ft,1
Hard Trowel Finish,Smooth mechanical power-trowel finish for interiors.,Concrete Finishes & Treatments,sq ft,1
Salt Finish Decorative Treatment,Textured architectural finish created with rock salt.,Concrete Finishes & Treatments,sq ft,3
Exposed Aggregate Finish,Surface retarder and wash to expose decorative stones.,Concrete Finishes & Treatments,sq ft,4
Machine Grooved Joints,Saw-cut control joints to prevent random cracking.,Concrete Finishes & Treatments,linear ft,2
Joint Sealant Application,Polyurethane backer rod and self-leveling joint sealant.,Concrete Finishes & Treatments,linear ft,3
Curing Compound Application,Spray-applied membrane to retain moisture during curing.,Concrete Finishes & Treatments,sq ft,1
Penetrating Concrete Sealer,Silane-siloxane sealer for freeze-thaw protection.,Concrete Finishes & Treatments,sq ft,1
Acid Staining,Chemical reactive stain applied to cured concrete.,Concrete Finishes & Treatments,sq ft,4
