name,description,category,unit,price
Standard Service Call,Initial on-site diagnostic and troubleshooting visit,Diagnostics and Service,visit,175
After-Hours Emergency Service Call,Emergency dispatch outside normal business hours,Diagnostics and Service,visit,350
Standard Technician Labor Rate,Hourly rate for single technician labor,Diagnostics and Service,hour,125
Two-Man Technician Crew Rate,Hourly rate for a two-person installation crew,Diagnostics and Service,hour,220
Gate System Safety Inspection,Comprehensive UL325 compliance and safety check,Diagnostics and Service,job,250
Gate Open/Close Force Calibration,Adjusting obstruction detection sensors and limits,Diagnostics and Service,hour,125
Diagnostic Software Scan,Reading error codes on smart gate operators,Diagnostics and Service,job,150
Remote Site Access Configuration,Programming cellular or IP gate controllers,Diagnostics and Service,hour,150
Travel Surcharge Extended Zone,Travel fee for locations outside standard service radius,Diagnostics and Service,job,95
Slide Gate Operator Replacement,Remove and replace commercial slide gate operator unit,Operator Replacement,each,2800
Swing Gate Operator Replacement,Remove and replace commercial swing gate operator unit,Operator Replacement,each,2600
Barrier Arm Operator Replacement,Remove and replace commercial traffic barrier gate,Operator Replacement,each,2400
Heavy-Duty Industrial Slide Operator,High-cycle commercial slide operator installation,Operator Replacement,each,4500
Dual Swing Gate Operators Replacement,Replace master and slave operators for dual swing gates,Operator Replacement,each,3900
Solar-Powered Operator Retrofit Kit,Install solar panel and battery backup system,Operator Replacement,job,1600
Hydraulic Gate Actuator Replacement,Replace heavy-duty hydraulic piston operator arm,Operator Replacement,each,1850
Operator Gearbox Assembly Replacement,Replace internal mechanical reduction gearbox,Operator Repair,each,850
Operator Control Board Replacement,Replace main electronic circuit board and logic processor,Operator Repair,each,750
Drive Motor Replacement,Replace electric drive motor inside operator housing,Operator Repair,each,950
Transformer Replacement,Replace primary low-voltage power transformer,Operator Repair,each,280
Limit Switch Assembly Replacement,Replace magnetic or mechanical gate travel limit switches,Operator Repair,each,320
Drive Chain Replacement,Replace roller chain for slide gate operators,Operator Repair,linear ft,18
Drive Chain Tension Adjustment,Realign and tension slide gate drive chain,Operator Repair,job,150
Release Mechanism Repair,Repair manual emergency disconnect handle and cable,Operator Repair,each,220
Operator Chassis Pad Pour,Pour concrete mounting pad for new gate operator,Operator Repair,each,650
V-Groove Track Replacement,Bolt down or weld new V-track for sliding gate,Gate Hardware,linear ft,45
V-Groove Bearing Roller Replacement,Replace heavy-duty carriage wheels on sliding gate,Gate Hardware,each,275
Cantilever Roller Assembly Replacement,Replace enclosed track cantilever gate roller trucks,Gate Hardware,each,450
Commercial Heavy-Duty Hinge Replacement,Replace weld-on or bolt-on swing gate pivot hinges,Gate Hardware,each,310
Industrial Sealed Bearing Hinge Pair,Replace premium load-bearing swing gate hinges,Gate Hardware,each,520
Gate Guide Roller Post Replacement,Replace upper guide rollers and mounting bracket,Gate Hardware,each,240
Gate Catcher Receiver Pocket Installation,Install or replace locking receiver latch post,Gate Hardware,each,350
Magnetic Gate Lock Installation,Install high-holding electromagnetic lock for swing gate,Gate Hardware,each,680
Mechanical Solenoid Lock Replacement,Replace heavy-duty automatic electric gate lock,Gate Hardware,each,550
Drop Pin Assembly Installation,Install motorized or manual drop pin for double gates,Gate Hardware,each,420
Barrier Gate Wooden Arm Replacement,Replace standard wooden traffic arm up to 15 ft,Gate Hardware,each,250
Barrier Gate Aluminum Arm Replacement,Replace breakaway aluminum arm with reflective tape,Gate Hardware,each,450
Photo Eye Sensor Set Replacement,Replace thru-beam photo safety eyes and alignment,Safety and Access Controls,each,380
Reflective Photo Eye Installation,Install single-sided polarized retro-reflective photo sensor,Safety and Access Controls,each,320
Safety Edge Sensor Replacement,Replace pneumatic or electric reversing edge on gate,Safety and Access Controls,linear ft,65
Safety Edge Transmitter/Receiver Kit,Replace wireless monitored edge transceiver system,Safety and Access Controls,each,450
Loop Detector Installation,Install single inductive loop detector module in operator,Safety and Access Controls,each,320
Inductive Loop Saw Cutting,Saw cut asphalt or concrete for new detector loop,Safety and Access Controls,linear ft,18
Loop Sealant Application,Fill saw cuts with heavy-duty loop sealant compound,Safety and Access Controls,linear ft,8
Keypad Surface Mount Installation,Install standard digital commercial access keypad,Safety and Access Controls,each,450
Pedestal Post Installation,Mount steel pedestal post for keypad or card reader,Safety and Access Controls,each,350
Telephone Entry System Replacement,Replace cellular or VoIP multi-tenant intercom system,Safety and Access Controls,each,2200
RFID Long Range Reader Installation,Install vehicle windshield RFID tag reader system,Safety and Access Controls,each,1100
Optical Sensor / Traffic Camera Installation,Install emergency vehicle strobe detector (Yelp sensor),Safety and Access Controls,each,1400
Radio Receiver Replacement,Replace external gate remote control receiver unit,Safety and Access Controls,each,220
Commercial Remote Transmitters Programming,Program standard rolling-code visor remote controls,Safety and Access Controls,each,65
Vehicle Loop Diagnostic Testing,Test loop inductance and megohm insulation breakdown,Safety and Access Controls,job,150
Fire Department Knox Box Installation,Install and wire emergency access key switch box,Safety and Access Controls,each,480
