name,description,category,unit,price,labor_hours,material_cost
Standard Wildlife Inspection,Comprehensive attic and exterior entry point evaluation,Diagnostics & Inspection,visit,150,1.2,0
Thermal Imaging Inspection,Detect hidden animal nests and heat signatures in walls,Diagnostics & Inspection,visit,250,1.5,40
Roof-Level Safety Assessment,High-slope roof access and perimeter vulnerability review,Diagnostics & Inspection,visit,175,1.4,0
Sewer Scope Camera Inspection,Inspect underground pipes for rat or rodent intrusion,Diagnostics & Inspection,job,300,1.5,75
Pre-Purchase Wildlife Audit,Home buyer structural animal vulnerability assessment,Diagnostics & Inspection,visit,275,2,15
Standard Labor Rate,Hourly charge for general technician labor and repairs,Labor Rates,hour,125,1,0
After-Hours Emergency Labor,Urgent night or weekend wildlife response hourly rate,Labor Rates,hour,225,1.8,0
Specialist High-Access Labor,Hourly rate for complex rigging and multi-story work,Labor Rates,hour,175,1.4,0
Two-Technician Crew Rate,Combined hourly rate for heavy exclusion projects,Labor Rates,hour,220,1.76,0
Attic Sanitation Labor,Hourly rate for biological waste cleanup and vacuuming,Labor Rates,hour,110,0.88,0
Raccoon Trapping Set-Up,Initial placement and baiting of live animal traps,Animal Removal,job,250,1.2,67
Raccoon Removal Service,Per animal extraction and relocation fee,Animal Removal,each,150,1,16.67
Squirrel Trapping Set-Up,Initial placement of multiple squirrel traps on roof,Animal Removal,job,225,1.2,50
Squirrel Removal Service,Per squirrel extraction and relocation fee,Animal Removal,each,75,0.5,8.33
Opossum Trapping Set-Up,Initial placement and baiting for ground-dwelling marsupials,Animal Removal,job,200,1.2,33.33
Opossum Removal Service,Per opossum extraction and relocation fee,Animal Removal,each,125,0.8,18.33
Skunk Trapping Set-Up,Covered trap installation for odor-free skunk capture,Animal Removal,job,275,1.4,66.67
Skunk Removal Service,Per skunk secure removal and relocation fee,Animal Removal,each,175,1.1,23.33
Bat Colony Evacuation System,Installation of one-way bat cones on primary exit points,Animal Removal,each,150,0.8,35
Bat Colony Seal-Up Service,Post-evacuation sealing of all secondary bat entry points,Animal Removal,job,600,3.5,100
Flying Squirrel Trapping Package,Specialized multi-trap setup for attic nesting rodents,Animal Removal,job,350,1.8,86.67
Rat Extermination Program,Rodenticide station setup and initial interior trapping,Animal Removal,job,300,1.5,75
Mice Eradication Setup,Interior snap trap array and exterior bait station deployment,Animal Removal,job,250,1.2,66.67
Snake Removal Service,Safe capture and removal of nuisance snake from property,Animal Removal,each,200,1.2,33.33
Snake Fence Barrier Installation,Fine mesh wire buried barrier to deter ground snakes,Animal Removal,linear ft,18,0.1,3.67
