name,description,category,unit,price
Standard Labor Rate - Installer,Hourly rate per certified playground installer,Labor Rates,hour,85
Lead Foreman Rate,Hourly rate for site lead and project manager,Labor Rates,hour,115
Heavy Equipment Operator Rate,Hourly rate for skid steer or excavator operator,Labor Rates,hour,125
Overtime Labor Surcharge,Additional hourly rate multiplier for weekend or evening work,Labor Rates,hour,45
Mobilization Fee - Local,Travel and site setup within 30 miles,Labor Rates,job,250
Mobilization Fee - Extended,Travel fee for sites beyond 30 miles,Labor Rates,job,450
Site Safety Assessment,Initial hazard and utility clearance inspection,Diagnostics and Service Calls,visit,175
Playground Safety Audit (CPSI),Certified Public Playground Safety Inspector comprehensive review,Diagnostics and Service Calls,visit,450
Vandalism Damage Inspection,Inspection and written report for insurance claims,Diagnostics and Service Calls,visit,225
Post-Storm Structural Check,Wind and storm damage integrity check,Diagnostics and Service Calls,visit,200
Maintenance Service Call,General troubleshooting and minor adjustment dispatch,Diagnostics and Service Calls,visit,250
Excavation - Earth Removal,Machine excavation for footings and borders,Site Preparation,cu yd,85
Site Grading and Leveling,Grading sub-base for proper drainage and slope,Site Preparation,sq ft,2
Geo-Textile Fabric Installation,Woven weed barrier fabric placement,Site Preparation,sq ft,1
Sub-Base Aggregate Layer,Crushed stone base layer installation,Site Preparation,ton,65
Root Pruning and Removal,Tree root clearing in excavation zone,Site Preparation,hour,95
Existing Equipment Demolition,Tear down and removal of old play structures,Demolition and Disposal,job,1500
Concrete Footing Demolition,Breaking and removal of subsurface concrete piers,Demolition and Disposal,each,175
Debris Disposal Fee,Dumpster rental and landfill tipping fees,Demolition and Disposal,job,600
Metal Recycling Transport,Hauling scrap steel and aluminum to recycling center,Demolition and Disposal,load,250
Old Surfacing Removal,Removal of legacy wood fiber or rubber mulch,Demolition and Disposal,sq ft,1
Standard Concrete Footing Pour,Hand or truck poured concrete pier with rebar cage,Foundations and Anchoring,each,220
Large Tower Footing Pour,Heavy-duty concrete pier for multi-deck towers,Foundations and Anchoring,each,350
Surface Mount Anchor Kit,Expansion anchor installation into existing concrete slab,Foundations and Anchoring,each,75
Sub-Surface Mounting Plate,Underground mounting harness for non-standard soils,Foundations and Anchoring,each,180
Concrete Curing Acceleration Additive,Admixture for faster setting time,Foundations and Anchoring,each,40
Play Structure Assembly - Small,Installation of simple single-deck play system,Equipment Installation,job,1200
Play Structure Assembly - Medium,Installation of 2 to 4 deck modular playground,Equipment Installation,job,3500
Play Structure Assembly - Large,Installation of expansive multi-tower community playground,Equipment Installation,job,7500
Freestanding Swing Set Installation,Assembly and anchoring of 2-bay to 4-bay swing set,Equipment Installation,each,850
Independent Slide Installation,Standalone embankment or stainless steel slide installation,Equipment Installation,each,600
Climber Component Installation,"Rope, net, or panel climber assembly and tensioning",Equipment Installation,each,450
Spring Rider Installation,Single rocker or spring toy mounting,Equipment Installation,each,200
See-Saw Installation,Commercial seesaw or teeter-totter assembly,Equipment Installation,each,350
Merry-Go-Round Installation,Inclusive spinner or carousel anchoring and leveling,Equipment Installation,each,950
Outdoor Fitness Station Installation,Adult fitness equipment piece anchoring,Equipment Installation,each,300
Zip Line Track Installation,Commercial playground zip line cable and trolley setup,Equipment Installation,job,2200
Engineered Wood Fiber Surfacing,IPEMA certified EWF blow or dump installation,Safety Surfacing,cu yd,55
Rubber Mulch Surfacing,Recycled rubber nuggets safety surfacing installation,Safety Surfacing,ton,450
Pour-In-Place Rubber Surface Base Layer,SBR black rubber impact attenuation base installation,Safety Surfacing,sq ft,8
Pour-In-Place Rubber Surface Wear Layer,EPDM colored top layer installation,Safety Surfacing,sq ft,10
Rubber Tile Surfacing,Interlocking safety rubber tiles glued to sub-base,Safety Surfacing,sq ft,14
Synthetic Turf Playground System,Artificial turf with foam shock pad underlayment,Safety Surfacing,sq ft,16
Surfacing Wear Mat Installation,Heavy-duty rubber impact mats under swings and slides,Safety Surfacing,each,120
Plastic Border Timber Installation,Recycled plastic landscape timbers for containment,Surfacing Containment,linear ft,22
Steel Border Edging Installation,Heavy gauge steel edging for unitary surfacing,Surfacing Containment,linear ft,18
ADA Accessible Ramp for Surfacing,Transition ramp for wood fiber or loose fill containment,Surfacing Containment,each,450
Drainage Pipe Installation,Perforated corrugated pipe for subsurface water management,Surfacing Containment,linear ft,15
Drainage Catch Basin Installation,Sump box and grate for surface water collection,Surfacing Containment,each,320
Shade Sail Structure - Small,Single-post or four-post hip shade canopy installation,Amenities and Site Furnishings,each,3500
Shade Sail Structure - Large,Large multi-sail architectural shade structure installation,Amenities and Site Furnishings,each,8500
Commercial Picnic Table Installation,Surface or in-ground mount picnic table assembly,Amenities and Site Furnishings,each,250
ADA Picnic Table Installation,Wheelchair accessible commercial table anchoring,Amenities and Site Furnishings,each,280
Bench Installation,Park bench with or without backrest anchoring,Amenities and Site Furnishings,each,200
Trash Receptacle Installation,Commercial litter bin with lid and anchor kit,Amenities and Site Furnishings,each,180
Bike Rack Installation,Loop style commercial bicycle rack anchoring,Amenities and Site Furnishings,each,220
Drinking Fountain Installation,Outdoor ADA drinking fountain plumbing and anchoring,Amenities and Site Furnishings,each,1800
Perimeter Safety Fencing,Commercial chain link or decorative metal fence installation,Amenities and Site Furnishings,linear ft,35
Swing Chain Replacement,Galvanized or plastisol coated swing chains pair,Repairs and Maintenance,each,85
Swing Seat Replacement,"Belt seat, bucket seat, or inclusive swing replacement",Repairs and Maintenance,each,65
Swing Hanger Replacement,Heavy duty commercial swing hanger with shackle,Repairs and Maintenance,each,55
Deck Panel Replacement,Perforated steel or coated replacement deck platform,Repairs and Maintenance,each,350
Slide Section Replacement,Rotomolded plastic slide bedway section swap,Repairs and Maintenance,each,600
Hardware Tightening Service,Complete check and torque of all structural fasteners,Repairs and Maintenance,job,400
Anti-Vandal Hardware Package,Tamper-resistant fastener upgrade set,Repairs and Maintenance,job,150
Plastic Component Weld Repair,Plastic extrusion welding for cracked slides or panels,Repairs and Maintenance,hour,125
Graffiti Removal Treatment,Chemical removal of spray paint from equipment surfaces,Repairs and Maintenance,hour,90
Powder Coat Touch-Up,Surface prep and touch-up paint for scratched metal,Repairs and Maintenance,each,75
Cable Netting Re-Tensioning,Adjustment and tightening of climbing net cables,Repairs and Maintenance,job,300
Permit Acquisition Service,Local building and zoning permit processing,Permits and Compliance,job,350
Engineering Drawing Package,Sealed structural engineering calculations for permits,Permits and Compliance,job,1200
ASTM F1487 Compliance Certification,Third-party safety standard verification report,Permits and Compliance,job,600
ADA Accessibility Compliance Audit,Department of Justice guidelines check for routes and play components,Permits and Compliance,job,500
Utility Locating Service Coordination,Private utility locate coordination prior to excavation,Permits and Compliance,job,250
Playground Rule Sign Installation,Aluminum age-appropriate safety sign and post installation,Signage and Wayfinding,each,175
Custom Park Name Sign,Engraved monument or post-mounted park identification sign,Signage and Wayfinding,each,850
Wayfinding Directional Sign,Park directory or directional sign post installation,Signage and Wayfinding,each,220
Sponsor Recognition Plaque,Bronze or engraved donor plaque mounting on equipment or wall,Signage and Wayfinding,each,300
Warning Label Decal Kit,Replacement safety warning stickers set for playground structure,Signage and Wayfinding,job,95
Annual Maintenance Service Contract,"Quarterly inspection, hardware tightening, and minor repairs",Maintenance Agreements,visit,350
Bi-Annual Safety Inspection Package,Spring and fall comprehensive CPSI safety audits,Maintenance Agreements,visit,400
Surfacing Top-Off Service,Blowing in replacement wood fiber to maintain fall height depth,Maintenance Agreements,cu yd,60
Emergency Storm Cleanup Dispatch,Priority crew dispatch for fallen tree limbs or hazard clearance,Maintenance Agreements,visit,550
Winterization Service,Securing moveable components and seasonal covering,Maintenance Agreements,job,300
