name,description,category,unit,price,labor_hours,material_cost
Standard Labor Rate,General landscaping labor per technician hour,Labor,hour,65,1,0
Foreman Labor Rate,Crew supervisor labor per hour,Labor,hour,85,1,0
Overtime Labor Rate,Emergency or after-hours labor per hour,Labor,hour,125,1,0
Design Consultation,On-site landscape design and planning consultation,Labor,hour,150,1,0
Site Inspection and Diagnostic,"Evaluate turf, plant health, or drainage issues",Labor,hour,120,1,0
Project Management,Dedicated oversight for large installation projects,Labor,hour,95,1,0
Permit Acquisition Fee,Handling local municipality permits for site work,Permits and Disposal,job,250,0,166.67
Green Waste Disposal Fee,Hauling and disposal of organic yard waste,Permits and Disposal,ton,75,0,50
Debris Dumpster Rental,Roll-off dumpster for heavy landscape demolition debris,Permits and Disposal,each,650,0,433.33
Soil Test Kit Processing,Laboratory nutrient and pH soil analysis,Permits and Disposal,each,95,0.2,43.33
Commercial Turf Mowing,"Mowing, edging, and blowing of commercial grounds",Turf Maintenance,sq ft,1,0.005,0.25
Core Aeration,Mechanical core aeration to relieve soil compaction,Turf Maintenance,sq ft,1,0.003,0.2
Power Seeding,Slice seeding bare or thin turf areas,Turf Maintenance,sq ft,1,0.003,0.4
Sod Installation,Lay new tall fescue or Bermuda commercial sod,Turf Maintenance,sq ft,1,0.003,0.4
Fertilizer Application,Granular or liquid commercial turf fertilization,Turf Maintenance,sq ft,1,0.002,0.3
Pre-Emergent Herbicide,Application of pre-emergent weed control,Turf Maintenance,sq ft,1,0.002,0.3
Post-Emergent Weed Control,Spot treatment for broadleaf weeds in turf,Turf Maintenance,sq ft,1,0.002,0.3
Turf Fungicide Treatment,Application to treat brown patch and dollar spot,Turf Maintenance,sq ft,1,0.002,0.3
Topdressing Service,Application of compost and sand blend over turf,Turf Maintenance,sq ft,1,0.004,0.3
Hydroseeding,"Spray application of seed, mulch, and fertilizer",Turf Maintenance,sq ft,1,0.003,0.4
Shrub Pruning,Hand pruning and shaping of commercial shrubs,Plant and Bed Care,hour,75,1,0
Hedge Trimming,Mechanical shearing of formal hedges,Plant and Bed Care,linear ft,3,0.015,0.5
Small Tree Pruning,Pruning ornamental trees up to 15 feet,Plant and Bed Care,each,150,1,16.67
Large Tree Pruning,Pruning mature trees above 15 feet,Plant and Bed Care,each,450,2.5,66.67
Tree Removal,Felling and cutting down dead or hazardous trees,Plant and Bed Care,each,1200,6,293.33
Stump Grinding,Grinding tree stump 8 inches below grade,Plant and Bed Care,each,350,2,66.67
