name,description,category,unit,price,labor_hours,material_cost
Standard AV Service Call,Initial diagnosis and troubleshooting for existing audio visual systems,Diagnostics & Service,visit,175,1,33.33
AV Technician Labor Rate,"Hourly rate for standard installation, wiring, and configuration",Labor Rates,hour,125,1,0
Master AV Integration Engineer,Hourly rate for complex programming and system commissioning,Labor Rates,hour,185,1,40
After-Hours Emergency Service,Urgent on-site support outside normal business hours,Diagnostics & Service,hour,250,1,83.33
Half-Day On-Site Labor,Four hours of dedicated on-site technician labor,Labor Rates,job,450,3.6,0
Full-Day On-Site Labor,Eight hours of dedicated on-site technician labor,Labor Rates,job,850,6.8,0
System Health Check and Audit,Comprehensive inspection of all AV hardware and connections,Diagnostics & Service,visit,250,1.5,43.33
Firmware Update Service,"Updating all processors, displays, and switchers to latest firmware",Diagnostics & Service,job,200,1.6,0
Remote Network Diagnostics,Remote troubleshooting of IP-based AV control and routing issues,Diagnostics & Service,hour,110,0.88,0
AV Project Management,"Coordination, scheduling, and site supervision per project phase",Labor Rates,hour,140,1.12,0
Basic TV Wall Mount Installation,Mounting flat panel display up to 65 inches on standard drywall,Display Mounts,each,225,1,66.67
Large Format TV Wall Mount,Mounting flat panel display 70 inches and larger,Display Mounts,each,350,1.5,110
Articulating TV Wall Mount,Supply and installation of full-motion articulating display bracket,Display Mounts,each,275,1,100
Motorized Ceiling TV Lift,Installation of recessed motorized lift mechanism for flat screen,Display Mounts,job,1200,4,466.67
Commercial Video Wall Mount Frame,Per-screen micro-adjustment wall mount for multi-display video wall,Display Mounts,each,180,0.6,66.67
Projector Ceiling Mount Installation,Secure mounting and alignment of standard ceiling projector,Display Mounts,each,300,1.5,75
Motorized Projection Screen,Installation and electrical hookup of motorized drop-down screen,Display Mounts,each,650,2,266.67
Manual Pull-Down Projection Screen,Mounting manual screen to wall or ceiling structure,Display Mounts,each,200,1,50
Tablet Wall Dock Installation,In-wall or surface mounting of touch control tablet with power,Display Mounts,each,150,0.8,33.33
Display VESA Adapter Plate,Custom adapter bracket for non-standard mounting patterns,Display Mounts,each,85,0.2,40
HDMI 2.0 Cable 6ft,High-speed 4K transmission cable,Cabling & Infrastructure,each,25,0.05,12.33
HDMI 2.0 Cable 15ft,High-speed long-reach 4K transmission cable,Cabling & Infrastructure,each,50,0.05,29
Active Optical HDMI Cable 50ft,Long-distance fiber optic HDMI signal run,Cabling & Infrastructure,each,220,0.2,130
Cat6 Network Cable Pull,Running terminated Cat6 cable through existing pathways,Cabling & Infrastructure,linear ft,3,0.02,1
Cat6a Shielded Cable Pull,High-performance shielded data cable installation,Cabling & Infrastructure,linear ft,4,0.02,1.67
Speaker Wire 16/2 CL2,In-wall rated two-conductor audio cable,Cabling & Infrastructure,linear ft,2,0.01,0.87
Microphone Cable XLR,Balanced audio interconnection cable 25ft,Cabling & Infrastructure,each,35,0.1,15
Coaxial RG6 Cable Run,RF signal distribution cable run,Cabling & Infrastructure,linear ft,2,0.01,0.87
Fiber Optic Patch Cable,Duplex multimode optical fiber jumper,Cabling & Infrastructure,each,45,0.1,21.67
Structured Cabling Termination and Testing,"Punch down, connectorization, and certification per port",Cabling & Infrastructure,each,22,0.15,2
In-Ceiling Speaker Installation,Cut-in and wiring of architectural speaker,Audio Systems,each,120,0.5,39
In-Wall Architectural Speaker,Cut-in and mounting of flush wall speaker,Audio Systems,each,150,0.6,50
Surface Mount Pendent Speaker,Hanging open-ceiling commercial speaker installation,Audio Systems,each,175,0.6,66.67
Outdoor Weatherproof Speaker,Patio or landscape exterior speaker mounting,Audio Systems,each,160,0.6,56.67
Powered Subwoofer Integration,"Placement, connection, and phase calibration of subwoofer",Audio Systems,each,130,0.5,46.67
Multi-Channel Audio Amplifier,Rack mounting and wiring of distribution amplifier,Audio Systems,each,250,0.8,100
Commercial Multi-Zone Mixer Amplifier,Installation and paging input configuration,Audio Systems,each,320,1,133.33
Digital Signal Processor (DSP),Audio matrix and acoustic echo cancellation programming,Audio Systems,job,600,2,233.33
Wireless Microphone System,"Receiver setup, antenna distribution, and mic pairing",Audio Systems,each,280,1,103.33
Boundary Table Microphone,Surface-mounted conference table mic installation,Audio Systems,each,140,0.5,50
Laser Projector Replacement,Swap and optical alignment of commercial projector,Video Systems,each,450,1.5,176.67
Commercial LED Display Panel,Replacement or new install of professional commercial monitor,Video Systems,each,300,1,116.67
Matrix Switcher 4x4,HDMI routing matrix installation and EDID management,Video Systems,each,350,1.2,133.33
Matrix Switcher 8x8,Large scale video routing matrix setup and configuration,Video Systems,each,600,1.6,266.67
AV-over-IP Transmitter Unit,Network encoder for video distribution over ethernet,Video Systems,each,125,0.5,43.33
AV-over-IP Receiver Unit,Network decoder for display side video extraction,Video Systems,each,125,0.5,43.33
Document Camera Integration,Desktop or surface mounted presenter camera setup,Video Systems,each,110,0.5,30
PTZ Conference Camera,Pan-tilt-zoom camera mounting and control configuration,Video Systems,each,250,1,83.33
Video Scaler and Converter,Resolution translation and signal format conversion box,Video Systems,each,150,0.6,50
Blu-ray / Media Player,Source component rack mounting and network setup,Video Systems,each,90,0.4,26.67
Conference Room Soundbar,All-in-one audio bar wall or display mounting,Collaboration & Conferencing,each,200,0.8,66.67
USB PTZ Camera Kit,Huddle room camera installation with USB extension,Collaboration & Conferencing,each,220,0.8,80
All-in-One Video Bar,"Integrated camera, mic, and speakerbar system setup",Collaboration & Conferencing,each,300,1,116.67
Room Scheduling Touch Panel,Outside-door calendar display mounting and PoE wiring,Collaboration & Conferencing,each,250,1,83.33
Wireless Presentation Gateway,AirPlay and Miracast sharing puck hardware configuration,Collaboration & Conferencing,each,180,0.6,66.67
USB Extension over Cat6,Transmitter and receiver pair for remote camera extension,Collaboration & Conferencing,each,220,0.8,80
Boundary Mic Table Puck,Flush-mount push-to-mute conference microphone,Collaboration & Conferencing,each,160,0.6,53.33
