name,description,category,unit,price
Standard Service Call,On-site troubleshooting and visual assessment,Diagnostics,visit,150
Structural Engineer Consultation,Third-party engineering assessment and report,Diagnostics,job,650
Subgrade Soil Compaction Test,Proctor density testing for soil stability,Diagnostics,each,350
Ground Penetrating Radar Scan,Locate subsurface utilities and voids,Diagnostics,job,500
Concrete Core Sampling,Extract core sample for compressive strength testing,Diagnostics,each,275
Masonry Lead Laborer,Skilled mason for custom repair work,Labor Rates,hour,95
Concrete Finisher Labor,Journeyman finisher for flatwork placement,Labor Rates,hour,85
Demolition and Prep Labor,General labor for breaking and site cleanup,Labor Rates,hour,65
After-Hours Emergency Labor,Urgent stabilization or emergency shoring,Labor Rates,hour,150
Equipment Operator,Operator for skid steer or mini excavator,Labor Rates,hour,90
Sidewalk Demolition and Removal,Break up and haul away existing walkway,Demolition & Disposal,sq ft,4
Driveway Demolition and Removal,Break up and haul away existing drive,Demolition & Disposal,sq ft,5
Concrete Patio Demolition,Break up and haul away existing slab,Demolition & Disposal,sq ft,5
Brick Wall Demolition,Take down brick structure and haul debris,Demolition & Disposal,sq ft,12
Roll-Off Dumpster Rental,20-yard debris container and disposal fee,Demolition & Disposal,each,750
Excavation and Grading,Machine dig and grade subbase for concrete,Site Prep & Base,sq ft,3
Crushed Stone Base Installation,Aggregate road base spread and compacted,Site Prep & Base,ton,65
Geotextile Fabric Installation,Stabilization fabric laid under aggregate base,Site Prep & Base,sq ft,1
Formwork Setup and Bracing,Wood forms set to grade for pouring,Site Prep & Base,linear ft,6
Steel Rebar Grid Reinforcement,Install #3 rebar grid on chairs,Site Prep & Base,sq ft,2
Standard Broom Finish Concrete,4-inch poured concrete with broom texture,Concrete Flatwork,sq ft,12
Reinforced Driveway Concrete,6-inch poured concrete with fiber and rebar,Concrete Flatwork,sq ft,16
Stamped Concrete Patio,Patterned and textured decorative concrete slab,Concrete Flatwork,sq ft,22
Exposed Aggregate Finish,Washed surface revealing decorative stone,Concrete Flatwork,sq ft,18
Colored Concrete Additive,Integrated pigment mixed into concrete batch,Concrete Flatwork,sq ft,3
Monolithic Concrete Slab,Slab and thickened edge poured together,Concrete Flatwork,sq ft,15
Concrete Approach Apron,Heavy-duty driveway entrance at curb,Concrete Flatwork,sq ft,18
Concrete Mowing Strip,Narrow border along garden beds,Concrete Flatwork,linear ft,14
AC Unit Concrete Pad,Precast or poured equipment pad,Concrete Flatwork,each,350
Trash Can Storage Pad,Small reinforced slab for bins,Concrete Flatwork,each,450
CMU Foundation Wall,Standard concrete masonry unit block wall,Foundations & Walls,sq ft,32
Poured Concrete Foundation Wall,Formed and poured structural wall,Foundations & Walls,sq ft,40
Retaining Wall Block,Segmental retaining wall blocks laid level,Foundations & Walls,sq ft,45
Natural Stone Retaining Wall,Dry-stacked or mortared natural fieldstone,Foundations & Walls,sq ft,75
Brick Veneer Installation,Clay brick facade anchored to framing,Foundations & Walls,sq ft,28
CMU Pier Installation,Structural block pier for porch or deck,Foundations & Walls,each,250
Concrete Block Column,Structural column wrapped in stone or brick,Foundations & Walls,linear ft,110
Retaining Wall Drainage Pipe,Perforated corrugated pipe with gravel sock,Foundations & Walls,linear ft,15
Foundation Waterproofing Membrane,Spray-applied rubberized wall coating,Foundations & Walls,sq ft,5
Foundation Dampproofing,Asphalt-based coating applied to exterior wall,Foundations & Walls,sq ft,3
Polyurethane Concrete Lifting,Inject expanding foam to raise sunken slab,Repair & Restoration,sq ft,18
Mudjacking Slab Lifting,Pump slurry mix beneath sunken concrete,Repair & Restoration,sq ft,10
Concrete Crack Epoxy Injection,Structural epoxy seal for stable cracks,Repair & Restoration,linear ft,35
Polyurethane Joint Sealing,Flexible sealant for expansion joints,Repair & Restoration,linear ft,4
Masonry Tuckpointing,Grind out and replace degraded mortar joints,Repair & Restoration,sq ft,18
Spalled Concrete Patching,Chisel damaged area and apply polymer patch,Repair & Restoration,sq ft,25
Brick Replacement,Chisel out and relay damaged masonry units,Repair & Restoration,each,45
Concrete Step Rebuilding,Form and pour new front entry steps,Repair & Restoration,each,1500
Chimney Crown Repair,Pour new concrete crown on masonry chimney,Repair & Restoration,each,650
Chimney Pointing and Flashing,Repair mortar and step flashing on chimney,Repair & Restoration,job,850
Penetrating Concrete Sealer,Siloxane-based water repellent application,Finishing & Sealing,sq ft,1
Acrylic Concrete Sealer,Gloss or matte surface sealer coat,Finishing & Sealing,sq ft,2
Acid Wash Cleaning,Chemical wash to remove efflorescence and dirt,Finishing & Sealing,sq ft,1
Power Washing Surface Prep,High-pressure water wash prior to coating,Finishing & Sealing,sq ft,1
Concrete Grinding and Polishing,Mechanical diamond grind for smooth finish,Finishing & Sealing,sq ft,6
Anti-Graffiti Coating,Sacrificial barrier coating for masonry walls,Finishing & Sealing,sq ft,3
Masonry Stain Application,Color stain applied to brick or block,Finishing & Sealing,sq ft,4
Curing Compound Application,Spray film applied to fresh concrete,Finishing & Sealing,sq ft,1
Expansion Joint Board Insertion,Fibre expansion joint material installed,Finishing & Sealing,linear ft,3
Brick Paver Patio Installation,Interlocking pavers set on screeded sand,Pavers & Hardscaping,sq ft,18
Concrete Paver Driveway,Heavy-duty vehicular pavers on dense aggregate,Pavers & Hardscaping,sq ft,22
Flagstone Patio Installation,Natural flagstone set in mortar or on base,Pavers & Hardscaping,sq ft,28
Travertine Paver Installation,Natural stone pavers set for outdoor living,Pavers & Hardscaping,sq ft,30
Paver Edge Restraint Installation,Plastic or metal edge spiked into base,Pavers & Hardscaping,linear ft,5
Polymeric Sand Sweeping and Sealing,Joint sand swept and activated with water,Pavers & Hardscaping,sq ft,2
Permeable Paver System,Open-graded aggregate paver installation,Pavers & Hardscaping,sq ft,24
Bullnose Paver Coping,Rounded edge pavers for pool or step edge,Pavers & Hardscaping,linear ft,25
Paver Cleaning and Resanding,Pressure wash existing pavers and add sand,Pavers & Hardscaping,sq ft,3
Stone Step Installation,Heavy quarried stone steps set in place,Pavers & Hardscaping,each,450
