name,description,category,unit,price
Standard Service Call and Diagnosis,Initial on-site assessment and troubleshooting up to one hour,Diagnostics and Labor,visit,125
Hourly Handyman Labor Rate,General interior repair and installation labor per hour,Diagnostics and Labor,hour,95
Two-Man Crew Hourly Rate,Two technicians for heavy lifting or complex installations,Diagnostics and Labor,hour,165
Emergency After-Hours Dispatch Fee,Urgent same-day or weekend service call fee,Diagnostics and Labor,visit,250
Minimum Service Charge,Base fee for small quick-fix visits under one hour,Diagnostics and Labor,job,150
Half-Day Rate,Up to four consecutive hours of general handyman labor,Diagnostics and Labor,job,350
Full-Day Rate,Up to eight consecutive hours of general handyman labor,Diagnostics and Labor,job,650
Design and Consultation Fee,In-home project planning and material sourcing service,Diagnostics and Labor,hour,100
Material Pickup and Delivery Fee,Sourcing and transporting specialized materials to job site,Diagnostics and Labor,job,75
Debris Disposal and Haul Away,Removal and dumping of old fixtures and packaging waste,Diagnostics and Labor,job,85
Standard Interior Door Installation,Hang pre-hung door in existing framed opening,Doors and Windows,each,225
Interior Slab Door Replacement,Replace door slab using existing hinges and jamb,Doors and Windows,each,150
Door Knob and Lockset Installation,Install standard passage or privacy lockset,Doors and Windows,each,65
Deadbolt Installation,Bore door and install single cylinder deadbolt,Doors and Windows,each,95
Smart Door Lock Installation,Install and program keypad or bluetooth deadbolt,Doors and Windows,each,125
Interior Door Hinge Replacement,Replace three standard door hinges,Doors and Windows,each,45
Door Stop Installation,Install wall or baseboard mounted door stop,Doors and Windows,each,25
Bi-Fold Closet Door Repair,Adjust tracks and replace pivot pins on bi-fold doors,Doors and Windows,each,85
Pocket Door Repair,Troubleshoot and adjust sliding pocket door hardware,Doors and Windows,hour,115
Window Blind Installation,Mount standard horizontal or vertical window blinds,Doors and Windows,each,55
Curtain Rod Installation,Mount single or double drapery rod securely to wall,Doors and Windows,each,65
Window Screen Replacement,Re-mesh standard window screen frame,Doors and Windows,each,45
Storm Door Installation,Assemble and hang surface-mount aluminum storm door,Doors and Windows,each,275
Window Crank Operator Replacement,Replace casement window mechanical crank mechanism,Doors and Windows,each,110
Drywall Hole Patch up to 4 Inches,Patch small drywall hole with mesh and joint compound,Drywall and Painting,each,95
Drywall Patch up to 12 Inches,Square cut patch with wood backing and mud finish,Drywall and Painting,each,175
Drywall Patch up to 2 Feet,Larger drywall repair including framing support and taping,Drywall and Painting,each,275
Drywall Corner Bead Repair,Repair damaged metal or vinyl outside corner bead,Drywall and Painting,linear ft,35
Drywall Tape and Mud Seam Repair,Repair cracking tape joints on walls or ceilings,Drywall and Painting,linear ft,25
Popcorn Ceiling Texture Patch,Scrape and re-spray acoustic ceiling texture,Drywall and Painting,sq ft,15
Interior Wall Painting,Apply two coats of paint to walls excluding trim,Drywall and Painting,sq ft,3
Interior Ceiling Painting,Apply flat white paint to ceiling surface,Drywall and Painting,sq ft,3.5
Accent Wall Painting,Paint single feature wall with distinct color,Drywall and Painting,job,200
Baseboard Paint Touch-Up,Touch up scuffs and paint baseboard trim,Drywall and Painting,linear ft,4
Door and Trim Painting,Prep and paint one interior door and casing,Drywall and Painting,each,125
Wallpaper Removal,Steam and strip old wallpaper from walls,Drywall and Painting,sq ft,4
Baseboard Installation,Install and nail standard wood or MDF baseboard,Carpentry and Trim,linear ft,5
