name,description,category,unit,price
Standard Service Call,Initial on-site trip and diagnosis within normal business hours,Service Calls & Labor,visit,175
After-Hours Service Call,Emergency on-site trip and diagnosis outside normal business hours,Service Calls & Labor,visit,350
Standard Technician Labor,Hourly rate for safe technician labor during business hours,Service Calls & Labor,hour,125
Overtime Technician Labor,Hourly rate for safe technician labor outside business hours,Service Calls & Labor,hour,185
Two-Man Labor Crew,Hourly rate for a secondary technician required for heavy rigging,Service Calls & Labor,hour,220
Safe Opening Diagnostic,Detailed mechanical evaluation to determine lockout cause,Service Calls & Labor,hour,150
Combination Recovery,Locating lost mechanical combination via factory records or decoding,Service Calls & Labor,each,250
Safe Inspection and Tune-Up,"Comprehensive check of bolts, hinges, and locking mechanism",Service Calls & Labor,each,195
Local Travel Surcharge,Additional mileage fee for service outside standard coverage zone,Service Calls & Labor,visit,75
Waiting Time Surcharge,Hourly charge for site delays beyond technician control,Service Calls & Labor,hour,95
Dial and Ring Manipulation Opening,Non-destructive opening of mechanical dial lock,Opening & Drilling,each,450
Electronic Lock Bypass Opening,Non-destructive opening of electronic lock via specialized interface,Opening & Drilling,each,350
Safe Door Drilling and Scope,Precision drilling to view internal components for lockout bypass,Opening & Drilling,each,550
Relock Trigger Bypass,Specialized intervention to bypass active relocking device,Opening & Drilling,each,300
Torch Opening (Extreme Failure),Destructive opening of severely jammed high-security vault door,Opening & Drilling,job,2500
Safe Repair After Drill,Repairing drill hole in hardened steel door with plug and hardplate,Opening & Drilling,each,275
Safe Spindle Replacement,Replacing worn or sheared mechanical lock drive spindle,Opening & Drilling,each,320
Internal Linkage Realignment,Straightening and adjusting internal bolt work levers,Opening & Drilling,each,225
Handle Hub Repair,Re-securing loose or sheared safe exterior handle mechanism,Opening & Drilling,each,180
Drop-In Boltwork Repair,Clearing jammed sliding locking bolts inside safe door,Opening & Drilling,each,260
Group 2 Mechanical Dial Lock Replacement,Supplying and installing standard mechanical combination lock,Lock Upgrades & Replacement,each,385
Group 1R High-Security Mechanical Lock,Supplying and installing high-security manipulation-resistant lock,Lock Upgrades & Replacement,each,650
