name,description,category,unit,price
Initial Template Measurement,On-site laser template measurement for exact layout,Templates & Design,job,250
Digital CAD Layout Programming,Computer-aided design programing for slab nesting,Templates & Design,job,175
Design Consultation & Revision,In-person or virtual countertop design revision session,Templates & Design,hour,120
Expedited Template Service,Priority measurement turnaround within twenty-four hours,Templates & Design,job,300
Custom Full-Height Backsplash Template,Precise field template for full height wall coverage,Templates & Design,job,200
Granite Slab Level 1,Standard entry-level natural granite stone material,Material Slabs,sq ft,55
Granite Slab Level 2,Mid-tier natural granite stone material selection,Material Slabs,sq ft,70
Granite Slab Level 3,Exotic natural granite stone material selection,Material Slabs,sq ft,90
Marble Slab Standard,Natural marble stone slab material,Material Slabs,sq ft,95
Marble Slab Premium,High-grade imported natural marble stone slab,Material Slabs,sq ft,130
Quartz Standard Series,Engineered quartz stone slab standard tier,Material Slabs,sq ft,65
Quartz Premium Series,Engineered quartz stone slab premium design,Material Slabs,sq ft,85
Quartz Luxury Designer Series,High-end engineered quartz with intricate veining,Material Slabs,sq ft,110
Quartzite Natural Slab,Natural quartzite high-durability stone slab,Material Slabs,sq ft,125
Soapstone Natural Slab,Natural soapstone slab material,Material Slabs,sq ft,115
Porcelain Slab Countertop,Large format thin porcelain slab material,Material Slabs,sq ft,140
Solid Surface Acrylic Slab,Corian or equivalent solid surface material,Material Slabs,sq ft,50
Butcher Block Hardwood Slab,Maple or walnut wood butcher block section,Material Slabs,sq ft,75
Full Slab Bookmatch Fee,Custom matching layout for mirrored slab veins,Material Slabs,each,450
Additional Slab Storage,Monthly storage fee for held stone slabs,Material Slabs,each,150
Straight Edge Polish,Standard flat polished edge profile,Edge Profiles,linear ft,15
Bevel Edge Polish,Angled bevel cut and polished edge profile,Edge Profiles,linear ft,22
Bullfull Edge Polish,Full rounded radius edge profile,Edge Profiles,linear ft,25
Half Bullnose Edge Polish,Top rounded radius edge profile,Edge Profiles,linear ft,22
Ogee Edge Profile,Decorative S-curve traditional edge profile,Edge Profiles,linear ft,35
Waterfall Edge Mitered Joint,Forty-five degree mitered joint for waterfall drop,Edge Profiles,linear ft,95
Eased Edge Profile,Slightly softened sharp top edge,Edge Profiles,linear ft,10
Cove Edge Polish,Concave recessed edge profile,Edge Profiles,linear ft,40
Laminated Built-Up Edge,Double thickness glued strip edge profile,Edge Profiles,linear ft,45
Dupont Edge Profile,Complex stepped curve decorative edge,Edge Profiles,linear ft,50
Undermount Sink Cutout,Precise CNC cutout and polish for undermount sink,Cutouts & Sinks,each,225
Top Mount Drop-In Sink Cutout,Standard cutout for drop-in sink application,Cutouts & Sinks,each,125
Apron Front Farmhouse Sink Cutout,Complex apron front cabinet sink modification cutout,Cutouts & Sinks,each,325
Cooktop Cutout,Standard cooktop drop-in opening with thermal corners,Cutouts & Sinks,each,200
Faucet Hole Drilling,Single standard diameter hole drilled into stone,Cutouts & Sinks,each,35
Soap Dispenser Hole Drilling,Additional hole drilled for accessory dispenser,Cutouts & Sinks,each,35
Air Switch Cutout,Small diameter hole for garbage disposal button,Cutouts & Sinks,each,35
Drainboard Grooves,Set of sloped drain channels cut into stone surface,Cutouts & Sinks,job,250
Trivet Recess Grooves,Inlaid stainless steel or stone hot pad slots,Cutouts & Sinks,job,200
Electrical Outlet Cutout in Backsplash,Square cutout for wall outlet box in backsplash,Cutouts & Sinks,each,65
Standard Countertop Installation,"Delivery, leveling, and setting of stone sections",Installation Labor,sq ft,35
High-Rise Carry Surcharge,Manual carrying fee for stairs or elevator limits,Installation Labor,job,250
Seam Fabrication and Joining,Epoxy color-matched resin seam assembly and leveling,Installation Labor,each,150
Island Heavy Support Bracket Installation,Mounting steel support brackets for overhangs,Installation Labor,each,95
Cabinet Leveling and Shim Adjustment,Adjusting out-of-level base cabinets prior to install,Installation Labor,hour,90
Full Height Backsplash Installation,Adhering and grouting full wall stone backsplash,Installation Labor,sq ft,45
Standard 4-Inch Backsplash Installation,Setting matching four-inch side and back splashes,Installation Labor,linear ft,20
Scribe and Fit Wall Splicing,Hand-grinding stone edges to match bowed walls,Installation Labor,linear ft,30
After-Hours Night Installation,Commercial off-hours installation labor surcharge,Installation Labor,job,600
Weekend Installation Surcharge,Saturday or Sunday scheduling installation fee,Installation Labor,job,400
Existing Laminate Countertop Tearout,Removal and disposal of old laminate surfaces,Removal & Disposal,linear ft,12
Existing Stone Countertop Tearout,Heavy removal and disposal of old granite or quartz,Removal & Disposal,linear ft,25
Existing Tile Backsplash Demolition,Chipping out old wall tile and repairing drywall,Removal & Disposal,sq ft,15
Old Countertop Haul Away & Dump Fee,Disposal fee for old material transport to dump,Removal & Disposal,job,175
Sink Disconnection Service,Plumbing disconnect of existing faucet and sink,Removal & Disposal,each,85
Cooktop Disconnection Service,Electrical or gas disconnect of existing cooktop,Removal & Disposal,each,95
Debris Cleanup and Site Sweep,HEPA vacuum sweep and broom cleanup of work area,Removal & Disposal,job,75
Hazardous Material Disposal,Special disposal fee for regulated old materials,Removal & Disposal,job,200
Temporary Plywood Vanity Tops,Temporary sink setup during custom fabrication lead time,Removal & Disposal,job,150
Cabinet Box Debris Haul,Removal of old damaged cabinet parts during refit,Removal & Disposal,job,120
Sink Reconnection Plumbing,"Reconnect drain lines, P-trap, and water supply",Plumbing & Electrical,each,175
New Faucet Installation,Mounting customer-supplied kitchen or bath faucet,Plumbing & Electrical,each,95
Garbage Disposal Reinstallation,Mounting and wiring existing garbage disposal unit,Plumbing & Electrical,each,85
Instant Hot Water Dispenser Install,Plumbing and mounting under-sink hot water tank,Plumbing & Electrical,each,150
Water Filter System Hookup,Installing inline filtration system under sink,Plumbing & Electrical,each,120
Cooktop Re-installation,Drop-in and electrical connection of cooktop,Plumbing & Electrical,each,130
Undermount Sink Mounting Hardware Upgrade,Heavy-duty mechanical sink harness installation,Plumbing & Electrical,each,75
Custom Plumbing Line Extension,Extending supply lines to fit new layout dimensions,Plumbing & Electrical,hour,125
Gas Line Relocation,Hard pipe or flexible gas line shift for range,Plumbing & Electrical,job,275
Outlet Faceplate Adjustments,Adjusting electrical boxes for new tile thickness,Plumbing & Electrical,each,30
Natural Stone Sealing Application,Professional impregnating sealer application for granite,Maintenance & Repair,sq ft,3
