name,description,category,unit,price,labor_hours,material_cost
Site Visit and Demolition Assessment,Onsite evaluation and scope determination for interior strip out,Consultation,visit,150,1.2,0
Demolition Permit Processing,Filing and obtaining required local municipal demolition permits,Consultation,job,350,0,233.33
Structural Engineer Consultation,Engineering review prior to load bearing wall removal,Consultation,visit,750,0,500
Asbestos Inspection and Testing,Sampling and laboratory analysis for hazardous materials,Consultation,job,500,0,333.33
Lead Paint Testing,XRF testing or laboratory sample analysis for lead,Consultation,job,300,0,200
Mold Inspection and Assessment,Visual and thermal imaging check for active mold growth,Consultation,visit,350,0,233.33
Temporary Power Pole Setup,Jobsite temporary electricity distribution for demolition tools,Preparation,job,450,2,133.33
Temporary Water Line Hookup,Dust suppression water source connection setup,Preparation,job,250,1,83.33
Floor Protection Poly and Masonite,Heavy duty surface protection for finished floors,Preparation,sq ft,1,0.005,0.63
Dust Barrier Containment Wall,ZipWall plastic barrier system with zipper entry,Preparation,linear ft,12,0.06,3
Negative Air Machine Setup,HEPA air scrubber installation for dust control,Preparation,each,250,1,83.33
HVAC System Sealing,Sealing ductwork and returns to prevent dust circulation,Preparation,job,150,0.8,33.33
Temporary Lighting Installation,String lighting setup for unlit interior work areas,Preparation,job,200,1,50
Appliance Disconnection Service,Safe disconnection of plumbing and electrical for removal,Preparation,each,75,0.5,8.33
Fixtures and Hardware Salvage,Careful removal of reusable items for client retention,Preparation,hour,85,0.68,0
Drywall Partition Demolition,Removal of non-load bearing gypsum wallboard,Walls and Ceilings,sq ft,2,0.01,0.5
Plaster Wall Demolition,Manual breakdown and removal of traditional lath and plaster,Walls and Ceilings,sq ft,4,0.02,1
Wood Stud Framing Demolition,Takedown of interior wood partition framing studs,Walls and Ceilings,linear ft,5,0.03,0.83
Metal Stud Framing Demolition,Cutting and removal of commercial steel stud partitions,Walls and Ceilings,linear ft,4,0.02,1
Drop Ceiling Tile Removal,Removal of acoustic ceiling tiles from grid,Walls and Ceilings,sq ft,1,0.005,0.25
Suspended Ceiling Grid Demolition,Takedown of metal T-bar ceiling suspension grid,Walls and Ceilings,sq ft,2,0.01,0.5
Drywall Ceiling Demolition,Pulling down gypsum board ceiling assemblies,Walls and Ceilings,sq ft,3,0.015,0.75
Wood Paneling Removal,Stripping decorative wood wall planks and paneling,Walls and Ceilings,sq ft,2,0.01,0.5
Ceramic Wall Tile Demolition,Chipping away wall tile and backer board,Walls and Ceilings,sq ft,5,0.03,0.83
Interior Non-Load Bearing Wall Removal,Complete removal of studs and drywall for open concept,Walls and Ceilings,linear ft,35,0.2,6.67
Carpet and Pad Removal,Pulling up tacked carpet and foam padding,Flooring,sq ft,1,0.005,0.25
Sheet Vinyl Flooring Removal,Scraping up glued sheet linoleum or vinyl flooring,Flooring,sq ft,2,0.01,0.5
Veiyl Composition Tile Removal,Scraping VCT tiles from concrete subfloor,Flooring,sq ft,2,0.01,0.5
Ceramic Floor Tile Demolition,Mechanical chipping of floor tile and mortar bed,Flooring,sq ft,4,0.02,1
Hardwood Flooring Removal,Pry bar removal of nailed down hardwood strips,Flooring,sq ft,3,0.015,0.75
Engineered Wood Floor Removal,Removal of glued or floated engineered wood flooring,Flooring,sq ft,3,0.015,0.75
Laminate Flooring Removal,Pulling up click lock laminate flooring planks,Flooring,sq ft,2,0.01,0.5
Thin-Set Mortar Grinding,Diamond grinding residual thin-set off concrete slab,Flooring,sq ft,2,0.01,0.5
Self Leveling Underlayment Removal,Breaking up and scraping self leveling cement toppings,Flooring,sq ft,4,0.02,1
Subfloor Plywood Demolition,Cutting and tearing out damaged wood subflooring,Flooring,sq ft,3,0.015,0.75
Concrete Slab Saw Cutting,Wet saw cutting of concrete for utility trenches,Concrete,linear ft,18,0.1,3.67
Concrete Floor Breaking,Jackhammering interior concrete slabs for plumbing access,Concrete,sq ft,15,0.08,3.33
Concrete Curb Demolition,Removal of interior concrete curbs and housekeeping pads,Concrete,linear ft,25,0.14,5
Masonry Wall Demolition,Takedown of interior brick or concrete block walls,Concrete,sq ft,12,0.06,3
Kitchen Cabinet Demolition,Careful removal of upper and lower kitchen cabinetry,Millwork and Fixtures,linear ft,25,0.14,5
Bathroom Vanity Removal,Tear out of vanity cabinets and attached countertops,Millwork and Fixtures,each,95,0.6,13.33
Countertop Demolition,"Removal of laminate, granite, or solid surface counters",Millwork and Fixtures,linear ft,20,0.1,5
