name,description,category,unit,price,labor_hours,material_cost
Standard Service Call,Initial on-site diagnostic and trip fee,Diagnostics & Service,visit,150,1.2,0
After-Hours Emergency Service Fee,Emergency dispatch outside normal business hours,Diagnostics & Service,visit,300,2.4,0
Well System Diagnostic & Inspection,Comprehensive mechanical and electrical system check,Diagnostics & Service,hour,175,1.4,0
Electrical Testing & Troubleshooting,Voltage and amperage check at controls and pump,Diagnostics & Service,hour,165,1.32,0
Flow Rate & Yield Test,Measure gallons per minute and well recovery rate,Diagnostics & Service,job,250,2,0
Water Pressure Testing,Static and dynamic pressure verification,Diagnostics & Service,job,100,0.8,0
Standard Labor Rate,Hourly labor for standard well repairs,Labor,hour,150,1,0
Master Technician Labor Rate,Hourly labor for complex diagnostics and heavy repairs,Labor,hour,195,1,0
Two-Man Crew Labor Rate,Hourly labor for heavy lifting and pull installations,Labor,hour,275,1,0
Submersible Pump Pull & Reset Labor,Labor to pull and reinstall drop pipe and pump,Labor,job,650,5.2,0
Trenching Labor,Hand or machine trenching for supply lines,Labor,linear ft,25,0.2,0
Well Head Excavation Labor,Expose buried well cap or pitless adapter,Labor,hour,150,1.2,0
1/2 HP Submersible Pump Replacement,Replace 1/2 HP 115V or 230V submersible well pump,Pump Replacement,each,950,3,386.67
3/4 HP Submersible Pump Replacement,Replace 3/4 HP submersible well pump,Pump Replacement,each,1150,3,520
1 HP Submersible Pump Replacement,Replace 1 HP submersible well pump,Pump Replacement,each,1350,3,653.33
1.5 HP Submersible Pump Replacement,Replace 1.5 HP submersible well pump,Pump Replacement,each,1650,3.5,810
2 HP Submersible Pump Replacement,Replace 2 HP heavy-duty submersible well pump,Pump Replacement,each,2100,3.5,1110
1/2 HP Jet Pump Replacement,Replace shallow or deep well surface jet pump,Pump Replacement,each,850,2.5,366.67
3/4 HP Jet Pump Replacement,Replace 3/4 HP surface jet pump,Pump Replacement,each,1050,2.5,500
1 HP Jet Pump Replacement,Replace 1 HP surface jet pump,Pump Replacement,each,1250,2.5,633.33
