name,description,category,unit,price,labor_hours,material_cost
Standard Diagnostic Fee,Initial troubleshooting and system evaluation during normal hours,Diagnostics,visit,185,1,40
After-Hours Diagnostic Fee,Emergency troubleshooting outside normal business hours,Diagnostics,visit,325,1.5,93.33
Holiday Diagnostic Fee,Emergency troubleshooting on observed holidays,Diagnostics,visit,450,2,133.33
Refrigerant Leak Detection,Electronic and nitrogen pressure testing for leaks,Diagnostics,hour,220,1,63.33
Chiller Efficiency Audit,Comprehensive performance analysis of centrifugal chiller,Diagnostics,each,1250,4,500
Airflow Balancing Assessment,Static pressure and CFM measurement across system,Diagnostics,each,650,3,183.33
Indoor Air Quality Test,"CO2, temperature, and humidity data logging",Diagnostics,visit,450,2,133.33
Vibration Analysis,Bearing and shaft alignment vibration testing,Diagnostics,each,550,2.5,150
Thermostat Calibration Check,Verification of sensor accuracy and control loop,Diagnostics,each,150,1,16.67
Electrical Circuit Tracing,Troubleshooting complex low and line voltage wiring,Diagnostics,hour,195,1,46.67
Standard Journeyman Labor,Hourly rate for single technician HVAC repair,Labor Rates,hour,165,1,26.67
Two-Man Crew Labor,Hourly rate for lead technician and helper,Labor Rates,hour,295,2,29.33
After-Hours Labor Rate,Overtime hourly rate for emergency repairs,Labor Rates,hour,275,1,100
Holiday Labor Rate,Double-time hourly rate for holiday service,Labor Rates,hour,350,1,150
Crane Operation and Operator,Rental of crane with certified operator,Labor Rates,day,2500,4,1333.33
Rigging and Placement Crew,Specialized crew for heavy equipment hoisting,Labor Rates,day,1800,6,680
Control Systems Programmer,Specialized labor for DDC and BAS programming,Labor Rates,hour,225,1,66.67
Curb Adapter Fabrication,Custom sheet metal adapter installation,Labor Rates,job,1200,3,540
Ductwork Modification Labor,Sheet metal alteration during equipment swap,Labor Rates,hour,150,1,16.67
Welding and Brazing Labor,Certified structural or pipe welding services,Labor Rates,hour,195,1,46.67
Condenser Fan Motor Replacement,Swap direct drive fractional horsepower motor,Repairs & Components,each,680,1.5,326.67
Belt-Drive Blower Motor Replacement,Replace commercial air handler blower motor,Repairs & Components,each,1450,2.5,743.33
Compressor Replacement 5 Ton,Replace scroll compressor including burnout cleanup,Repairs & Components,each,3200,6,1466.67
Compressor Replacement 10 Ton,Replace semi-hermetic compressor in packaged unit,Repairs & Components,each,5400,8,2693.33
Dual Run Capacitor Replacement,Replace failed motor run capacitor,Repairs & Components,each,245,0.75,96.67
Potential Relay Replacement,Replace compressor start relay,Repairs & Components,each,285,0.75,123.33
Contactor Replacement 3-Pole,Replace heavy duty compressor or heater contactor,Repairs & Components,each,310,1,123.33
Transformer Replacement 24V,Replace step-down control circuit transformer,Repairs & Components,each,275,1,100
Thermostatic Expansion Valve Replacement,Replace TXV and insulate bulb,Repairs & Components,each,850,2.5,353.33
Filter Drier Replacement,Replace liquid line filter drier core,Repairs & Components,each,320,1.5,86.67
Reversing Valve Replacement,Replace heat pump 4-way reversing valve,Repairs & Components,each,1100,3,466.67
Evaporator Coil Repair,Brazing refrigerant leak on copper coil,Repairs & Components,each,750,3,243.33
Condenser Coil Replacement,Replace damaged outdoor air-cooled coil section,Repairs & Components,job,2800,6,1346.67
Draft Inducer Motor Replacement,Replace furnace or boiler combustion blower,Repairs & Components,each,820,2,373.33
Gas Valve Replacement,Replace commercial multi-stage gas valve,Repairs & Components,each,780,2,353.33
Ignition Control Module Replacement,Replace direct spark or intermittent pilot control,Repairs & Components,each,590,1.5,266.67
Flame Sensor Replacement,Clean or replace safety flame rectification rod,Repairs & Components,each,195,0.75,66.67
High Limit Switch Replacement,Replace furnace safety temperature limit control,Repairs & Components,each,240,0.75,96.67
Pressure Switch Replacement,Replace air proving switch on forced air heater,Repairs & Components,each,260,1,90
Condensate P-Trap Repair,Replace cracked or blocked condensate drain trap,Repairs & Components,each,185,1,40
Condensate Removal Pump Replacement,Replace automatic electric condensate pump,Repairs & Components,each,350,1,150
Blower Belt Replacement,Replace matched set of air handler V-belts,Repairs & Components,each,165,0.75,46.67
Blower Pulley Replacement,Replace adjustable or fixed cast iron sheave,Repairs & Components,each,290,1,110
Blower Bearing Replacement,Replace pillow block shaft bearings,Repairs & Components,each,650,2.5,223.33
Economizer Actuator Replacement,Replace damper motor and linkage,Repairs & Components,each,950,2,440
Fresh Air Damper Repair,Fix stuck or broken outdoor air louvers,Repairs & Components,each,420,2,100
Commercial Split System 5 Ton,Furnish and install new rooftop or split system,Replacements & Retrofits,each,8500,12,4666.67
Commercial Rooftop Unit 10 Ton,Complete replacement of 10-ton packaged RTU,Replacements & Retrofits,each,16500,18,9600
Commercial Rooftop Unit 20 Ton,Complete replacement of 20-ton packaged RTU,Replacements & Retrofits,each,28000,24,16266.67
Make-Up Air Unit Replacement,Replace direct-fired commercial make-up air unit,Replacements & Retrofits,each,19500,20,9666.67
Split System Heat Pump 5 Ton,Replace commercial heat pump condenser and air handler,Replacements & Retrofits,each,9800,14,5266.67
Exhaust Fan Upblast Replacement,Replace roof-mounted kitchen or general exhaust fan,Replacements & Retrofits,each,2400,4,1233.33
Computer Room AC Unit Replacement,Replace server room precision cooling unit,Replacements & Retrofits,each,14500,16,7800
Water Source Heat Pump Replacement,Replace console or vertical stacked WSHP unit,Replacements & Retrofits,each,5500,10,2966.67
VAV Terminal Box Replacement,Replace variable air volume box with electric reheat,Replacements & Retrofits,each,1800,4,866.67
Unit Heater Gas Replacement,Replace suspended warehouse gas-fired unit heater,Replacements & Retrofits,each,2900,6,1400
R410A Refrigerant Recovery and Recharge,Per pound charge for R410A refrigerant,Materials & Consumables,pound,85,0.5,15
R22 Refrigerant Recovery and Recharge,Per pound charge for reclaimed R22 refrigerant,Materials & Consumables,pound,195,0.5,88
Nitrogen Purge Material,High pressure nitrogen used during brazing,Materials & Consumables,job,75,0.25,29.17
Standard Pleated Air Filters,Bulk commercial MERV 8 filter replacement set,Materials & Consumables,each,35,0.1,22.33
High Efficiency MERV 13 Filters,Rigid cell high efficiency air filter replacement,Materials & Consumables,each,120,0.2,62.67
HEPA Filter Element,Absolute filtration media for critical spaces,Materials & Consumables,each,380,0.25,238.33
Armaflex Pipe Insulation,Per foot insulation for refrigerant suction lines,Materials & Consumables,linear ft,18,0.05,11.67
Electrical Wire THHN,Copper power feed wire per foot installed,Materials & Consumables,linear ft,12,0.05,7.67
Liquid-Tight Conduit,Flexible outdoor electrical conduit per foot,Materials & Consumables,linear ft,15,0.05,9.67
PVC Condensate Piping,Drain line piping and fittings material,Materials & Consumables,linear ft,9,0.05,5.67
Sheet Metal Ductwork Fabrication,Galvanized rectangular duct material per square foot,Materials & Consumables,sq ft,28,0.08,12
Vibration Isolator Springs,Heavy duty seismic and vibration spring mounts,Materials & Consumables,each,140,0.5,51.67
Rooftop Equipment Curb,Pre-fabricated insulated roof mounting curb,Materials & Consumables,each,950,2,466.67
Refrigerant Oil Charge,Synthetic POE or mineral oil for compressors,Materials & Consumables,gallon,160,0.5,65
Commercial HVAC Preventative Maintenance Visit,Quarterly comprehensive tune-up and filter change,Maintenance & Service,visit,450,2,133.33
Annual Chiller Maintenance Service,"Tube brushing, eddy current test, and oil analysis",Maintenance & Service,visit,2800,10,1033.33
Boiler Annual Tune-Up,"Combustion analysis, burner clean, and safety check",Maintenance & Service,visit,650,3,183.33
Cooling Tower Cleaning and Sanitization,"Basin flush, scale removal, and biocide treatment",Maintenance & Service,visit,1200,4,466.67
Coil Chemical Wash Outdoor,Foaming alkaline wash for air-cooled condenser coils,Maintenance & Service,each,350,1.5,110
Coil Chemical Wash Indoor,Non-acid foaming wash for air handler evaporator coils,Maintenance & Service,each,450,2,133.33
Belt Tension and Alignment Service,Adjust pulleys and replace tension on belt drives,Maintenance & Service,visit,220,1.5,19.33
Grease Bearings Service,Lubricate motor and blower pillow block bearings,Maintenance & Service,visit,195,1.5,6.33
Combustion Efficiency Analysis,Flue gas test and report for gas-fired equipment,Maintenance & Service,each,275,1.5,56.67
Economizer Functional Test,Calibrate enthalpy sensors and damper actuators,Maintenance & Service,visit,310,2,40
Municipal HVAC Permit Processing,Pulling local mechanical and structural permits,Permits & Environmental,job,350,1,150
Electrical Wiring Permit,Required municipal electrical connection permit,Permits & Environmental,job,220,0.5,105
Crane Road Closure Permit,City street permit and police detail coordination,Permits & Environmental,job,850,1,483.33
EPA Refrigerant Recovery Disposal Fee,Certified destruction and recycling of old refrigerant,Permits & Environmental,pound,25,0,16.67
Scrap Metal Recycling Disposal,Removal and hauling of old metal units and coils,Permits & Environmental,job,250,1,83.33
Hazardous Material Disposal,Disposal fee for contaminated oil or insulation,Permits & Environmental,job,400,1,183.33
Asbestos Testing and Clearance,Lab testing of duct mastic or pipe wrap,Permits & Environmental,each,600,1,316.67
Mechanical Engineering Stamp,PE stamp for structural or seismic calculations,Permits & Environmental,job,1500,0,1000
Smart Wi-Fi Commercial Thermostat,Programmable thermostat with remote app control,Upgrades & Enhancements,each,450,1.5,176.67
BACnet DDC Controller Upgrade,Standalone microprocessor controller for building automation,Upgrades & Enhancements,each,1850,4,880
Hard Start Kit Installation,Capacitor and potential relay for compressor longevity,Upgrades & Enhancements,each,380,1,166.67
Phase Monitor Relay Installation,Protection against voltage unbalance and single-phasing,Upgrades & Enhancements,each,420,1.5,153.33
Surge Protection Device 3-Phase,Main electrical panel transient surge suppressor,Upgrades & Enhancements,each,650,1.5,313.33
UV-C Germicidal Lamp System,In-duct ultraviolet light kit for coil sterilization,Upgrades & Enhancements,each,1200,2.5,593.33
Motorized Fresh Air Damper Retrofit,Automated ventilation damper for ASHRAE 62.1 compliance,Upgrades & Enhancements,each,1400,4,600
Variable Frequency Drive Retrofit,VFD installation on blower motor for energy savings,Upgrades & Enhancements,each,3200,6,1466.67
Low Ambient Control Kit,Head pressure control for cooling in cold weather,Upgrades & Enhancements,each,750,2,300
Coil Protective Coating Application,Anti-corrosion factory coating for coastal environments,Upgrades & Enhancements,each,950,3,380
Water Leak Detection Sensor System,Floor moisture alarm tied to automatic system shutoff,Upgrades & Enhancements,each,550,2,190
Remote Monitoring Gateway,Cellular or internet gateway for 24/7 fault alerts,Upgrades & Enhancements,each,890,2,426.67
