name,description,category,unit,price
Standard Service Call,Initial diagnostic and travel fee for local service area,Diagnostics & Service,visit,125
After-Hours Emergency Service Call,Urgent evening or weekend dispatch fee,Diagnostics & Service,visit,250
Warranty Inspection,Manufacturer defect inspection and claim assessment,Diagnostics & Service,visit,95
On-Site Consultation,Design review and exact measurement session,Diagnostics & Service,visit,75
Second-Story Premium Fee,Additional labor fee for elevated window locations,Diagnostics & Service,visit,50
Standard Labor Rate,Hourly technician labor for repairs and adjustments,Labor Rates,hour,95
Two-Person Installation Crew,Hourly rate for heavy or complex mounting,Labor Rates,hour,175
Apprentice Labor Rate,Hourly rate for assistant installation technician,Labor Rates,hour,65
Custom Modification Labor,On-site trimming or alteration work,Labor Rates,hour,110
Overtime Labor Surcharge,Hourly labor add-on for after-hours work,Labor Rates,hour,75
Faux Wood Blind Repair,Re-stringing or tilt mechanism replacement,Repairs,each,85
Real Wood Blind Repair,Re-stringing and slat realignment service,Repairs,each,110
Vertical Blind Repair,Replacement of broken vane stems or chains,Repairs,each,75
Roller Shade Chain Repair,Beaded chain loop and clutch replacement,Repairs,each,65
Honeycomb Shade Re-stringing,Cord loop replacement for cellular shades,Repairs,each,120
Roman Shade Mechanism Repair,Internal cord lock and spool repair,Repairs,each,130
Interior Shutter Louver Repair,Replacement of broken shutter louvers and pins,Repairs,each,90
Shutter Tension Adjustment,Tightening loose shutter panels and louvers,Repairs,each,70
Bracket Replacement,Supply and install new mounting brackets,Repairs,each,45
Valance Clip Replacement,Replacement of hidden plastic valance clips,Repairs,each,30
Horizontal Blind Replacement (Standard),"Removal and disposal of old blind, install new standard",Replacements,each,150
Vertical Blind Replacement,Removal of old vertical and install new track/vanes,Replacements,each,180
Roller Shade Replacement,Swap old roller shade with new manual unit,Replacements,each,140
Honeycomb Shade Replacement,Swap old cellular shade with new unit,Replacements,each,165
Wood Shutter Panel Replacement,Fabricate and install exact match shutter panel,Replacements,each,350
Faux Wood Blind (Standard Size),Material and standard interior mount installation,Materials & Products,each,125
Faux Wood Blind (Large Size),Material and installation for windows over 48 inches,Materials & Products,each,195
Real Wood Blind (Standard),Premium hardwood blind supply and installation,Materials & Products,each,210
Real Wood Blind (Large),Large format hardwood blind supply and installation,Materials & Products,each,320
Vinyl Vertical Blind,Standard patio door vertical blind supply and install,Materials & Products,each,225
Fabric Vertical Blind,Upgraded fabric vertical blind supply and install,Materials & Products,each,275
Standard Roller Shade,Light-filtering manual roller shade supply and install,Materials & Products,each,160
Blackout Roller Shade,Room-darkening vinyl roller shade supply and install,Materials & Products,each,190
Solar Screen Shade,Exterior-viewing interior solar shade supply and install,Materials & Products,sq ft,14
Single-Cell Honeycomb Shade,Standard insulating cellular shade supply and install,Materials & Products,each,180
